 Profundidade [m]  Densidade Aparente Seca  Produtividade Primária  Taxa de Sedimentação  Paleobatimetria  Fração de Areia      Idades  Fluxo de Carbono [gC/m²/yr]  Eficiência de Soterramento [v/v]  COₘₐ [%]   rCO [%]   qCO [%]  COₜₑ [%]   COT [%]
           2062.5                 0.712839              134.621628              9.162839      1285.700944        98.357794   62.292099                     0.694172                          0.114569  0.121615  0.008211  0.098532  0.106743  0.228358
           2063.0                 0.712839              134.678847              9.162839      1284.221650        98.406739   62.297505                     0.695616                          0.114569  0.121867  0.007966  0.095596  0.103562  0.225429
           2063.5                 0.712839              134.736683              9.162736      1282.728646        98.329830   62.302962                     0.697078                          0.114569  0.122124  0.008351  0.100210  0.108561  0.230685
           2064.0                 0.712839              134.794616              9.162801      1281.235628        98.231612   62.308419                     0.698544                          0.114569  0.122380  0.008842  0.106103  0.114945  0.237325
           2064.5                 0.712839              134.852638              9.162818      1279.742612        98.308005   62.313876                     0.700015                          0.114569  0.122637  0.008460  0.101520  0.109980  0.232617
           2065.0                 0.712839              134.910756              9.162815      1278.249596        98.141973   62.319333                     0.701492                          0.114569  0.122896  0.009290  0.111482  0.120772  0.243667
           2065.5                 0.712839              134.968963              9.162839      1276.756586        98.259974   62.324789                     0.702973                          0.114569  0.123155  0.008700  0.104402  0.113102  0.236256
           2066.0                 0.712839              135.027268              9.162808      1275.263563        98.302321   62.330247                     0.704458                          0.114569  0.123415  0.008488  0.101861  0.110349  0.233764
           2066.5                 0.712839              135.085662              9.162839      1273.770556        98.232594   62.335703                     0.705949                          0.114569  0.123675  0.008837  0.106044  0.114881  0.238557
           2067.0                 0.712839              135.144154              9.162839      1272.277540        98.138767   62.341160                     0.707445                          0.114569  0.123937  0.009306  0.111674  0.120980  0.244917
           2067.5                 0.712839              135.202736              9.162839      1270.784525        98.485994   62.346617                     0.708945                          0.114569  0.124200  0.007570  0.090840  0.098410  0.222610
           2068.0                 0.712839              135.261416              9.162807      1269.291509        97.832687   62.352074                     0.710451                          0.114569  0.124463  0.010837  0.130039  0.140875  0.265339
           2068.5                 0.712839              135.320187              9.162804      1267.798494        98.134341   62.357531                     0.711961                          0.114569  0.124728  0.009328  0.111940  0.121268  0.245996
           2069.0                 0.712839              135.379056              9.162808      1266.305479        98.384348   62.362988                     0.713477                          0.114569  0.124993  0.008078  0.096939  0.105017  0.230010
           2069.5                 0.712839              135.438017              9.162817      1264.812463        98.090810   62.368444                     0.714997                          0.114569  0.125259  0.009546  0.114551  0.124097  0.249356
           2070.0                 0.712839              135.497077              9.162839      1263.319452        97.778576   62.373901                     0.716523                          0.114569  0.125526  0.011107  0.133285  0.144393  0.269918
           2070.5                 0.712839              135.556229              9.162737      1261.826432        97.804587   62.379358                     0.718053                          0.114569  0.125794  0.010977  0.131725  0.142702  0.268496
           2071.0                 0.712839              135.615480              9.162793      1260.333431        98.290561   62.384815                     0.719589                          0.114569  0.126062  0.008547  0.102566  0.111114  0.237176
           2071.5                 0.712839              135.674824              9.162833      1258.840402        98.136917   62.390272                     0.721130                          0.114569  0.126332  0.009315  0.111785  0.121100  0.247432
           2072.0                 0.712839              135.734268              9.162822      1257.347400        98.249446   62.395729                     0.722676                          0.114569  0.126602  0.008753  0.105033  0.113786  0.240388
           2072.5                 0.712839              135.793805              9.162839      1255.854393        98.304629   62.401185                     0.724227                          0.114569  0.126874  0.008477  0.101722  0.110199  0.237073
           2073.0                 0.712839              135.853443              9.162816      1254.361368        98.537148   62.406642                     0.725783                          0.114569  0.127146  0.007314  0.087771  0.095085  0.222231
           2073.5                 0.712839              135.913174              9.162839      1252.868359        98.134308   62.412099                     0.727345                          0.114569  0.127419  0.009328  0.111942  0.121270  0.248689
           2074.0                 0.712839              135.973007              9.162839      1251.375345        98.253269   62.417556                     0.728911                          0.114569  0.127693  0.008734  0.104804  0.113538  0.241231
           2074.5                 0.712839              136.032934              9.162839      1249.882325        98.072866   62.423013                     0.730483                          0.114569  0.127968  0.009636  0.115628  0.125264  0.253232
           2075.0                 0.712839              136.092962              9.162800      1248.389312        97.964843   62.428470                     0.732061                          0.114569  0.128244  0.010176  0.122109  0.132285  0.260530
           2075.5                 0.712839              136.153085              9.162788      1246.896306        97.812068   62.433926                     0.733643                          0.114569  0.128521  0.010940  0.131276  0.142216  0.270737
           2076.0                 0.712839              136.213310              9.162816      1245.403290        98.024894   62.439383                     0.735231                          0.114569  0.128799  0.009876  0.118506  0.128382  0.257181
           2076.5                 0.712839              136.273631              9.162802      1243.910275        97.816097   62.444840                     0.736824                          0.114569  0.129078  0.010920  0.131034  0.141954  0.271032
           2077.0                 0.712839              136.334055              9.162804      1242.417260        98.115701   62.450297                     0.738423                          0.114569  0.129358  0.009421  0.113058  0.122479  0.251837
           2077.5                 0.712839              136.394574              9.162752      1240.924244        98.016277   62.455754                     0.740027                          0.114569  0.129639  0.009919  0.119023  0.128942  0.258581
           2078.0                 0.712839              136.455197              9.162786      1239.431228        97.942173   62.461210                     0.741636                          0.114569  0.129920  0.010289  0.123470  0.133759  0.263679
           2078.5                 0.712839              136.515916              9.162839      1237.938213        98.073523   62.466667                     0.743251                          0.114569  0.130202  0.009632  0.115589  0.125221  0.255423
           2079.0                 0.712839              136.576740              9.162793      1236.445198        98.014643   62.472124                     0.744871                          0.114569  0.130486  0.009927  0.119121  0.129048  0.259534
           2079.5                 0.712839              136.637660              9.162839      1234.952183        97.743968   62.477581                     0.746497                          0.114569  0.130770  0.011280  0.135362  0.146642  0.277412
           2080.0                 0.712839              136.698685              9.162823      1233.459168        98.064339   62.483037                     0.748129                          0.114569  0.131055  0.009678  0.116140  0.125818  0.256873
           2080.5                 0.712839              136.759807              9.162839      1231.966152        98.330366   62.488495                     0.749765                          0.114569  0.131342  0.008348  0.100178  0.108526  0.239868
           2081.0                 0.712839              136.821035              9.162839      1230.473136        98.196471   62.493952                     0.751408                          0.114569  0.131629  0.009018  0.108212  0.117229  0.248858
           2081.5                 0.712839              136.882361              9.162839      1228.980121        98.370545   62.499408                     0.753056                          0.114569  0.131917  0.008147  0.097767  0.105915  0.237832
           2082.0                 0.712839              136.943792              9.162792      1227.487106        97.906911   62.504865                     0.754710                          0.114569  0.132207  0.010465  0.125585  0.136051  0.268258
           2082.5                 0.712839              137.005322              9.162839      1225.994090        97.872897   62.510322                     0.756369                          0.114569  0.132497  0.010636  0.127626  0.138262  0.270759
           2083.0                 0.712839              137.066959              9.162823      1224.501085        97.777748   62.515778                     0.758034                          0.114569  0.132788  0.011111  0.133335  0.144446  0.277235
