Profundidade [m]	Paleobatimetria [m]
2425	678.5609583
2425.2	678.5609583
2425.4	678.5609583
2425.6	678.5609583
2425.8	678.5609583
2426	678.5609583
2426.2	678.5609583
2426.4	678.5609583
2426.6	678.5609583
2426.8	678.5609583
2427	678.5609583
2427.2	678.5609583
2427.4	678.5609583
2427.6	678.5609583
2427.8	678.5609583
2428	678.5609583
2428.2	678.5609583
2428.4	678.5609583
2428.6	678.5609583
2428.8	678.5609583
2429	678.5609583
2429.2	678.5609583
2429.4	678.5609583
2429.6	678.5609583
2429.8	678.5609583
2430	678.5609583
2430.2	678.5609583
2430.4	678.5609583
2430.6	678.5609583
2430.8	678.5609583
2431	678.5609583
2431.2	678.5609583
2431.4	678.5609583
2431.6	678.5609583
2431.8	678.5609583
2432	678.5609583
2432.2	678.5609583
2432.4	678.5609583
2432.6	678.5609583
2432.8	678.5609583
2433	678.5609583
2433.2	678.5609583
2433.4	678.5609583
2433.6	678.5609583
2433.8	678.5609583
2434	678.5609583
2434.2	678.5609583
2434.4	678.5609583
2434.6	678.5609583
2434.8	678.5609583
2435	678.5609583
2435.2	678.5609583
2435.4	678.5609583
2435.6	678.5609583
2435.8	678.5609583
2436	678.5609583
2436.2	678.5609583
2436.4	678.5609583
2436.6	678.5609583
2436.8	678.5609583
2437	678.5609583
2437.2	678.5609583
2437.4	678.5609583
2437.6	678.5609583
2437.8	678.5609583
2438	678.5609583
2438.2	678.5609583
2438.4	678.5609583
2438.6	678.5609583
2438.8	678.5609583
2439	678.5609583
2439.2	678.5609583
2439.4	678.5609583
2439.6	678.5609583
2439.8	678.5609583
2440	678.5609583
2440.2	678.5609583
2440.4	678.5609583
2440.6	678.5609583
2440.8	678.5609583
2441	678.5609583
2441.2	678.5609583
2441.4	678.5609583
2441.6	678.5609583
2441.8	678.5609583
2442	678.5609583
2442.2	678.5609583
2442.4	678.5609583
2442.6	678.5609583
2442.8	678.5609583
2443	678.5609583
2443.2	678.5609583
2443.4	678.5609583
2443.6	678.5609583
2443.8	678.5609583
2444	678.5609583
2444.2	678.5609583
2444.4	678.5609583
2444.6	678.5609583
2444.8	678.5609583
2445	678.5609583
2445.2	678.5609583
2445.4	678.5609583
2445.6	678.5609583
2445.8	678.5609583
2446	678.5609583
2446.2	678.5609583
2446.4	678.5609583
2446.6	678.5609583
2446.8	678.5609583
2447	678.5609583
2447.2	678.5609583
2447.4	678.5609583
2447.6	678.5609583
2447.8	678.5609583
2448	678.5609583
2448.2	678.5609583
2448.4	678.5609583
2448.6	678.5609583
2448.8	678.5609583
2449	678.5609583
2449.2	678.5609583
2449.4	678.5609583
2449.6	678.5609583
2449.8	678.5609583
2450	678.5609583
2450.2	678.5609583
2450.4	678.5609583
2450.6	678.5609583
2450.8	678.5609583
2451	678.5609583
2451.2	678.5609583
2451.4	678.5609583
2451.6	678.5609583
2451.8	678.5609583
2452	678.5609583
2452.2	678.5609583
2452.4	678.5609583
2452.6	678.5609583
2452.8	678.5609583
2453	678.5609583
2453.2	678.3445168
2453.4	677.9116337
2453.6	677.4787505
2453.8	677.0458675
2454	676.6129843
