 Profundidade [m]  Densidade Aparente Seca  Produtividade Primária  Taxa de Sedimentação  Paleobatimetria  Fração de Areia     Idades  Fluxo de Carbono [gC/m²/yr]  Eficiência de Soterramento [v/v]  COₘₐ [%]   rCO [%]   qCO [%]  COₜₑ [%]   COT [%]
          2424.99                 0.705857              148.178997              7.469479       991.380319        95.471050  48.564186                     1.109681                          0.106035  0.222675  0.022645  0.271737  0.294382  0.517057
          2425.49                 0.705857              148.177580              7.469481       991.406002        95.245937  48.570369                     1.109629                          0.106035  0.222665  0.023770  0.285244  0.309014  0.531679
          2425.99                 0.705857              148.176046              7.469479       991.433804        95.730830  48.577064                     1.109573                          0.106035  0.222654  0.021346  0.256150  0.277496  0.500150
          2426.49                 0.705857              148.174512              7.469477       991.461606        95.005107  48.583757                     1.109517                          0.106035  0.222643  0.024974  0.299694  0.324668  0.547311
          2426.99                 0.705857              148.172979              7.469483       991.489409        94.974825  48.590451                     1.109461                          0.106035  0.222631  0.025126  0.301510  0.326636  0.549268
          2427.49                 0.705857              148.171445              7.469481       991.517211        96.001127  48.597145                     1.109405                          0.106035  0.222620  0.019994  0.239932  0.259927  0.482547
          2427.99                 0.705857              148.169912              7.469479       991.545013        95.019013  48.603839                     1.109349                          0.106035  0.222609  0.024905  0.298859  0.323764  0.546373
          2428.49                 0.705857              148.168378              7.469484       991.572815        95.284854  48.610533                     1.109293                          0.106035  0.222597  0.023576  0.282909  0.306485  0.529082
          2428.99                 0.705857              148.166845              7.469490       991.600617        95.426863  48.617227                     1.109236                          0.106035  0.222586  0.022866  0.274388  0.297254  0.519840
          2429.49                 0.705857              148.165311              7.469481       991.628419        94.625365  48.623921                     1.109180                          0.106035  0.222575  0.026873  0.322478  0.349351  0.571926
          2429.99                 0.705857              148.163778              7.469486       991.656221        95.559956  48.630615                     1.109124                          0.106035  0.222564  0.022200  0.266403  0.288603  0.511167
          2430.49                 0.705857              148.162245              7.469488       991.684023        95.246390  48.637308                     1.109068                          0.106035  0.222552  0.023768  0.285217  0.308985  0.531537
          2430.99                 0.705857              148.160712              7.469482       991.711825        94.962289  48.644003                     1.109012                          0.106035  0.222541  0.025189  0.302263  0.327451  0.549993
          2431.49                 0.705857              148.159179              7.469484       991.739627        93.944928  48.650696                     1.108956                          0.106035  0.222530  0.030275  0.363304  0.393580  0.616110
