Profundidade [m]	Produtividade Primária [gC/m²/yr]
1537	157.9607124
1537.2	157.9601686
1537.4	157.9596248
1537.6	157.959081
1537.8	157.9585372
1538	157.9579935
1538.2	157.9574497
1538.4	157.9569059
1538.6	157.9563622
1538.8	157.9558184
1539	157.9552747
1539.2	157.9547309
1539.4	157.9541872
1539.6	157.9536435
1539.8	157.9530998
1540	157.9525561
1540.2	157.9520124
1540.4	157.9514687
1540.6	157.950925
1540.8	157.9503813
1541	157.9498376
1541.2	157.949294
1541.4	157.9487503
1541.6	157.9482067
1541.8	157.947663
1542	157.9471194
1542.2	157.9465758
1542.4	157.9460321
1542.6	157.9454885
1542.8	157.9449449
1543	157.9444013
1543.2	157.9438577
1543.4	157.9433141
1543.6	157.9427705
1543.8	157.942227
1544	157.9416834
1544.2	157.9411398
1544.4	157.9405963
1544.6	157.9400527
1544.8	157.9395092
1545	157.9389657
1545.2	157.9384221
1545.4	157.9378786
1545.6	157.9373351
1545.8	157.9367916
1546	157.9362481
1546.2	157.9357046
1546.4	157.9351611
1546.6	157.9346176
1546.8	157.9340742
1547	157.9335307
1547.2	157.9329872
1547.4	157.9324438
1547.6	157.9319003
1547.8	157.9313569
1548	157.9308135
1548.2	157.9302701
1548.4	157.9297266
1548.6	157.9291832
1548.8	157.9286398
1549	157.9280964
1549.2	157.927553
1549.4	157.9270097
1549.6	157.9264663
1549.8	157.9259229
1550	157.9253796
1550.2	157.9248362
1550.4	157.9242929
1550.6	157.9237495
1550.8	157.9232062
1551	157.9226629
1551.2	157.9221195
1551.4	157.9215762
1551.6	157.9210329
1551.8	157.9204896
1552	157.9199463
1552.2	157.9194031
1552.4	157.9188598
1552.6	157.9183165
1552.8	157.9177732
1553	157.91723
1553.2	157.9166867
1553.4	157.9161435
1553.6	157.9156003
1553.8	157.915057
1554	157.9145138
1554.2	157.9139706
1554.4	157.9134274
1554.6	157.9128842
1554.8	157.912341
1555	157.9117978
1555.2	157.9112546
1555.4	157.9107115
1555.6	157.9101683
1555.8	157.9096251
1556	157.909082
1556.2	157.9085388
1556.4	157.9079957
1556.6	157.9074526
1556.8	157.9069094
1557	157.9063663
1557.2	157.9058232
1557.4	157.9052801
1557.6	157.904737
1557.8	157.9041939
1558	157.9036508
1558.2	157.9031078
1558.4	157.9025647
1558.6	157.9020216
1558.8	157.9014786
1559	157.9009355
1559.2	157.9003925
1559.4	157.8998494
1559.6	157.8993064
1559.8	157.8987634
1560	157.8982204
1560.2	157.8976774
1560.4	157.8971344
1560.6	157.8965914
1560.8	157.8960484
1561	157.8955054
1561.2	157.8949624
1561.4	157.8944195
1561.6	157.8938765
1561.8	157.8933336
1562	157.8927906
1562.2	157.8922477
1562.4	157.8917048
1562.6	157.8911618
1562.8	157.8906189
1563	157.890076
1563.2	157.8895331
1563.4	157.8889902
1563.6	157.8884473
1563.8	157.8879044
1564	157.8873616
1564.2	157.8868187
1564.4	157.8862758
1564.6	157.885733
1564.8	157.8851901
1565	157.8846473
1565.2	157.8841044
1565.4	157.8835616
1565.6	157.8830188
1565.8	157.882476
1566	157.8819332
1566.2	157.8813904
1566.4	157.8808476
1566.6	157.8803048
1566.8	157.879762
1567	157.8792193
1567.2	157.8786765
1567.4	157.8781337
1567.6	157.877591
1567.8	157.8770482
1568	157.8765055
1568.2	157.8759628
1568.4	157.87542
1568.6	157.8748773
1568.8	157.8743346
1569	157.8737919
1569.2	157.8732492
1569.4	157.8727065
1569.6	157.8721639
1569.8	157.8716212
1570	157.8710785
1570.2	157.8705359
1570.4	157.8699932
1570.6	157.8694506
1570.8	157.8689079
1571	157.8683653
1571.2	157.8678227
1571.4	157.86728
1571.6	157.8667374
1571.8	157.8661948
1572	157.8656522
1572.2	157.8651096
1572.4	157.864567
1572.6	157.8640245
1572.8	157.8634819
1573	157.8629393
1573.2	157.8623968
1573.4	157.8617438
1573.6	157.8607596
1573.8	157.8597754
1574	157.8587912
1574.2	157.8578071
1574.4	157.856823
1574.6	157.8558389
1574.8	157.8548548
1575	157.8538707
1575.2	157.8528867
1575.4	157.8519027
1575.6	157.8509187
1575.8	157.8499348
1576	157.8489508
1576.2	157.8479669
1576.4	157.846983
1576.6	157.8459991
1576.8	157.8450153
1577	157.8440315
1577.2	157.8430477
1577.4	157.8420639
1577.6	157.8410801
1577.8	157.8400964
1578	157.8391127
1578.2	157.838129
1578.4	157.8371453
1578.6	157.8361617
1578.8	157.8351781
1579	157.8341945
1579.2	157.8332109
1579.4	157.8322274
1579.6	157.8312438
1579.8	157.8302603
1580	157.8292768
1580.2	157.8282934
1580.4	157.8273099
1580.6	157.8263265
1580.8	157.8253431
