Profundidade [m]	Densidade Aparente Seca [g/cm3]
1542.0	
1542.2	
1542.4	
1542.6	
1542.8	
1543.0	
1543.2	
1543.4	
1543.6	
1543.8	
1544.0	
1544.2	
1544.4	
1544.6	
1544.8	
1545.0	
1545.2	
1545.4	
1545.6	
1545.8	
1546.0	
1546.2	
1546.4	
1546.6	
1546.8	
1547.0	
1547.2	
1547.4	
1547.6	
1547.8	
1548.0	
1548.2	
1548.4	
1548.6	
1548.8	
1549.0	
1549.2	
1549.4	
1549.6	
1549.8	
1550.0	
1550.2	
1550.4	
1550.6	
1550.8	
1551.0	
1551.2	
1551.4	
1551.6	
1551.8	
1552.0	
1552.2	
1552.4	
1552.6	
1552.8	
1553.0	
1553.2	
1553.4	
1553.6	
1553.8	
1554.0	
1554.2	
1554.4	
1554.6	
1554.8	
1555.0	
1555.2	
1555.4	
1555.6	
1555.8	
1556.0	
1556.2	
1556.4	
1556.6	
1556.8	
1557.0	
1557.2	
1557.4	
1557.6	
1557.8	
1558.0	
1558.2	
1558.4	
1558.6	
1558.8	
1559.0	
1559.2	
1559.4	
1559.6	
1559.8	
1560.0	
1560.2	
1560.4	
1560.6	
1560.8	
1561.0	
1561.2	
1561.4	
1561.6	
1561.8	
1562.0	
1562.2	
1562.4	
1562.6	
1562.8	
1563.0	
1563.2	
1563.4	
1563.6	
1563.8	
1564.0	
1564.2	
1564.4	
1564.6	
1564.8	
1565.0	
1565.2	
1565.4	
1565.6	
1565.8	
1566.0	
1566.2	
1566.4	
1566.6	
1566.8	
1567.0	
1567.2	
1567.4	
1567.6	
1567.8	
1568.0	
1568.2	
1568.4	
1568.6	
1568.8	
1569.0	
1569.2	
1569.4	
1569.6	
1569.8	
1570.0	
1570.2	
1570.4	
1570.6	
1570.8	
1571.0	
1571.2	
1571.4	
1571.6	
1571.8	
1572.0	
1572.2	
1572.4	
1572.6	
1572.8	
1573.0	
1573.2	
1573.4	
1573.6	
1573.8	
1574.0	
1574.2	
1574.4	
1574.6	
1574.8	
1575.0	
1575.2	
1575.4	
1575.6	
1575.8	
1576.0	
1576.2	
1576.4	
1576.6	
1576.8	
1577.0	
1577.2	
1577.4	
1577.6	
1577.8	
1578.0	
1578.2	
1578.4	
1578.6	
1578.8	
1579.0	
1579.2	
1579.4	
1579.6	
1579.8	
1580.0	
1580.2	
1580.4	
1580.6	
1580.8	
1581.0	
1581.2	
1581.4	
1581.6	
1581.8	
1582.0	
1582.2	
1582.4	
1582.6	
1582.8	
1583.0	
1583.2	
1583.4	
1583.6	
1583.8	
1584.0	
1584.2	
1584.4	
1584.6	
1584.8	
1585.0	
1585.2	
1585.4	
1585.6	
1585.8	
1586.0	
1586.2	
1586.4	
1586.6	
1586.8	
1587.0	
1587.2	
1587.4	
1587.6	
1587.8	
1588.0	
1588.2	
1588.4	
1588.6	
1588.8	
1589.0	
1589.2	
1589.4	
1589.6	
1589.8	
1590.0	
1590.2	
1590.4	
1590.6	
1590.8	
1591.0	
1591.2	
1591.4	
1591.6	
1591.8	
1592.0	
1592.2	
1592.4	
1592.6	
1592.8	
1593.0	
1593.2	
1593.4	
1593.6	
1593.8	
1594.0	
1594.2	
1594.4	
1594.6	
1594.8	
1595.0	
1595.2	
1595.4	
1595.6	
1595.8	
1596.0	
1596.2	
1596.4	
1596.6	
1596.8	
1597.0	
1597.2	
1597.4	
1597.6	
1597.8	
1598.0	
1598.2	
1598.4	
1598.6	
1598.8	
1599.0	
1599.2	
1599.4	
1599.6	
1599.8	
1600.0	
1600.2	
1600.4	
1600.6	
1600.8	
1601.0	
1601.2	
1601.4	
1601.6	
1601.8	
1602.0	
1602.2	
1602.4	
1602.6	
1602.8	
1603.0	
1603.2	
1603.4	
1603.6	
1603.8	
1604.0	
1604.2	
1604.4	
1604.6	
1604.8	
1605.0	
1605.2	
1605.4	
1605.6	
1605.8	
1606.0	
1606.2	
1606.4	
1606.6	
1606.8	
1607.0	
1607.2	
1607.4	
1607.6	
1607.8	
1608.0	
1608.2	
1608.4	
1608.6	
1608.8	
1609.0	
1609.2	
1609.4	
1609.6	
1609.8	
1610.0	
1610.2	
1610.4	
1610.6	
1610.8	
1611.0	
1611.2	
1611.4	
1611.6	
1611.8	
1612.0	
1612.2	
1612.4	
1612.6	
1612.8	
1613.0	
1613.2	
1613.4	
1613.6	
1613.8	
1614.0	
1614.2	
1614.4	
1614.6	
1614.8	
1615.0	
1615.2	
1615.4	
1615.6	
1615.8	
