Profundidade [m]	Idade [Ma]
1542.0	44.122055
1542.2	44.125608
1542.4	44.12916
1542.6	44.132713
1542.8	44.136266
1543.0	44.139818
1543.2	44.143371
1543.4	44.146924
1543.6	44.150476
1543.8	44.154029
1544.0	44.157582
1544.2	44.161134
1544.4	44.164687
1544.6	44.168239
1544.8	44.171792
1545.0	44.175345
1545.2	44.178897
1545.4	44.18245
1545.6	44.186003
1545.8	44.189555
1546.0	44.193108
1546.2	44.19666
1546.4	44.200213
1546.6	44.203766
1546.8	44.207318
1547.0	44.210871
1547.2	44.214424
1547.4	44.217976
1547.6	44.221529
1547.8	44.225082
1548.0	44.228634
1548.2	44.232187
1548.4	44.235739
1548.6	44.239292
1548.8	44.242845
1549.0	44.246397
1549.2	44.24995
1549.4	44.253503
1549.6	44.257055
1549.8	44.260608
1550.0	44.26416
1550.2	44.267713
1550.4	44.271266
1550.6	44.274818
1550.8	44.278371
1551.0	44.281924
1551.2	44.285476
1551.4	44.289029
1551.6	44.292582
1551.8	44.296134
1552.0	44.299687
1552.2	44.303239
1552.4	44.306792
1552.6	44.310345
1552.8	44.313897
1553.0	44.31745
1553.2	44.321003
1553.4	44.324555
1553.6	44.328108
1553.8	44.33166
1554.0	44.335213
1554.2	44.338766
1554.4	44.342318
1554.6	44.345871
1554.8	44.349424
1555.0	44.352976
1555.2	44.356529
1555.4	44.360082
1555.6	44.363634
1555.8	44.367187
1556.0	44.370739
1556.2	44.374292
1556.4	44.377845
1556.6	44.381397
1556.8	44.38495
1557.0	44.388503
1557.2	44.392055
1557.4	44.395608
1557.6	44.39916
1557.8	44.402713
1558.0	44.406266
1558.2	44.409818
1558.4	44.413371
1558.6	44.416924
1558.8	44.420476
1559.0	44.424029
1559.2	44.427582
1559.4	44.431134
1559.6	44.434687
1559.8	44.438239
1560.0	44.441792
1560.2	44.445345
1560.4	44.448897
1560.6	44.45245
1560.8	44.456003
1561.0	44.459555
1561.2	44.463108
1561.4	44.46666
1561.6	44.470213
1561.8	44.473766
1562.0	44.477318
1562.2	44.480871
1562.4	44.484424
1562.6	44.487976
1562.8	44.491529
1563.0	44.495082
1563.2	44.498634
1563.4	44.502187
1563.6	44.505739
1563.8	44.509292
1564.0	44.512845
1564.2	44.516397
1564.4	44.51995
1564.6	44.523503
1564.8	44.527055
1565.0	44.530608
1565.2	44.53416
1565.4	44.537713
1565.6	44.541266
1565.8	44.544818
1566.0	44.548371
1566.2	44.551924
1566.4	44.555476
1566.6	44.559029
1566.8	44.562582
1567.0	44.566134
1567.2	44.569687
1567.4	44.573239
1567.6	44.576792
1567.8	44.580345
1568.0	44.583897
1568.2	44.58745
1568.4	44.591003
1568.6	44.594555
1568.8	44.598108
1569.0	44.60166
1569.2	44.605213
1569.4	44.608766
1569.6	44.612318
1569.8	44.615871
1570.0	44.619424
1570.2	44.622976
1570.4	44.626529
1570.6	44.630082
1570.8	44.633634
1571.0	44.637187
1571.2	44.640739
1571.4	44.644292
1571.6	44.647845
1571.8	44.651397
1572.0	44.65495
1572.2	44.658503
1572.4	44.662055
1572.6	44.665608
1572.8	44.66916
1573.0	44.672713
1573.2	44.676266
1573.4	44.679818
1573.6	44.683371
1573.8	44.686924
1574.0	44.690476
1574.2	44.694029
1574.4	44.697582
1574.6	44.701134
1574.8	44.704687
1575.0	44.708239
1575.2	44.711367
1575.4	44.714494
1575.6	44.717622
1575.8	44.720749
1576.0	44.723876
1576.2	44.727004
1576.4	44.730131
1576.6	44.733259
1576.8	44.736386
1577.0	44.739514
1577.2	44.742641
1577.4	44.745768
1577.6	44.748896
1577.8	44.752023
1578.0	44.755151
1578.2	44.758278
1578.4	44.761405
1578.6	44.764533
1578.8	44.76766
1579.0	44.770788
1579.2	44.773915
1579.4	44.777042
1579.6	44.78017
1579.8	44.783297
1580.0	44.786425
1580.2	44.789552
1580.4	44.79268
1580.6	44.795807
1580.8	44.798934
1581.0	44.802062
1581.2	44.805189
1581.4	44.808317
1581.6	44.811444
1581.8	44.814571
1582.0	44.817699
1582.2	44.820826
1582.4	44.823954
1582.6	44.827081
1582.8	44.830209
1583.0	44.833336
1583.2	44.836463
1583.4	44.839591
1583.6	44.842718
1583.8	44.845846
1584.0	44.848973
1584.2	44.8521
1584.4	44.855228
1584.6	44.858355
1584.8	44.861483
1585.0	44.86461
1585.2	44.867737
1585.4	44.870865
1585.6	44.873992
1585.8	44.87712
1586.0	44.880247
1586.2	44.883375
1586.4	44.886502
1586.6	44.889629
1586.8	44.892757
1587.0	44.895884
1587.2	44.899012
1587.4	44.902139
1587.6	44.905266
1587.8	44.908394
1588.0	44.911521
1588.2	44.914649
1588.4	44.917776
1588.6	44.920903
1588.8	44.924031
1589.0	44.927158
1589.2	44.930286
1589.4	44.933413
1589.6	44.936541
1589.8	44.939668
1590.0	44.942795
1590.2	44.945923
1590.4	44.94905
1590.6	44.952178
1590.8	44.955305
1591.0	44.958432
1591.2	44.96156
1591.4	44.964687
1591.6	44.967815
1591.8	44.970942
1592.0	44.97407
1592.2	44.977197
1592.4	44.980324
1592.6	44.983452
1592.8	44.986579
1593.0	44.989707
1593.2	44.992834
1593.4	44.995961
1593.6	44.999089
1593.8	45.002216
1594.0	45.005344
1594.2	45.008471
1594.4	45.011598
1594.6	45.014726
1594.8	45.017853
1595.0	45.020981
1595.2	45.024108
1595.4	45.027236
1595.6	45.030363
1595.8	45.03349
1596.0	45.036618
1596.2	45.039745
1596.4	45.042873
1596.6	45.046
1596.8	45.049127
1597.0	45.052255
1597.2	45.055382
1597.4	45.05851
1597.6	45.061637
1597.8	45.064765
1598.0	45.067892
1598.2	45.071019
1598.4	45.074147
1598.6	45.077274
1598.8	45.080402
1599.0	45.083529
1599.2	45.086656
1599.4	45.089784
1599.6	45.092911
1599.8	45.096039
1600.0	45.099166
1600.2	45.102293
1600.4	45.105421
1600.6	45.108548
1600.8	45.111676
1601.0	45.114927
1601.2	45.118302
1601.4	45.121677
1601.6	45.125052
1601.8	45.128427
1602.0	45.131802
1602.2	45.135177
1602.4	45.138552
1602.6	45.141927
1602.8	45.145302
1603.0	45.148677
1603.2	45.152052
1603.4	45.155427
1603.6	45.158802
1603.8	45.162177
1604.0	45.165552
1604.2	45.168927
1604.4	45.172302
1604.6	45.175677
1604.8	45.179052
1605.0	45.182427
1605.2	45.185802
1605.4	45.189177
1605.6	45.192552
1605.8	45.195927
1606.0	45.199302
1606.2	45.202677
1606.4	45.206052
1606.6	45.209427
1606.8	45.212802
1607.0	45.216177
1607.2	45.219552
1607.4	45.222927
1607.6	45.226302
1607.8	45.229677
1608.0	45.233052
1608.2	45.236427
1608.4	45.239802
1608.6	45.243177
1608.8	45.246552
1609.0	45.249927
1609.2	45.253302
1609.4	45.256677
1609.6	45.260052
1609.8	45.263427
1610.0	45.266802
1610.2	45.270177
1610.4	45.273552
1610.6	45.276927
1610.8	45.280302
1611.0	45.283677
1611.2	45.287052
1611.4	45.290427
1611.6	45.293802
1611.8	45.297177
1612.0	45.300552
1612.2	45.303927
1612.4	45.307302
1612.6	45.310677
1612.8	45.314052
1613.0	45.317427
1613.2	45.320802
1613.4	45.324177
1613.6	45.327552
1613.8	45.330927
1614.0	45.334302
1614.2	45.337677
1614.4	45.341052
1614.6	45.344427
1614.8	45.347802
1615.0	45.351177
1615.2	45.354552
1615.4	45.357927
1615.6	45.361302
1615.8	45.364677
1616.0	45.368052
1616.2	45.371427
1616.4	45.374802
1616.6	45.378177
1616.8	45.381552
1617.0	45.384927
1617.2	45.388302
1617.4	45.391677
1617.6	45.395052
1617.8	45.398427
1618.0	45.401802
1618.2	45.405177
1618.4	45.408552
1618.6	45.411927
1618.8	45.415302
1619.0	45.418677
1619.2	45.422052
1619.4	45.425427
1619.6	45.428802
1619.8	45.432177
1620.0	45.435552
1620.2	45.438927
1620.4	45.442302
1620.6	45.445677
1620.8	45.449052
1621.0	45.452427
1621.2	45.455802
1621.4	45.459177
1621.6	45.462552
1621.8	45.465927
1622.0	45.469302
1622.2	45.472677
1622.4	45.476052
1622.6	45.479427
1622.8	45.482802
1623.0	45.486177
1623.2	45.489552
1623.4	45.492927
1623.6	45.496302
1623.8	45.499677
1624.0	45.503052
1624.2	45.506427
1624.4	45.509802
1624.6	45.513177
1624.8	45.516552
1625.0	45.521072
1625.2	45.526736
1625.4	45.5324
1625.6	45.538065
1625.8	45.543729
1626.0	45.549393
1626.2	45.555058
1626.4	45.560722
1626.6	45.566386
1626.8	45.572051
1627.0	45.577715
1627.2	45.583379
1627.4	45.589044
1627.6	45.594708
1627.8	45.600372
1628.0	45.606037
1628.2	45.611701
1628.4	45.617365
1628.6	45.62303
1628.8	45.628694
1629.0	45.634358
1629.2	45.640023
1629.4	45.645687
1629.6	45.651351
1629.8	45.657016
1630.0	45.66268
1630.2	45.668344
1630.4	45.674009
1630.6	45.679673
1630.8	45.685337
1631.0	45.691002
1631.2	45.696666
1631.4	45.70233
1631.6	45.707995
1631.8	45.713659
1632.0	45.719323
1632.2	45.724988
1632.4	45.730652
1632.6	45.736316
1632.8	45.741981
1633.0	45.747645
1633.2	45.753309
1633.4	45.758974
1633.6	45.764638
1633.8	45.770302
1634.0	45.775967
1634.2	45.781631
1634.4	45.787295
1634.6	45.79296
1634.8	45.798624
1635.0	45.804288
1635.2	45.809953
1635.4	45.815617
1635.6	45.821281
1635.8	45.826946
1636.0	45.83261
1636.2	45.838274
1636.4	45.843939
1636.6	45.849603
1636.8	45.855267
1637.0	45.860932
1637.2	45.866596
1637.4	45.87226
1637.6	45.877925
1637.8	45.883589
1638.0	45.889253
1638.2	45.894918
1638.4	45.900582
1638.6	45.906246
1638.8	45.911911
1639.0	45.917575
1639.2	45.923239
1639.4	45.926546
1639.6	45.929852
1639.8	45.933158
1640.0	45.936464
1640.2	45.93977
1640.4	45.943076
1640.6	45.946382
1640.8	45.949688
1641.0	45.952995
1641.2	45.956301
1641.4	45.959607
1641.6	45.962913
1641.8	45.966219
1642.0	45.969525
1642.2	45.972831
1642.4	45.976137
1642.6	45.979443
1642.8	45.98275
1643.0	45.986056
1643.2	45.989362
1643.4	45.992668
1643.6	45.995974
1643.8	45.99928
1644.0	46.002586
1644.2	46.005892
1644.4	46.009199
1644.6	46.012505
