Profundidade [m]	Idade [Ma]
2430.4	58.012176
2430.6	58.013293
2430.8	58.017989
2431.0	58.022684
2431.2	58.02738
2431.4	58.032076
2431.6	58.036771
2431.8	58.041467
2432.0	58.046162
2432.2	58.050858
2432.4	58.055553
2432.6	58.060249
2432.8	58.064945
2433.0	58.06964
2433.2	58.074336
2433.4	58.079031
2433.6	58.083727
2433.8	58.088422
2434.0	58.093118
2434.2	58.097814
2434.4	58.102509
2434.6	58.107205
2434.8	58.1119
2435.0	58.116596
2435.2	58.121291
2435.4	58.125987
2435.6	58.130682
2435.8	58.135378
2436.0	58.140074
2436.2	58.144769
2436.4	58.149465
2436.6	58.15416
2436.8	58.158856
2437.0	58.163551
2437.2	58.168247
2437.4	58.172943
2437.6	58.177638
2437.8	58.182334
2438.0	58.187029
2438.2	58.191725
2438.4	58.19642
2438.6	58.201116
2438.8	58.205811
2439.0	58.210507
2439.2	58.215203
2439.4	58.219898
2439.6	58.224594
2439.8	58.229289
2440.0	58.233985
2440.2	58.23868
2440.4	58.243376
2440.6	58.248072
2440.8	58.252767
2441.0	58.257463
2441.2	58.262158
2441.4	58.266854
2441.6	58.271549
2441.8	58.276245
2442.0	58.28094
2442.2	58.285636
2442.4	58.290332
2442.6	58.295027
2442.8	58.299723
2443.0	58.304418
2443.2	58.309114
2443.4	58.313809
2443.6	58.318505
2443.8	58.323201
2444.0	58.327896
2444.2	58.332592
2444.4	58.337287
2444.6	58.341983
2444.8	58.346678
2445.0	58.351374
2445.2	58.356069
2445.4	58.360765
2445.6	58.365461
2445.8	58.370156
2446.0	58.374852
2446.2	58.379547
2446.4	58.384243
2446.6	58.388938
2446.8	58.393634
2447.0	58.39833
2447.2	58.403025
2447.4	58.407721
2447.6	58.412416
2447.8	58.417112
2448.0	58.421807
2448.2	58.426503
2448.4	58.431199
2448.6	58.435894
2448.8	58.44059
2449.0	58.445285
2449.2	58.449981
2449.4	58.454676
2449.6	58.459372
2449.8	58.464067
2450.0	58.468763
2450.2	58.473459
2450.4	58.478154
2450.6	58.48285
2450.8	58.487545
2451.0	58.492241
2451.2	58.496936
2451.4	58.501632
2451.6	58.506328
2451.8	58.511023
2452.0	58.515719
2452.2	58.520414
2452.4	58.52511
2452.6	58.529805
2452.8	58.534501
2453.0	58.539196
2453.2	58.543892
2453.4	58.548588
2453.6	58.553283
2453.8	58.557979
2454.0	58.562674
2454.2	58.56737
