Profundidade [m]	Paleobatimetria [m]
1880.6	1575.3032394622044
1880.8	1575.1700813605967
1881.0	1575.036922587443
1881.2	1574.903764485835
1881.4	1574.770606384227
1881.6	1574.6374476110736
1881.8	1574.5042895094657
1882.0	1574.3711307363117
1882.2	1574.2379726347044
1882.4	1574.1048145330956
1882.6	1573.9716557599422
1882.8	1573.8384976583343
1883.0	1573.705338885181
1883.2	1573.5721807835725
1883.4	1573.4390220104192
1883.6	1573.3058639088113
1883.8	1573.1727058072036
1884.0	1573.03954703405
1884.2	1572.9063889324423
1884.4	1572.7732301592887
1884.6	1572.6400720576805
1884.8	1572.5069139560726
1885.0	1572.3737551829192
1885.2	1572.2405970813109
1885.4	1572.1074383081568
1885.6	1571.974280206549
1885.8	1571.8411221049414
1886.0	1571.7079633317878
1886.2	1571.5748052301801
1886.4	1571.4416464570265
1886.6	1571.3084883554184
1886.8	1571.1753295822648
1887.0	1571.042171480657
1887.2	1570.9090133790487
1887.4	1570.7758546058951
1887.6	1570.6426965042874
1887.8	1570.5095377311334
1888.0	1570.3763796295261
1888.2	1570.2432215279182
1888.4	1570.110062754764
1888.6	1569.976904653156
1888.8	1569.8437458800026
1889.0	1569.7105877783943
1889.2	1569.577429005241
1889.4	1569.444270903633
1889.6	1569.3111128020253
1889.8	1569.1779540288712
1890.0	1569.044795927264
1890.2	1568.9116371541104
1890.4	1568.778479052502
1890.6	1568.6453209508943
1890.8	1568.5121621777407
1891.0	1568.3790040761326
1891.2	1568.245845302979
1891.4	1568.1126872013713
1891.6	1567.9795290997636
1891.8	1567.8463703266095
1892.0	1567.7132122250023
1892.2	1567.5800534518487
1892.4	1567.4468953502399
1892.6	1567.3137365770865
1892.8	1567.1805784754786
1893.0	1567.0474203738704
1893.2	1566.9142616007168
1893.4	1566.7811034991091
1893.6	1566.6479447259555
1893.8	1566.5147866243474
1894.0	1566.38162852274
1894.2	1566.2484697495865
1894.4	1566.1153116479782
1894.6	1565.9821528748248
1894.8	1565.8489947732169
1895.0	1565.7158360000635
1895.2	1565.5826778984551
1895.4	1565.4495197968467
1895.6	1565.3163610236934
1895.8	1565.1832029220855
1896.0	1565.0500441489316
1896.2	1564.9168860473242
1896.4	1564.783727945716
1896.6	1564.6505691725624
1896.8	1564.5174110709547
1897.0	1564.3842522978011
1897.2	1564.251094196193
1897.4	1564.117936094585
1897.6	1563.9847773214317
1897.8	1563.8516192198238
1898.0	1563.71846044667
1898.2	1563.5853023450625
1898.4	1563.4521435719087
1898.6	1563.3189854703003
1898.8	1563.1858273686926
1899.0	1563.052668595539
1899.2	1562.9195104939308
1899.4	1562.7863517207772
1899.6	1562.6531936191695
1899.8	1562.5200355175616
1900.0	1562.3868767444083
1900.2	1562.2537186428003
1900.4	1562.120559869647
1900.6	1561.9874017680386
1900.8	1561.854242994885
1901.0	1561.7210848932773
1901.2	1561.587926791669
1901.4	1561.454768018515
1901.6	1561.3216099169072
1901.8	1561.1884511437538
1902.0	1561.0552930421459
1902.2	1560.9221349405382
1902.4	1560.7889761673846
1902.6	1560.6558180657764
1902.8	1560.5226592926228
1903.0	1560.3895011910151
1903.2	1560.2563430894068
1903.4	1560.1231843162534
1903.6	1559.990026214646
1903.8	1559.8568674414919
1904.0	1559.7237093398842
1904.2	1559.5905505667306
1904.4	1559.4573924651224
1904.6	1559.3242343635143
1904.8	1559.1910755903607
1905.0	1559.057917488753
1905.2	1558.9247587155994
1905.4	1558.791600613991
1905.6	1558.6584425123838
1905.8	1558.5252837392297
1906.0	1558.392125637622
1906.2	1558.2589668644684
1906.4	1558.1258087628607
1906.6	1557.9926499897072
1906.8	1557.859491888099
1907.0	1557.726333786491
1907.2	1557.5931750133377
1907.4	1557.4600169117289
1907.6	1557.3268581385755
1907.8	1557.1937000369676
1908.0	1557.0605419353599
1908.2	1556.9273831622063
1908.4	1556.7942250605986
1908.6	1556.661066287445
1908.8	1556.5279081858368
1909.0	1556.394750084229
1909.2	1556.2615913110753
1909.4	1556.1284332094672
1909.6	1555.9952744363136
1909.8	1555.8621163347063
1910.0	1555.7289575615523
1910.2	1555.5957994599446
1910.4	1555.4626413583364
1910.6	1555.3294825851829
1910.8	1555.1963244835745
1911.0	1555.0631657104211
1911.2	1554.9300076088132
1911.4	1554.796849507205
1911.6	1554.6636907340514
1911.8	1554.5305326324442
1912.0	1554.3973738592897
1912.2	1554.2642157576825
1912.4	1554.1310569845289
1912.6	1553.9978988829207
1912.8	1553.8647407813128
1913.0	1553.7315820081594
1913.2	1553.598423906551
1913.4	1553.4652651333977
1913.6	1553.3321070317897
1913.8	1553.198948930182
1914.0	1553.0657901570285
1914.2	1552.9326320554208
1914.4	1552.7994732822667
1914.6	1552.6663151806583
1914.8	1552.5331570790506
1915.0	1552.399998305897
1915.2	1552.2668402042889
1915.4	1552.1336814311353
1915.6	1552.0005233295276
1915.8	1551.867364556374
1916.0	1551.7342064547663
1916.2	1551.6010483531584
1916.4	1551.467889580005
1916.6	1551.3347314783966
1916.8	1551.2015727052433
1917.0	1551.0684146036353
1917.2	1550.9352565020272
1917.4	1550.8020977288732
1917.6	1550.6689396272654
1917.8	1550.5357808541119
1918.0	1550.4026227525042
1918.2	1550.2694639793506
1918.4	1550.1363058777429
1918.6	1550.0031477761345
1918.8	1549.869989002981
1919.0	1549.7368309013732
1919.2	1549.6036721282196
1919.4	1549.4705140266115
1919.6	1549.3373559250042
1919.8	1549.2041971518502
1920.0	1549.0710390502422
1920.2	1548.9378802770889
1920.4	1548.8047221754805
1920.6	1548.6715640738723
1920.8	1548.5384053007188
1921.0	1548.405247199111
1921.2	1548.2720884259575
1921.4	1548.1389303243493
