Profundidade [m]	Produtividade Primária [gC/m²/yr]
1880.6	124.89667086274214
1880.8	124.90056785116181
1881.0	124.90446531029491
1881.2	124.90836320092052
1881.4	124.91226154278345
1881.6	124.91616035563777
1881.8	124.92005960024895
1882.0	124.92395931603696
1882.2	124.92785946375814
1882.4	124.93176006316898
1882.6	124.93566113403494
1882.8	124.93956263709892
1883.0	124.94346461180369
1883.2	124.94736701888311
1883.4	124.95126989778916
1883.6	124.95517320924652
1883.8	124.95907697302775
1884.0	124.9629812089145
1884.2	124.9668858776179
1884.4	124.97079101861286
1884.6	124.97469659260145
1884.8	124.97860261936772
1885.0	124.98250911870483
1885.2	124.98641605130125
1885.4	124.99032345665485
1885.6	124.99423129544498
1885.8	124.9981395874672
1886.0	125.00204835252632
1886.2	125.00595755128798
1886.4	125.00986722327315
1886.6	125.01377732913835
1886.8	125.01768790841373
1887.0	125.02159892174676
1887.2	125.02551038894923
1887.4	125.02942232984213
1887.6	125.03333470505925
1887.8	125.03724755415374
1888.0	125.04116083775028
1888.2	125.04507457567229
1888.4	125.04898878775234
1888.6	125.05290343460143
1888.8	125.05681855579573
1889.0	125.06073411193722
1889.2	125.06465014261124
1889.4	125.06856660841065
1889.6	125.07248352917503
1889.8	125.07640092475317
1890.0	125.08031875572415
1890.2	125.08423706169651
1890.4	125.08815580324024
1890.6	125.09207500020648
1890.8	125.09599467245569
1891.0	125.09991478054413
1891.2	125.10383536410336
1891.4	125.10775638368057
1891.6	125.11167785913854
1891.8	125.11559981034935
1892.0	125.11952219784635
1892.2	125.12344506128433
1892.4	125.12736836118756
1892.6	125.13129213721993
1892.8	125.13521634989661
1893.0	125.13914101909667
1893.2	125.14306616470849
1893.4	125.14699174723341
1893.6	125.15091780635862
1893.8	125.15484430257627
1894.0	125.15877125577711
1894.2	125.16269868586114
1894.4	125.1666265533069
1894.6	125.1705548978246
1894.8	125.1744836798836
1895.0	125.17841293920341
1895.2	125.18234263624427
1895.4	125.18627279091316
1895.6	125.19020342312638
1895.8	125.1941344933304
1896.0	125.19806604126791
1896.2	125.2019980273761
1896.4	125.20593047157378
1896.6	125.20986339378891
1896.8	125.21379675444487
1897.0	125.21773059330769
1897.2	125.2216648707916
1897.4	125.22559960682699
1897.6	125.22953482135361
1897.8	125.2334704747718
1898.0	125.2374066068709
1898.2	125.2413431780421
1898.4	125.24528022808398
1898.6	125.24921771737856
1898.8	125.25315566587263
1899.0	125.25709409352223
1899.2	125.26103296069566
1899.4	125.2649723072147
1899.6	125.26891209343837
1899.8	125.27285233932517
1900.0	125.27679306484293
1900.2	125.28073423033676
1900.4	125.2846758756519
1900.6	125.28861796112429
1900.8	125.29256052660837
1901.0	125.29650353243088
1901.2	125.30044699856678
1901.4	125.30439094500026
1901.6	125.30833533204421
1901.8	125.31228019957646
1902.0	125.31622550790068
1902.2	125.3201712770035
1902.4	125.32411752688093
1902.6	125.3280642178227
1902.8	125.33201138973008
1903.0	125.33595900288356
1903.2	125.33990707728157
1903.4	125.34385563293186
1903.6	125.34780463010107
1903.8	125.35175410871382
1904.0	125.3557040290275
1904.2	125.35965443097612
1904.4	125.36360527480775
1904.6	125.36755658053735
1904.8	125.3715083681891
1905.0	125.37546059799728
1905.2	125.37941330991927
1905.4	125.38336646418009
1905.6	125.3873200808063
1905.8	125.39127417983407
1906.0	125.39522872147438
1906.2	125.39918374570809
1906.4	125.40313921273702
1906.6	125.4070951625514
1906.8	125.4110515553437
1907.0	125.41500841115716
1907.2	125.41896575004431
1907.4	125.42292353218375
1907.6	125.42688179758916
1907.8	125.43084050642986
1908.0	125.43479967876083
1908.2	125.43875933464648
1908.4	125.44271943424212
1908.6	125.44668001758502
1908.8	125.4506410448212
1909.0	125.45460253601746
1909.2	125.45856451125007
1909.4	125.46252693065105
1909.6	125.46648983428125
1909.8	125.47045318226333
1910.0	125.47441701466761
1910.2	125.47838129160742
1910.4	125.48234603316628
1910.6	125.48631125943692
1910.8	125.49027693051885
1911.0	125.49424308650579
1911.2	125.49820968748796
1911.4	125.50217675356053
1911.6	125.50614430482825
1911.8	125.5101123013672
1912.0	125.51408078329483
1912.2	125.51804971067787
1912.4	125.5220191236432
1912.6	125.52598898224828
1912.8	125.52995930660497
1913.0	125.53393011683457
1913.2	125.53790137298058
1913.4	125.54187311519341
1913.6	125.54584530350718
1913.8	125.54981795804565
1914.0	125.55379109894203
1914.2	125.5577646862164
1914.4	125.56173876004287
1914.6	125.56571328043218
1914.8	125.56968826751992
1915.0	125.57366374145127
1915.2	125.57763966222286
1915.4	125.58161607003251
1915.6	125.58559292486751
1915.8	125.58957026693517
1916.0	125.59354805621335
1916.2	125.59752631285447
1916.4	125.60150505702026
1916.6	125.60548424867467
1916.8	125.60946392804861
1917.0	125.61344405509661
1917.2	125.61742464998294
1917.4	125.62140573288134
1917.6	125.62538726373218
1917.8	125.62936928279021
1918.0	125.63335174998649
1918.2	125.63733470558516
1918.4	125.64131810950795
1918.6	125.64530198193582
1918.8	125.64928634305916
1919.0	125.65327115278559
1919.2	125.65725645140306
1919.4	125.66124219880976
1919.6	125.66522841519853
1919.8	125.6692151207719
1920.0	125.67320227541386
1920.2	125.67718991943613
1920.4	125.68117801271346
1920.6	125.68516657545065
1920.8	125.68915562786212
1921.0	125.6931451298084
1921.2	125.69713512162502
1921.4	125.70112556316315
1921.6	125.70511649476785
1921.8	125.70910787628078
1922.0	125.71309972792366
1922.2	125.7170920699276
1922.4	125.7210848621202
1922.6	125.72507814487037
1922.8	125.72907187799622
1923.0	125.73306608173141
1923.2	125.73706077631913
1923.4	125.74105592156333
1923.6	125.74505155785683
1923.8	125.74904764499408
1924.0	125.75304420322082
1924.2	125.75704125279222
1924.4	125.76103875348859
1924.6	125.7650367457267
1924.8	125.76903518927743
1925.0	125.773034124567
1925.2	125.77703351135689
1925.4	125.78103336990958
1925.6	125.7850337204971
1925.8	125.7890345228667
1926.0	125.79303581746859
1926.2	125.79703756404055
1926.4	125.80103978285715
1926.6	125.80504249420238
1926.8	125.80904565779987
1927.0	125.81304931412379
1927.2	125.8170534228882
1927.4	125.8210580245769
1927.6	125.82506307889447
1927.8	125.82906860613231
1928.0	125.83307462659143
1928.2	125.83708109996219
1928.4	125.84108806675236
1928.6	125.84509548664279
1928.8	125.849103379937
1929.0	125.85311176694805
1929.2	125.85712060734252
1929.4	125.86112994165225
1929.6	125.86513972953439
1929.8	125.86914999130444
1930.0	125.87316074728756
1930.2	125.8771719571267
1930.4	125.8811836613776
1930.6	125.88519581967371
1930.8	125.88920847258042
1931.0	125.89322157972165
1931.2	125.89723516142982
1931.4	125.90124923804707
1931.6	125.90526376918301
1931.8	125.90927879542711
1932.0	125.91329427637946
1932.2	125.91731023238468
1932.4	125.92132668379695
1932.6	125.92534359020206
1932.8	125.92936099221365
1933.0	125.93337884940796
1933.2	125.9373972024082
1933.4	125.9414160107812
1933.6	125.94543529488843
1933.8	125.9494550751011
1934.0	125.95347531097164
1934.2	125.95749604314749
1934.4	125.96151723117144
1934.6	125.96553889541723
1934.8	125.96956105626819
1935.0	125.97358367325289
1935.2	125.97760678704287
1935.4	125.9816303571571
1935.6	125.98565440398144
1935.8	125.98967894791146
1936.0	125.99370394845174
1936.2	125.997729446298
1936.4	126.00175540094538
1936.6	126.00578185309928
1936.8	126.0098087622452
1937.0	126.01383614878601
1937.2	126.01786403313432
1937.4	126.02189237476128
1937.6	126.02592121439648
1937.8	126.02995051150151
1938.0	126.03398028649146
1938.2	126.03801055979108
