 Profundidade [m]  Densidade Aparente Seca  Produtividade Primária  Taxa de Sedimentação  Paleobatimetria  Fração de Areia      Idades  Fluxo de Carbono [gC/m²/yr]  Eficiência de Soterramento [v/v]  COₘₐ [%]   rCO [%]   qCO [%]  COₜₑ [%]   COT [%]
           1880.6                 1.058552              124.896671             10.086339      1575.303239       100.000000   52.181082                     0.481132                          0.118518  0.053379  0.000000  0.000000  0.000000  0.053379
           1881.1                 1.058552              124.906414             10.086339      1574.970344        99.091110   52.186038                     0.481315                          0.118518  0.053399  0.004544  0.054533  0.059078  0.112477
           1881.6                 1.058552              124.916160             10.086339      1574.637448        98.633829   52.190996                     0.481499                          0.118518  0.053420  0.006831  0.081970  0.088801  0.142221
           1882.1                 1.058552              124.925909             10.086339      1574.304552        97.607123   52.195953                     0.481683                          0.118518  0.053440  0.011964  0.143573  0.155537  0.208977
           1882.6                 1.058552              124.935661             10.086339      1573.971656        98.601773   52.200910                     0.481866                          0.118518  0.053461  0.006991  0.083894  0.090885  0.144345
           1883.1                 1.058552              124.945416             10.086339      1573.638760        99.292719   52.205867                     0.482050                          0.118518  0.053481  0.003536  0.042437  0.045973  0.099454
           1883.6                 1.058552              124.955173             10.086339      1573.305864        99.769072   52.210825                     0.482234                          0.118518  0.053501  0.001155  0.013856  0.015010  0.068512
           1884.1                 1.058552              124.964934             10.086339      1572.972968        98.383326   52.215781                     0.482419                          0.118518  0.053522  0.008083  0.097000  0.105084  0.158606
           1884.6                 1.058552              124.974697             10.086339      1572.640072        98.528994   52.220739                     0.482603                          0.118518  0.053542  0.007355  0.088260  0.095615  0.149158
           1885.1                 1.058552              124.984463             10.086339      1572.307176        98.992402   52.225696                     0.482787                          0.118518  0.053563  0.005038  0.060456  0.065494  0.119057
           1885.6                 1.058552              124.994231             10.086339      1571.974280        98.951079   52.230653                     0.482972                          0.118518  0.053583  0.005245  0.062935  0.068180  0.121763
           1886.1                 1.058552              125.004003             10.086543      1571.641384        98.962691   52.235610                     0.483156                          0.118519  0.053603  0.005187  0.062239  0.067425  0.121028
           1886.6                 1.058552              125.013777             10.086339      1571.308488        98.384901   52.240568                     0.483341                          0.118518  0.053624  0.008075  0.096906  0.104981  0.158606
           1887.1                 1.058552              125.023555             10.086543      1570.975592        98.583190   52.245525                     0.483526                          0.118519  0.053644  0.007084  0.085009  0.092093  0.145737
           1887.6                 1.058552              125.033335             10.086339      1570.642697        97.344120   52.250482                     0.483711                          0.118518  0.053665  0.013279  0.159353  0.172632  0.226297
           1888.1                 1.058552              125.043118             10.086543      1570.309801        97.923153   52.255439                     0.483896                          0.118519  0.053685  0.010384  0.124611  0.134995  0.188680
           1888.6                 1.058552              125.052903             10.086339      1569.976905        98.151130   52.260396                     0.484081                          0.118518  0.053706  0.009244  0.110932  0.120177  0.173883
           1889.1                 1.058552              125.062692             10.086339      1569.644008        97.273545   52.265353                     0.484266                          0.118518  0.053727  0.013632  0.163587  0.177220  0.230946
