Unnamed: 0,Profundidade [m],COₘₐ [%],qCO [%],rCO [%],COT [%],IH [mg HC/g COT],IO  [mg CO₂/g COT],δ¹³C [‰],of,of_class
0,1880.6,0.05337908735228345,0.0,0.0,0.05337908735228345,550.0,20.0,-18.0,-99.0,??
1,1881.1,0.05339943793286458,0.05453340291128317,0.004544450242606911,0.11247729108675468,370.20545317007293,92.32185142147621,-19.252501337466907,-99.0,??
2,1881.6,0.05341980055224478,0.08197023937927206,0.0068308532816059855,0.1422208932131228,336.26700749519745,105.9734958614824,-19.4889264646402,-99.0,??
3,1882.1,0.05344017525976072,0.14357261997797988,0.011964384998164934,0.2089771802359056,295.2281001124999,122.4812810783427,-19.77481548236236,-99.0,??
4,1882.6,0.05346056202678707,0.08389362419626599,0.006991135349688815,0.14434532157274188,334.47134990490605,106.69579408319508,-19.501435539988293,-99.0,??
5,1883.1,0.05348096089934345,0.04243684222579347,0.0035364035188160674,0.099454206643953,391.7664150188205,83.64901508231709,-19.10230137852057,-99.0,??
6,1883.6,0.05350137185081597,0.013855680424083694,0.0011546400353402706,0.06851169231023993,475.00333907973857,50.16719619039731,-18.522448649107442,-99.0,??
7,1884.1,0.05352179492936104,0.09700042436545164,0.008083368697120894,0.15860558799193358,323.20477066660646,111.22774393410654,-19.57992182232251,-99.0,??
8,1884.6,0.05354223010626901,0.08826033760925878,0.007355028134104878,0.14915759584963267,330.56849863843263,108.26570504206866,-19.528623942069345,-99.0,??
9,1885.1,0.05356267742771995,0.06045586295655081,0.005037988579712549,0.1190565289639833,361.694080326304,95.74552723953171,-19.31179404716508,-99.0,??
10,1885.6,0.05358313686701845,0.06293523100538945,0.0052446025837823975,0.1217629704561903,358.3285796133812,97.09929044765111,-19.33523910831127,-99.0,??
11,1886.1,0.05360290070355928,0.06223852857945111,0.005186544048287557,0.12102797333129794,359.2992852842292,96.70882681825388,-19.32847688903121,-99.0,??
12,1886.6,0.053624092215324916,0.09690593727959662,0.008075494773299718,0.15860552426822125,323.4255984652106,111.1389165724209,-19.578383471365946,-99.0,??
13,1887.1,0.05364387983164357,0.08500859687365027,0.007084049739470798,0.14573652644476462,333.69169274393846,107.00940898614608,-19.50686685953661,-99.0,??
14,1887.6,0.05366509622537194,0.15935278351946106,0.013279398626621695,0.22629727837145466,288.86860543029474,125.03936995051069,-19.81911758014851,-99.0,??
15,1888.1,0.053684907663128785,0.12461083291624675,0.010384236076353859,0.1886799766557294,305.08874148267165,118.51486578562195,-19.706123373940933,-99.0,??
16,1888.6,0.053706148979745016,0.11093222434416994,0.009244352028680793,0.17388272535259575,313.41889946679765,115.16408313582744,-19.64809305989422,-99.0,??
17,1889.1,0.05372669368949387,0.16358728277689405,0.013632273564741115,0.23094625003112906,287.32581778261664,125.65995194811602,-19.82986508960424,-99.0,??
18,1889.6,0.053745831245166485,0.17229166780144745,0.014357638983453937,0.2403951380300679,284.22302131427153,126.90804311178736,-19.851480076237657,-99.0,??
19,1890.1,0.05376781970373877,0.1522094940554286,0.012684124504619032,0.2186614382637864,291.8641599829685,123.8344165461767,-19.79824967202876,-99.0,??
20,1890.6,0.05378698063195034,0.10585250935377656,0.008821042446148009,0.1684605324318749,316.9861402032973,113.72917056990966,-19.62324261880849,-99.0,??
21,1891.1,0.053808994657104176,0.14441304515820352,0.012034420429850257,0.210256460245158,295.2959549951945,122.45398664238236,-19.774342785426732,-99.0,??
22,1891.6,0.05382817899708717,0.06083524881661884,0.0050696040680515714,0.11973303188175755,361.58300472079947,95.79020708983576,-19.312567832282078,-99.0,??
23,1892.1,0.05384950760422768,0.15053760342971054,0.01254480028580923,0.21693191131974748,292.66413395690535,123.51262926227848,-19.79267681962605,-99.0,??
24,1892.6,0.053870849032234366,0.16068262919727516,0.013390219099772891,0.2279436973292825,288.5912587531989,125.15093187230869,-19.821049658123776,-99.0,??
25,1893.1,0.05389078012891877,0.158637311807599,0.013219775983966564,0.2257478679204843,289.4083777155654,124.82224806497484,-19.81535736872303,-99.0,??
26,1893.6,0.0539121466784554,0.14927854265719365,0.012439878554766082,0.21563056789041515,293.27638186788846,123.26635425988304,-19.788411721819198,-99.0,??
27,1894.1,0.053932101828601205,0.11833555902493753,0.00986129658541146,0.1821289574389502,309.0566024088149,116.9188048737576,-19.678482095579046,-99.0,??
28,1894.6,0.053953493543157406,0.11588695362057425,0.009657246135047814,0.17949769329877946,310.5833004804684,116.30469486291271,-19.667846670810217,-99.0,??
29,1895.1,0.05397418546502175,0.17948942691174086,0.014957452242644997,0.2484210646194076,282.0651427778699,127.77604369159836,-19.866512488513717,-99.0,??
