Depht     COT
4317,0    0,671
4347,0    0,711
4407,0    0,694
4443,0    0,63
4473,0    0,72
4497,0    0,8
4521,0    0,94
4533,0    0,78
4569,0    0,66
4614,0    0,51
4641,0    0,6
4653,0    0,64
4671,0    6,12
4674,0    1,5
4689,0    0,557
4713,0    0,692
4728,0    0,728
4740,0    0,928
4752,0    0,937
4770,0    0,787
4785,0    0,68
4800,0    0,693
4827,0    0,694
4842,0    0,69
4854,0    0,71
4866,0    0,73
4878,0    0,912
4881,0    1,13
4884,0    1,1
4887,0    1,11
4890,0    1,12
4893,0    1,21
4896,0    1,16
4899,0    0,99
4902,0    1,15
4905,0    1,32
4908,0    1,3
4911,0    1,43
4914,0    1,53
4917,0    1,63
4920,0    1,59
4923,0    1,52
4926,0    1,53
4929,0    1,67
4932,0    1,76
4935,0    1,63
4938,0    1,87
4941,0    1,95
4944,0    2,14
4947,0    2,24
4950,0    2,01
4953,0    2,21
4956,0    2,49
4959,0    2,71
4962,0    2,29
4965,0    2,52
4968,0    2,53
4971,0    2,28
4974,0    2,49
4977,0    2,32
4980,0    2,43
4983,0    2,67
4986,0    2,43
4989,0    2,66
4992,0    2,81
4995,0    2,75
4998,0    3
5001,0    2,79
5004,0    2,87
5007,0    2,83
5010,0    2,83
5013,0    2,66
5016,0    2,26
5019,0    2,13
5022,0    2,14
5043,0    1,05
    
