Profundidade [m],Densidade Aparente Seca [g/cm3]
2400.0,1.822233
2400.2,1.8449489999999997
2400.4,1.8019600000000002
2400.6,1.7523110000000002
2400.8,1.750906
2401.0,1.777878
2401.2,1.785419
2401.4,1.7814659999999998
2401.6,1.715767
2401.8,1.6810939999999999
2402.0,1.685314
2402.2,1.7465330000000001
2402.4,1.814921
2402.6,1.813709
2402.8,1.711086
2403.0,1.648711
2403.2,1.686693
2403.4,1.7267350000000001
2403.6,1.7892180000000002
2403.8,1.8419109999999999
2404.0,1.83451
2404.2,1.7814349999999999
2404.4,1.733201
2404.6,1.7192930000000002
2404.8,1.802273
2405.0,1.7808650000000001
2405.2,1.7740960000000001
2405.4,1.8144
2405.6,1.870939
2405.8,1.8640880000000002
2406.0,1.8235230000000002
2406.2,1.831705
2406.4,1.810653
2406.6,1.788321
2406.8,1.764584
2407.0,1.7137740000000001
2407.2,1.6914300000000002
2407.4,1.6895930000000001
2407.6,1.750615
2407.8,1.757447
2408.0,1.7594130000000001
2408.2,1.7550939999999997
2408.4,1.793269
2408.6,1.777103
2408.8,1.7388120000000002
2409.0,1.734675
2409.2,1.812401
2409.4,1.8503979999999998
2409.6,1.7847570000000001
2409.8,1.691733
2410.0,1.6089729999999998
2410.2,1.6255089999999999
2410.4,1.652468
2410.6,1.7575880000000002
2410.8,1.771612
2411.0,1.799
2411.2,1.826793
2411.4,1.8248190000000002
2411.6,1.8509699999999998
2411.8,1.842716
2412.0,1.8420869999999998
2412.2,1.8794790000000001
2412.4,1.8977120000000003
2412.6,1.852453
2412.8,1.770795
2413.0,1.722042
2413.2,1.750257
2413.4,1.827735
2413.6,1.801498
2413.8,1.8032690000000002
2414.0,1.788212
2414.2,1.749977
2414.4,1.768977
2414.6,1.751423
2414.8,1.808457
2415.0,1.8225689999999999
2415.2,1.8601619999999999
2415.4,1.8703860000000003
2415.6,1.876535
2415.8,1.8286100000000003
2416.0,1.777316
2416.2,1.739366
2416.4,1.68908
2416.6,1.682625
2416.8,1.670561
2417.0,1.7166549999999998
2417.2,1.7394120000000002
2417.4,1.789437
2417.6,1.742074
2417.8,1.6616210000000002
2418.0,1.6359650000000001
2418.2,1.553709
2418.4,1.5558720000000001
2418.6,1.5434759999999998
2418.8,1.5978539999999999
2419.0,1.64594
2419.2,1.73428
2419.4,1.773142
2419.6,1.869381
2419.8,1.8729269999999998
2420.0,1.7626839999999997
2420.2,1.753958
2420.4,1.7910639999999998
2420.6,1.833232
2420.8,1.840186
2421.0,1.8373099999999998
2421.2,1.828343
