Profundidade [m],Produtividade Primária [gC/m²/yr]
2400.0,117.7164896563883
2400.2,117.7164896563883
2400.4,117.7164896563883
2400.6,117.7164896563883
2400.8,117.7164896563883
2401.0,117.7164896563883
2401.2,117.7164896563883
2401.4,117.7164896563883
2401.6,117.71709269863109
2401.8,117.73070487596415
2402.0,117.74432284387035
2402.2,117.75794670621612
2402.4,117.77157641758974
2402.6,117.78521193249833
2402.8,117.79885335495048
2403.0,117.81250063948406
2403.2,117.82615374055572
2403.4,117.83981276231646
2403.6,117.85347765925366
2403.8,117.8671483857735
2404.0,117.88082504616963
2404.2,117.89450754506787
2404.4,117.90819598625698
2404.6,117.92189032474033
2404.8,117.93559051483989
2405.0,117.94929666048702
2405.2,117.9630087166351
2405.4,117.97672663735482
2405.6,117.99045052732195
2405.8,118.00418034083843
2406.0,118.01791603212429
2406.2,118.03165770599915
2406.4,118.04540531671425
2406.6,118.05915881843856
2406.8,118.07291831613621
2407.0,118.0866837640074
2407.2,118.10045511617001
2407.4,118.11423247773293
2407.6,118.12801580284525
2407.8,118.14180504557393
2408.0,118.15560031117262
2408.2,118.1694015034963
2408.4,118.1832087272903
2408.6,118.19702193722392
2408.8,118.21188907908474
2409.0,118.22739099426845
2409.2,118.24290040221042
2409.4,118.25841735957471
2409.6,118.27394187272233
2409.8,118.2894739482246
2410.0,118.30501359205287
2410.2,118.32056086127582
2410.4,118.3361156613455
2410.6,118.35167804911885
2410.8,118.36724803100289
2411.0,118.38282561361544
2411.2,118.39841085357833
2411.4,118.41400365633856
2411.6,118.42960407891489
2411.8,118.4452121277529
2412.0,118.46082780950964
2412.2,118.4764511302391
2412.4,118.49208214736785
2412.6,118.50772076588943
2412.8,118.52336704301763
2413.0,118.53902098524479
2413.2,118.5546825992754
2413.4,118.57035194208761
2413.6,118.58602891866941
2413.8,118.6017135863982
2414.0,118.61740595180558
2414.2,118.6331060216359
2414.4,118.6488138020271
2414.6,118.66452935076784
2414.8,118.68025257238935
2415.0,118.69598352446643
2415.2,118.71172221357816
2415.4,118.72746864651707
2415.6,118.74322288062193
2415.8,118.7589848204179
2416.0,118.77475452364509
2416.2,118.79053199692271
2416.4,118.80631724708374
2416.6,118.8221102803517
2416.8,118.83791115488144
2417.0,118.85371977473814
2417.2,118.8695361978617
2417.4,118.88536043091952
2417.6,118.90119248079367
2417.8,118.91703240518764
2418.0,118.93288010815998
2418.2,118.94873564781784
2418.4,118.96459903086938
2418.6,118.98047026423782
2418.8,118.9963493542339
2419.0,119.01223635938251
2419.2,119.02813118327938
2419.4,119.04403388423354
2419.6,119.05994446900222
2419.8,119.07586294455871
2420.0,119.09178936897526
2420.2,119.1077236458402
2420.4,119.12366583363183
2420.6,119.13961593914881
2420.8,119.15557396940638
2421.0,119.17153993080366
2421.2,119.18751388224018
2421.4,119.20349572683828
2421.6,119.21948552328034
2421.8,119.23548327841523
2422.0,119.25148899930878
2422.2,119.26750274440622
2422.4,119.28352441682215
2422.6,119.29955407541006
2422.8,119.31559172706096
2423.0,119.3316373788834
2423.2,119.34769103736667
2423.4,119.36375276178923
2423.6,119.37982245479611
2423.8,119.39590017544758
2424.0,119.41198593068547
2424.2,119.4280797276699
2424.4,119.44418162522358
2424.6,119.46029152598325
2424.8,119.4764094891823
2425.0,119.49253552180535
2425.2,119.50866963105604
2425.4,119.52481182351553
2425.6,119.54096215884543
2425.8,119.55712053920986
2426.0,119.57328702405118
