Profundidade [m],COT [%],S1 [mg HC/g rocha],S2 [mg HC/g rocha],S3 [mg CO2/g rocha],Tmáx [°C],IH [mg HC/g COT,IO [mg CO2/g COT],Ro [%]
2400,1.01,2.29,2.6,4.34,378,257.4258,429.703,-99999
2820,1.07,0.25,0.39,2.83,319,36.4486,264.486,0.25
2829,0.681,0.62,0.92,1.35,290,135.0955,198.2379,-99999
2847,0.98,0.44,0.83,1.43,288,84.6939,145.9184,-99999
2856,1.27,0.54,1.01,1.76,290,79.5276,138.5827,-99999
2865,1.38,0.5,0.97,1.92,290,70.2899,139.1304,-99999
2874,1.51,0.45,0.96,2.07,291,63.5762,137.0861,-99999
2883,1.68,0.76,1.25,2.58,297,74.4048,153.5714,-99999
2892,1.6,0.61,1.09,2.46,290,68.125,153.75,-99999
2901,1.81,0.89,1.44,2.98,291,79.558,164.6409,-99999
2910,1.61,0.54,0.87,2.66,335,54.0373,165.2174,-99999
2919,1.55,0.37,0.76,2.37,288,49.0323,152.9032,-99999
2928,1.64,0.44,0.81,2.59,291,49.3902,157.9268,-99999
2937,1.63,0.39,0.7,2.77,297,42.9448,169.9386,-99999
2946,1.68,0.27,0.62,2.69,290,36.9048,160.119,-99999
2955,1.63,0.44,0.83,2.96,292,50.9202,181.5951,-99999
2964,1.6,0.29,0.6,2.85,292,37.5,178.125,-99999
2973,1.45,0.32,0.62,2.95,324,42.7586,203.4483,-99999
2982,1.35,0.17,0.43,2.65,345,31.8519,196.2963,-99999
2991,1.4,0.43,0.74,3.7,295,52.8571,264.2857,-99999
3000,1.22,0.22,0.38,3.7,315,31.1475,303.2787,-99999
3006,1.24,0.3,0.44,4.38,311,35.4839,353.2258,-99999
3012,1.17,0.23,0.43,4.03,314,36.7521,344.4445,-99999
3018,1.19,0.24,0.43,4,318,36.1345,336.1344,-99999
3024,1.11,0.17,0.28,4.64,316,25.2252,418.018,-99999
3030,1.08,0.09,0.19,3.91,335,17.5926,362.037,-99999
3036,1.02,0.17,0.28,4.71,315,27.451,461.7647,-99999
3042,1.01,0.21,0.31,4.38,311,30.6931,433.6634,-99999
3054,0.8,0.12,0.17,3.32,321,21.25,415,-99999
3060,0.93,0.14,0.27,3.44,323,29.0323,369.8925,-99999
3072,0.974,0.14,0.29,3.74,322,29.7741,383.9836,-99999
3090,0.683,0.13,0.22,4.66,319,32.2108,682.284,-99999
3228,0.73,0.27,0.55,4.3,315,75.3425,589.0411,-99999
3507,0.912,0.22,0.51,3.83,361,55.9211,419.9561,-99999
3516,1.03,0.26,0.96,5.37,397,93.2039,521.3592,-99999
3684,0.87,0.2,0.53,4.13,402,60.9195,474.7126,-99999
3759,0.702,0.87,1.41,3.49,422,200.8547,497.151,-99999
3786,0.75,1.03,1.62,3.54,424,216,472,-99999
3831,0.72,0.95,2.01,3.04,419,279.1667,422.2222,-99999
3876,0.552,0.95,1.29,2.47,289,233.6956,447.4638,-99999
4002,0.603,1.04,1.53,2.55,289,253.7314,422.8856,-99999
4083,0.571,0.85,1.67,2.31,423,292.4694,404.5534,0.46
4131,0.68,1.08,1.7,2.78,406,250,408.8235,-99999
4203,0.665,0.99,1.3,2.92,425,195.4887,439.0977,-99999
4245,0.632,1.03,1.3,2.16,426,205.6962,341.7722,-99999
4287,0.67,0.67,1.07,2.87,424,159.7015,428.3582,-99999
4317,0.671,0.62,0.93,2.94,296,138.5991,438.152,-99999
4347,0.711,0.72,1.09,3.08,424,153.3052,433.1927,-99999
4407,0.694,0.77,1.29,2.91,427,185.879,419.3084,-99999
4443,0.63,0.58,1.09,3.34,432,173.0159,530.1587,-99999
4473,0.72,0.56,0.81,3.54,431,112.5,491.6667,-99999
4497,0.8,0.41,1.08,2.74,437,135,342.5,-99999
4521,0.94,0.85,1.5,5.51,423,159.5745,586.1702,-99999
4533,0.78,0.56,0.97,4.47,433,124.359,573.0769,-99999
4569,0.66,0.36,0.83,2.49,437,125.7576,377.2727,-99999
4614,0.51,0.53,0.73,2.82,438,143.1373,552.9412,-99999
4641,0.6,0.62,1.05,3.15,433,175,525,-99999
4653,0.64,0.73,1.13,2.85,435,176.5625,445.3125,-99999
4671,6.12,13.1,19.5,8.12,402,318.6274,132.6797,-99999
4674,1.5,1.54,4.87,4.81,405,324.6667,320.6667,-99999
4689,0.557,0.52,0.84,4.94,422,150.8079,886.8941,-99999
4713,0.692,0.58,0.94,3.31,432,135.8382,478.3237,-99999
4728,0.728,0.69,1.02,2.07,435,140.1099,284.3407,-99999
4740,0.928,0.62,1.45,1.96,438,156.25,211.2069,-99999
4752,0.937,0.42,1.12,3.64,436,119.5304,388.4739,-99999
4770,0.787,0.44,1.17,4.37,432,148.6658,555.2731,-99999
4785,0.68,0.54,1.09,4.05,435,160.2941,595.5883,-99999
4800,0.693,0.65,1.19,3.73,433,171.7172,538.2395,-99999
4827,0.694,0.69,1.2,2.59,436,172.9107,373.1989,-99999
4842,0.69,0.66,1.08,2.76,436,156.5217,400,-99999
4854,0.71,0.75,1.05,4.07,438,147.8873,573.2394,-99999
4866,0.73,0.61,0.68,3.68,444,93.1507,504.1096,-99999
4878,0.912,0.52,1.45,3.32,441,158.9912,364.0351,-99999
4881,1.13,0.67,2.07,3.02,440,183.1858,267.2567,-99999
4884,1.1,0.6,1.64,3.58,439,149.0909,325.4545,-99999
4887,1.11,0.62,1.91,2.4,439,172.0721,216.2162,-99999
