DR      DT     GR     RHOB    COT
4.97    50.95  23.73  2.39    0.75       
163.3   97.1   146.9  2.7     5.1
158.3   46.1   123.2  0.3     4.4
40.86   9.27   24.91  0.07    1.03
1670    86     621    0.0055  1.061
4.97    53.78  28.07  2.39    0.76
163.3   95.0   146.9  2.7     5.0
158.3   41.2   118.9  0.3     4.2
38.95   8.24   22.31  0.07    0.98
1517    68     498    0.0053  0.953
4.97    52.00  26.16  2.40    0.84
163.6   97.1   146.9  2.7     5.1
158.6   45.1   120.8  0.3     4.3
42.12   7.52   20.73  0.06    0.85
1774    57     430    0.0040  0.731
4.97    50.95  27.37  2.39    0.76    
163.6   97.1   146.9  2.7     5.1
158.6   46.1   119.6  0.3     4.4
39.81   8.20   21.63  0.07    0.96 
1585    67     468    0.0044  0.916
