LITOLOGIA,ABREVIACAO,COR,ID_petro,ID_strat
CALCARIO,CAL,#beffff,1,
CALCARIO CRISTALINO,CLC,#00ecec,2,
MARMORE,MRM,#ffbeff,3,
COQUINA,COQ,#afecec,4,
MARMORE DOLOMITICO,MRD,#ff00ff,5,
CALCILUTITO,CLU,#4effff,6,1017
CALCISSILTITO,CSI,#3fbeff,7,
CALCARENITO,CRE,#007eec,8,1014
SIDERITA,SID,#e98918,9,
CALCIRUDITO,CRU,#007eec,10,1015
CIMENTO,CIM,#4effff,11,
MUDSTONE,MDS,#7faeae,12,1017
WACKESTONE,WKS,#33d8f9,13,1016
PACKSTONE,PKS,#18b1f1,14,1015
GRAINSTONE,GRS,#007eec,15,1014
BIOLITITO,BLT,#afecec,16,
FOSFORITA,PHO,#ffbe1d,18,
CHERT,CHT,#dddddd,19,
ARGILITO ARENOSO,AGN,#ffff3f,20,
ARGILITO CARBONATICO,AGL,#2f0eff,21,
ARGILITO CARBONOSO,AGC,#dddddd,22,
ARGILITO SILTICO,AGS,#af1d4e,23,
ARGILITO TOBACEO,AGB,#dddddd,24,
ARENITO ARGILOSO,ARL,#7eff00,25,
ARENITO CARBONATICO,ARC,#3fbeff,26,
ARENITO CONGLOMERATICO,ARO,#ffbe1d,27,
ARENITO FOSFATICO,ARF,#ffff3f,28,
ARENITO TOBACEO,ART,#dddddd,29,
DOLOMITO,DOL,#00becd,30,1033
VULCANICA NAO IDENTIFICADA,VNI,#ffbe1d,34,
BRECHA,BRC,#ffdd1d,40,
BRECHA VULCANICA,BRV,#da62bc,41,
CONGLOMERADO,CGL,#ffbe1d,42,
TOBA ARENOSA,TON,#ffff3f,43,
DIAMICTITO,DMT,#0eec5d,44,
TOBA ARGILOSA,TOL,#7eff00,45,
TILITO,TIL,#2fec5d,46,
TOBA SILTICA,TOS,#af1d4e,47,
AREIA,ARE,#ffff3f,48,1000
ARENITO,ARN,#ffff3f,49,1000
FOLHELHO SILTICO,FLS,#3fff00,52,
LIMOARCILITA,LMA,#dddddd,53,
SILTITO,SLT,#af1d4e,54,1005
ARGILA,ARG,#7eff00,55,1002
ARGILITO,AGT,#7eff00,56,1002
FOLHELHO,FLH,#3fff00,57,1022
MARGA,MRG,#2f0eff,58,1035
TOBA,TOB,#dddddd,59,
TUFO VULCANICO,TUF,#ff5dbe,61,
IGNIMBRITO,IGB,#b66d23,63,
IGNEA NAO IDENTIFICADA,INI,#ff0000,64,
DIABASIO,DIA,#ff00ff,65,
BASALTO,BAS,#ff00ff,66,
GRANITO,GRN,#ff0000,67,
RIOLITO,RLT,#e98918,68,
METAMORFICA NAO IDENTIFICADA,MNI,#ff0000,70,
GNAISSE,GNA,#ff0000,71,
FILITO,FLT,#3fa000,72,
XISTO,XST,#ff5d5d,73,
QUARTZITO,QZT,#ff3f3f,74,1000
META-ARENITO,MAR,#ff3f3f,75,1000
METASSILTITO,MSI,#dd3f3f,76,
ARDOSIA,ARS,#00dd00,77,1000
ULTRABASICA,ULB,#00a000,78,
METASSEDIMENTO,MSD,#ff0000,79,
TAQUIDRITA,TQD,#6d1ddd,81,
ANIDRITA,AND,#dd1dff,82,1031
GIPSITA,GIP,#dd1dff,83,
SAL NAO IDENTIFICADO,SNI,#8e1ddd,84,1038
HALITA,HAL,#6dafcd,85,1038
SILVINITA,SLV,#cda0dd,86,1038
CARNALITA,CRN,#af5ddd,87,1038
LINHITO,LNT,#dddddd,90,
TALCOESTIVENCITA,TES,#ffff3f,91,
CARVAO,CRV,#dddddd,92,
SILEXITO,SLX,#beffff,94,1037
FANGOLITA,FNG,#dddddd,95,
