Profundidade [m],Paleobatimetria [m]
2400.0,1849.391357421875
2400.2,1849.391357421875
2400.4,1849.391357421875
2400.6,1849.391357421875
2400.8,1849.391357421875
2401.0,1849.391357421875
2401.2,1849.391357421875
2401.4,1849.391357421875
2401.6,1849.36568981157
2401.8,1848.7864371444077
2402.0,1848.2071865940165
2402.2,1847.6279339268556
2402.4,1847.0486812596916
2402.6,1846.469430709302
2402.8,1845.8901780421397
2403.0,1845.3109253749758
2403.2,1844.7316748245876
2403.4,1844.1524221574252
2403.6,1843.5731694902627
2403.8,1842.993918939873
2404.0,1842.4146662727092
2404.2,1841.8354157138515
2404.4,1841.2561630551554
2404.6,1840.676910387993
2404.8,1840.097659829137
2405.0,1839.5184071704396
2405.2,1838.9391545032786
2405.4,1838.359903952889
2405.6,1837.7806512857264
2405.8,1837.201398618564
2406.0,1836.6221480681713
2406.2,1836.0428954010106
2406.4,1835.4636427338482
2406.6,1834.8843921834584
2406.8,1834.305139516296
2407.0,1833.7258868491322
2407.2,1833.146636298744
2407.4,1832.56738363158
2407.6,1831.9881309644193
2407.8,1831.4088804140279
2408.0,1830.8296277468655
2408.2,1830.2503771880079
2408.4,1829.6711245293104
2408.6,1829.0918718621494
2408.8,1828.4687033888542
2409.0,1827.8192373876266
2409.2,1827.1697734947097
2409.4,1826.52030960179
2409.6,1825.87084570887
2409.8,1825.221381807484
2410.0,1824.5719179145656
2410.2,1823.9224519133395
2410.4,1823.272988020421
2410.6,1822.6235241275012
2410.8,1821.9740602345814
2411.0,1821.3245963331967
2411.2,1820.6751303319706
2411.4,1820.0256664390522
2411.6,1819.3762025461324
2411.8,1818.7267386532126
2412.0,1818.077274751825
2412.2,1817.4278108589065
2412.4,1816.778344857682
2412.6,1816.1288809647635
2412.8,1815.4794170718437
2413.0,1814.829953178924
2413.2,1814.1804892775376
2413.4,1813.5310232763131
2413.6,1812.8815593833947
2413.8,1812.2320954904749
2414.0,1811.582631597555
2414.2,1810.9331676961674
2414.4,1810.283703803249
2414.6,1809.6342378020242
2414.8,1808.984773909106
2415.0,1808.3353100161862
2415.2,1807.6858461232664
2415.4,1807.03638222188
2415.6,1806.3869162206554
2415.8,1805.7374523277372
2416.0,1805.0879884348174
2416.2,1804.4385245418973
2416.4,1803.7890606405097
2416.6,1803.1395967475928
2416.8,1802.4901307463667
2417.0,1801.8406668534485
2417.2,1801.1912029605285
2417.4,1800.5417390676087
2417.6,1799.892275166224
2417.8,1799.2428091649979
2418.0,1798.5933452720797
2418.2,1797.9438813791596
2418.4,1797.2944174862398
2418.6,1796.6449535848537
2418.8,1795.995489691934
2419.0,1795.3460236907092
2419.2,1794.6965597977908
2419.4,1794.047095904871
2419.6,1793.3976320119527
2419.8,1792.7481681105664
2420.0,1792.0987021093404
2420.2,1791.449238216422
