Profundidade [m]	Idade [Ma]
2400.0	59.978229
2400.2	59.980966
2400.4	59.983702
2400.6	59.986439
2400.8	59.989175
2401.0	59.991912
2401.2	59.994648
2401.4	59.997385
2401.6	60.000121
2401.8	60.002858
2402.0	60.005594
2402.2	60.008331
2402.4	60.011067
2402.6	60.013804
2402.8	60.01654
2403.0	60.019277
2403.2	60.022013
2403.4	60.02475
2403.6	60.027486
2403.8	60.030223
2404.0	60.032959
2404.2	60.035696
2404.4	60.038432
2404.6	60.041169
2404.8	60.043905
2405.0	60.046642
2405.2	60.049378
2405.4	60.052114
2405.6	60.054851
2405.8	60.057587
2406.0	60.060324
2406.2	60.06306
2406.4	60.065797
2406.6	60.068533
2406.8	60.07127
2407.0	60.074006
2407.2	60.076743
2407.4	60.079479
2407.6	60.082216
2407.8	60.084952
2408.0	60.087689
2408.2	60.090425
2408.4	60.093162
2408.6	60.095898
2408.8	60.098842
2409.0	60.10191
2409.2	60.104979
2409.4	60.108047
2409.6	60.111115
2409.8	60.114183
2410.0	60.117251
2410.2	60.12032
2410.4	60.123388
2410.6	60.126456
2410.8	60.129524
2411.0	60.132592
2411.2	60.13566
2411.4	60.138729
2411.6	60.141797
2411.8	60.144865
2412.0	60.147933
2412.2	60.151001
2412.4	60.15407
2412.6	60.157138
2412.8	60.160206
2413.0	60.163274
2413.2	60.166342
2413.4	60.16941
2413.6	60.172479
2413.8	60.175547
2414.0	60.178615
2414.2	60.181683
2414.4	60.184751
2414.6	60.18782
2414.8	60.190888
2415.0	60.193956
2415.2	60.197024
2415.4	60.200092
2415.6	60.20316
2415.8	60.206229
2416.0	60.209297
2416.2	60.212365
2416.4	60.215433
2416.6	60.218501
2416.8	60.22157
2417.0	60.224638
2417.2	60.227706
2417.4	60.230774
2417.6	60.233842
2417.8	60.23691
2418.0	60.239979
2418.2	60.243047
2418.4	60.246115
2418.6	60.249183
2418.8	60.252251
2419.0	60.25532
2419.2	60.258388
2419.4	60.261456
2419.6	60.264524
2419.8	60.267592
2420.0	60.27066
2420.2	60.273729
2420.4	60.276797
2420.6	60.279865
2420.8	60.282933
2421.0	60.286001
2421.2	60.28907
2421.4	60.292138
2421.6	60.295206
2421.8	60.298274
2422.0	60.301342
2422.2	60.30441
2422.4	60.307479
2422.6	60.310547
2422.8	60.313615
2423.0	60.316683
2423.2	60.319751
2423.4	60.32282
2423.6	60.325888
2423.8	60.328956
2424.0	60.332024
2424.2	60.335092
2424.4	60.33816
2424.6	60.341229
2424.8	60.344297
2425.0	60.347365
2425.2	60.350433
2425.4	60.353501
2425.6	60.35657
2425.8	60.359638
2426.0	60.362706
2426.2	60.365774
2426.4	60.368842
2426.6	60.37191
2426.8	60.374979
2427.0	60.378047
2427.2	60.381115
2427.4	60.384183
2427.6	60.387251
2427.8	60.39032
2428.0	60.393388
2428.2	60.396456
2428.4	60.399524
2428.6	60.402592
2428.8	60.40566
2429.0	60.408729
2429.2	60.411797
2429.4	60.414865
2429.6	60.417933
2429.8	60.421001
2430.0	60.42407
2430.2	60.427138
2430.4	60.430206
2430.6	60.433274
2430.8	60.436342
2431.0	60.43941
2431.2	60.442479
2431.4	60.445547
2431.6	60.448615
2431.8	60.451683
2432.0	60.454751
2432.2	60.45782
2432.4	60.460888
2432.6	60.463956
2432.8	60.467024
2433.0	60.470092
2433.2	60.47316
2433.4	60.476229
2433.6	60.479297
2433.8	60.482365
2434.0	60.485433
2434.2	60.488501
2434.4	60.49157
2434.6	60.494638
2434.8	60.497706
2435.0	60.500774
2435.2	60.50431
2435.4	60.508126
2435.6	60.511943
2435.8	60.515759
2436.0	60.519575
2436.2	60.523391
2436.4	60.527208
2436.6	60.531024
2436.8	60.53484
2437.0	60.538656
2437.2	60.542473
2437.4	60.546289
2437.6	60.550105
2437.8	60.553921
2438.0	60.557738
2438.2	60.561554
2438.4	60.56537
2438.6	60.569186
2438.8	60.573003
2439.0	60.576819
2439.2	60.580635
2439.4	60.584452
2439.6	60.588268
2439.8	60.592084
2440.0	60.5959
2440.2	60.599717
2440.4	60.603533
2440.6	60.607349
2440.8	60.611165
2441.0	60.614982
2441.2	60.618798
2441.4	60.622614
2441.6	60.62643
2441.8	60.630247
2442.0	60.634063
2442.2	60.637879
2442.4	60.641695
2442.6	60.645512
2442.8	60.649328
2443.0	60.653144
2443.2	60.65696
2443.4	60.660777
2443.6	60.664593
2443.8	60.668409
2444.0	60.672225
2444.2	60.676042
2444.4	60.679858
2444.6	60.683674
2444.8	60.68749
2445.0	60.691307
2445.2	60.695123
2445.4	60.698939
2445.6	60.702755
2445.8	60.706572
2446.0	60.710388
2446.2	60.714204
2446.4	60.71802
2446.6	60.721837
2446.8	60.725653
2447.0	60.729469
2447.2	60.733285
2447.4	60.737102
2447.6	60.740918
2447.8	60.744734
2448.0	60.74855
2448.2	60.752367
2448.4	60.756183
2448.6	60.759999
2448.8	60.763815
2449.0	60.767632
2449.2	60.771448
2449.4	60.775264
2449.6	60.77908
2449.8	60.782897
2450.0	60.786713
2450.2	60.790529
2450.4	60.794345
2450.6	60.798162
2450.8	60.801978
2451.0	60.805794
2451.2	60.809611
2451.4	60.813427
2451.6	60.817243
2451.8	60.821059
2452.0	60.824876
2452.2	60.828692
2452.4	60.832508
2452.6	60.836324
2452.8	60.840141
2453.0	60.843957
2453.2	60.847773
2453.4	60.851589
2453.6	60.855406
2453.8	60.859222
2454.0	60.863038
2454.2	60.866854
2454.4	60.870671
2454.6	60.874487
2454.8	60.878303
2455.0	60.882119
2455.2	60.885936
2455.4	60.889752
2455.6	60.893568
2455.8	60.897384
2456.0	60.901201
2456.2	60.905017
2456.4	60.908674
2456.6	60.912173
2456.8	60.915672
2457.0	60.919171
2457.2	60.92267
2457.4	60.926169
2457.6	60.929668
2457.8	60.933167
2458.0	60.936666
2458.2	60.940165
2458.4	60.943664
2458.6	60.947162
2458.8	60.950661
2459.0	60.95416
2459.2	60.957659
2459.4	60.961158
2459.6	60.964657
2459.8	60.968156
2460.0	60.971655
2460.2	60.975154
2460.4	60.978653
2460.6	60.982152
2460.8	60.985651
2461.0	60.989149
2461.2	60.992648
2461.4	60.996147
2461.6	60.999646
2461.8	61.003145
2462.0	61.006644
2462.2	61.010143
2462.4	61.013642
2462.6	61.017141
2462.8	61.02064
2463.0	61.024139
2463.2	61.027638
2463.4	61.031137
2463.6	61.034635
2463.8	61.038134
2464.0	61.041633
2464.2	61.045132
2464.4	61.048631
2464.6	61.05213
2464.8	61.055629
2465.0	61.059128
2465.2	61.062627
2465.4	61.066126
2465.6	61.069625
2465.8	61.073124
2466.0	61.076622
2466.2	61.080121
2466.4	61.08362
2466.6	61.087119
2466.8	61.090618
2467.0	61.094117
2467.2	61.097616
2467.4	61.101115
2467.6	61.104614
2467.8	61.108113
2468.0	61.111612
2468.2	61.115111
2468.4	61.11861
2468.6	61.122108
2468.8	61.125607
2469.0	61.129106
2469.2	61.132605
2469.4	61.136104
2469.6	61.139603
2469.8	61.143102
2470.0	61.146601
2470.2	61.1501
2470.4	61.153599
2470.6	61.157098
2470.8	61.160597
2471.0	61.164095
2471.2	61.167594
2471.4	61.171093
2471.6	61.174592
2471.8	61.178091
2472.0	61.18159
2472.2	61.185089
2472.4	61.188588
2472.6	61.192087
2472.8	61.195586
2473.0	61.199085
2473.2	61.202584
2473.4	61.206083
2473.6	61.209581
2473.8	61.21308
2474.0	61.216579
2474.2	61.220078
2474.4	61.223577
2474.6	61.227076
2474.8	61.230575
2475.0	61.234074
2475.2	61.237573
2475.4	61.241072
2475.6	61.244571
2475.8	61.24807
2476.0	61.251568
2476.2	61.255067
2476.4	61.258566
2476.6	61.262065
2476.8	61.265564
2477.0	61.269063
2477.2	61.272562
2477.4	61.276061
2477.6	61.27956
2477.8	61.283059
2478.0	61.286558
2478.2	61.290057
2478.4	61.293556
2478.6	61.297054
2478.8	61.300553
2479.0	61.304052
2479.2	61.307551
2479.4	61.31105
2479.6	61.31461
2479.8	61.31819
2480.0	61.32177
2480.2	61.32535
2480.4	61.32893
2480.6	61.332511
2480.8	61.336091
2481.0	61.339671
2481.2	61.343251
2481.4	61.346831
2481.6	61.350411
2481.8	61.353991
2482.0	61.357571
2482.2	61.361151
2482.4	61.364732
2482.6	61.368312
2482.8	61.371892
2483.0	61.375472
2483.2	61.379052
2483.4	61.382632
2483.6	61.386212
2483.8	61.389792
2484.0	61.393372
2484.2	61.396953
2484.4	61.400533
2484.6	61.404113
2484.8	61.407693
2485.0	61.411273
2485.2	61.414853
2485.4	61.418433
2485.6	61.422013
2485.8	61.425593
2486.0	61.429174
2486.2	61.432754
2486.4	61.436334
2486.6	61.439914
2486.8	61.443494
2487.0	61.447074
2487.2	61.450654
2487.4	61.454234
2487.6	61.457814
2487.8	61.461395
2488.0	61.464975
2488.2	61.468555
2488.4	61.472135
2488.6	61.475715
2488.8	61.479295
2489.0	61.482875
2489.2	61.486455
2489.4	61.490035
2489.6	61.493616
2489.8	61.497196
2490.0	61.500776
2490.2	61.504356
2490.4	61.507936
2490.6	61.511516
2490.8	61.515096
2491.0	61.518676
2491.2	61.522256
2491.4	61.525836
2491.6	61.529417
2491.8	61.532997
2492.0	61.536577
2492.2	61.540157
2492.4	61.543737
2492.6	61.547317
2492.8	61.550897
2493.0	61.554477
2493.2	61.558057
2493.4	61.561638
2493.6	61.565218
2493.8	61.568798
2494.0	61.572378
2494.2	61.575958
2494.4	61.579538
2494.6	61.583118
2494.8	61.586698
2495.0	61.590278
2495.2	61.593859
2495.4	61.597439
2495.6	61.601019
2495.8	61.604599
2496.0	61.608179
2496.2	61.611759
2496.4	61.615339
2496.6	61.618919
2496.8	61.622499
2497.0	61.62608
2497.2	61.62966
2497.4	61.63324
2497.6	61.63682
2497.8	61.6404
2498.0	61.64398
2498.2	61.64756
2498.4	61.65114
2498.6	61.65472
2498.8	61.658301
2499.0	61.661881
2499.2	61.665461
2499.4	61.669041
2499.6	61.672621
2499.8	61.676201
2500.0	61.679781
2500.2	61.683361
2500.4	61.686941
2500.6	61.690522
2500.8	61.694102
2501.0	61.697682
2501.2	61.701262
2501.4	61.704842
2501.6	61.708422
2501.8	61.712002
2502.0	61.715582
2502.2	61.719039
2502.4	61.722421
2502.6	61.725803
2502.8	61.729185
2503.0	61.732567
2503.2	61.735949
2503.4	61.739331
2503.6	61.742713
2503.8	61.746095
2504.0	61.749477
2504.2	61.752859
2504.4	61.756241
2504.6	61.759623
2504.8	61.763005
2505.0	61.766387
2505.2	61.769769
2505.4	61.773151
2505.6	61.776533
2505.8	61.779915
2506.0	61.783297
2506.2	61.786679
2506.4	61.790062
2506.6	61.793444
2506.8	61.796826
2507.0	61.800208
2507.2	61.80359
2507.4	61.806972
2507.6	61.810354
2507.8	61.813736
2508.0	61.817118
2508.2	61.8205
2508.4	61.823882
2508.6	61.827264
2508.8	61.830646
2509.0	61.834028
2509.2	61.83741
2509.4	61.840792
2509.6	61.844174
2509.8	61.847556
2510.0	61.850938
2510.2	61.85432
2510.4	61.857702
2510.6	61.861085
2510.8	61.864467
2511.0	61.867849
2511.2	61.871231
2511.4	61.874613
2511.6	61.877995
2511.8	61.881377
2512.0	61.884759
2512.2	61.888141
2512.4	61.891523
2512.6	61.894905
2512.8	61.898287
2513.0	61.901669
2513.2	61.905051
2513.4	61.908433
2513.6	61.911815
2513.8	61.915197
2514.0	61.918579
2514.2	61.921961
2514.4	61.925343
2514.6	61.928725
2514.8	61.932107
2515.0	61.93549
2515.2	61.938872
2515.4	61.942254
2515.6	61.945636
2515.8	61.949018
2516.0	61.9524
2516.2	61.955782
2516.4	61.959164
2516.6	61.962546
2516.8	61.965928
2517.0	61.96931
2517.2	61.972692
2517.4	61.976074
2517.6	61.979456
2517.8	61.982838
2518.0	61.98622
2518.2	61.989602
2518.4	61.992984
2518.6	61.996366
2518.8	61.999748
2519.0	62.00313
2519.2	62.006512
2519.4	62.009894
2519.6	62.013277
2519.8	62.016659
2520.0	62.020041
2520.2	62.023423
2520.4	62.026805
2520.6	62.030187
2520.8	62.033569
2521.0	62.036951
2521.2	62.040333
2521.4	62.043715
2521.6	62.047097
2521.8	62.050479
2522.0	62.053861
2522.2	62.057243
2522.4	62.060625
2522.6	62.064007
2522.8	62.067389
2523.0	62.070771
2523.2	62.074153
2523.4	62.077535
2523.6	62.080917
2523.8	62.084299
2524.0	62.087682
2524.2	62.091064
2524.4	62.094446
2524.6	62.097828
2524.8	62.10121
2525.0	62.104592
2525.2	62.107974
2525.4	62.111356
2525.6	62.114738
2525.8	62.11812
2526.0	62.121502
2526.2	62.126016
2526.4	62.130692
2526.6	62.135367
2526.8	62.140042
2527.0	62.144718
2527.2	62.149393
2527.4	62.154068
2527.6	62.158744
2527.8	62.163419
2528.0	62.168094
2528.2	62.17277
2528.4	62.177445
2528.6	62.18212
2528.8	62.186796
2529.0	62.191471
2529.2	62.196146
2529.4	62.200822
2529.6	62.205497
2529.8	62.210172
2530.0	62.214848
2530.2	62.219523
2530.4	62.224198
2530.6	62.228874
2530.8	62.233549
2531.0	62.238224
2531.2	62.242899
2531.4	62.247575
2531.6	62.25225
2531.8	62.256925
2532.0	62.261601
2532.2	62.266276
2532.4	62.270951
2532.6	62.275627
2532.8	62.280302
2533.0	62.284977
2533.2	62.289653
2533.4	62.294328
2533.6	62.299003
2533.8	62.303679
2534.0	62.308354
2534.2	62.313029
2534.4	62.317705
2534.6	62.32238
2534.8	62.327055
2535.0	62.331731
2535.2	62.336406
2535.4	62.341081
2535.6	62.345757
2535.8	62.350432
2536.0	62.355107
2536.2	62.359783
2536.4	62.364458
2536.6	62.369133
2536.8	62.373809
2537.0	62.378484
2537.2	62.383159
2537.4	62.387835
2537.6	62.39251
2537.8	62.397185
2538.0	62.401861
2538.2	62.406536
2538.4	62.411211
2538.6	62.415886
2538.8	62.420562
2539.0	62.425237
2539.2	62.429912
2539.4	62.434588
2539.6	62.439263
2539.8	62.443938
2540.0	62.448614
2540.2	62.453289
2540.4	62.457964
2540.6	62.46264
2540.8	62.467315
2541.0	62.47199
2541.2	62.476666
2541.4	62.481341
2541.6	62.486016
2541.8	62.490692
2542.0	62.495367
2542.2	62.500042
2542.4	62.504718
2542.6	62.509393
2542.8	62.514068
2543.0	62.518744
2543.2	62.523419
2543.4	62.52761
2543.6	62.530354
2543.8	62.533097
2544.0	62.535841
2544.2	62.538584
2544.4	62.541327
2544.6	62.544071
2544.8	62.546814
2545.0	62.549558
2545.2	62.552301
2545.4	62.555045
2545.6	62.557788
2545.8	62.560532
2546.0	62.563275
2546.2	62.566018
2546.4	62.568762
2546.6	62.571505
2546.8	62.574249
2547.0	62.576992
2547.2	62.579736
2547.4	62.582479
2547.6	62.585223
2547.8	62.587966
2548.0	62.590709
2548.2	62.593453
2548.4	62.596196
2548.6	62.59894
2548.8	62.601683
2549.0	62.604427
2549.2	62.60717
2549.4	62.609913
2549.6	62.612657
2549.8	62.6154
2550.0	62.618144
2550.2	62.620887
2550.4	62.623631
2550.6	62.626374
2550.8	62.629118
2551.0	62.631861
2551.2	62.634604
2551.4	62.637348
2551.6	62.640091
2551.8	62.642835
2552.0	62.645578
2552.2	62.648322
2552.4	62.651065
2552.6	62.653808
2552.8	62.656552
2553.0	62.659295
2553.2	62.662039
2553.4	62.664782
2553.6	62.667526
2553.8	62.670269
2554.0	62.673013
2554.2	62.675756
2554.4	62.678499
2554.6	62.681243
2554.8	62.683986
2555.0	62.68673
2555.2	62.689473
2555.4	62.692217
2555.6	62.69496
2555.8	62.697703
2556.0	62.700447
2556.2	62.70319
2556.4	62.705934
2556.6	62.708677
2556.8	62.711421
2557.0	62.714164
2557.2	62.716908
2557.4	62.719651
2557.6	62.722394
2557.8	62.725138
2558.0	62.727881
2558.2	62.730625
2558.4	62.733368
2558.6	62.736112
2558.8	62.738855
2559.0	62.741598
2559.2	62.744342
2559.4	62.747085
2559.6	62.749829
2559.8	62.752572
2560.0	62.755316
2560.2	62.758059
