Profundidade [m],Idade [Ma]
936.0,17.449762
936.2,17.453018
936.4,17.456273
936.6,17.459528
936.8,17.462783
937.0,17.466038
937.2,17.469293
937.4,17.472548
937.6,17.475803
937.8,17.479058
938.0,17.482313
938.2,17.485568
938.4,17.488824
938.6,17.491627
938.8,17.493978
939.0,17.49633
939.2,17.498682
939.4,17.501033
939.6,17.503385
939.8,17.505736
940.0,17.508088
940.2,17.51044
940.4,17.51234
940.6,17.513788
940.8,17.515236
941.0,17.516684
941.2,17.518132
941.4,17.51958
941.6,17.521028
941.8,17.522476
942.0,17.523925
942.2,17.525373
942.4,17.526821
942.6,17.528269
942.8,17.529717
943.0,17.531165
943.2,17.532613
943.4,17.534061
943.6,17.535509
943.8,17.536958
944.0,17.538857
944.2,17.541209
944.4,17.543561
944.6,17.545912
944.8,17.548264
945.0,17.550615
945.2,17.552967
945.4,17.555319
945.6,17.55767
945.8,17.560474
946.0,17.563729
946.2,17.566984
946.4,17.570239
946.6,17.573494
946.8,17.576749
947.0,17.580004
947.2,17.583259
947.4,17.586514
947.6,17.589769
947.8,17.593024
948.0,17.59628
948.2,17.599535
948.4,17.60279
948.6,17.606045
948.8,17.6093
949.0,17.612555
949.2,17.61581
949.4,17.618613
949.6,17.620965
949.8,17.623317
950.0,17.625668
950.2,17.62802
950.4,17.630371
950.6,17.632723
950.8,17.635075
951.0,17.637426
951.2,17.641464
951.4,17.647188
951.6,17.652912
951.8,17.658636
952.0,17.66436
952.2,17.670084
952.4,17.675808
952.6,17.681533
952.8,17.687257
953.0,17.695119
953.2,17.705119
953.4,17.715119
953.6,17.725119
953.8,17.735119
954.0,17.745119
954.2,17.755119
954.4,17.765119
954.6,17.775119
954.8,17.785119
955.0,17.795119
955.2,17.805119
955.4,17.815119
955.6,17.825119
955.8,17.835119
956.0,17.845119
956.2,17.855119
956.4,17.865119
956.6,17.872981
956.8,17.878705
957.0,17.884429
957.2,17.890153
957.4,17.895877
957.6,17.901601
957.8,17.907325
958.0,17.913049
958.2,17.918773
958.4,17.922811
958.6,17.925163
958.8,17.927514
959.0,17.929866
959.2,17.932217
959.4,17.934569
959.6,17.936921
959.8,17.939272
960.0,17.941624
960.2,17.944427
960.4,17.947682
960.6,17.950937
960.8,17.954192
961.0,17.957447
961.2,17.960703
961.4,17.963958
961.6,17.967213
961.8,17.970468
962.0,17.973723
962.2,17.976978
962.4,17.980233
962.6,17.983488
962.8,17.986743
963.0,17.989998
963.2,17.993253
963.4,17.996509
963.6,17.999764
963.8,18.003019
964.0,18.006274
964.2,18.009529
964.4,18.012784
964.6,18.016039
964.8,18.019294
965.0,18.022549
965.2,18.025804
965.4,18.029059
965.6,18.032315
965.8,18.03557
966.0,18.038825
966.2,18.04208
966.4,18.045335
966.6,18.04859
966.8,18.051845
967.0,18.0551
967.2,18.058355
967.4,18.06161
967.6,18.064865
967.8,18.06812
968.0,18.071376
968.2,18.074631
968.4,18.077886
968.6,18.081141
968.8,18.084396
969.0,18.087651
969.2,18.090906
969.4,18.094161
969.6,18.097416
969.8,18.100671
970.0,18.103926
970.2,18.107182
970.4,18.110437
970.6,18.113692
970.8,18.116947
971.0,18.120202
971.2,18.123457
971.4,18.126712
971.6,18.129967
971.8,18.133222
972.0,18.136477
972.2,18.139732
972.4,18.142988
972.6,18.146243
972.8,18.149498
973.0,18.152753
973.2,18.156008
973.4,18.159263
973.6,18.162518
973.8,18.165773
974.0,18.169028
974.2,18.172283
974.4,18.175538
974.6,18.178794
974.8,18.182049
975.0,18.185304
975.2,18.188559
975.4,18.191814
975.6,18.195069
975.8,18.198324
976.0,18.201579
976.2,18.204834
976.4,18.207638
976.6,18.209989
976.8,18.212341
977.0,18.214692
977.2,18.217044
977.4,18.219396
977.6,18.221747
977.8,18.224099
978.0,18.22645
978.2,18.22886
978.4,18.231329
978.6,18.233798
978.8,18.236266
979.0,18.238735
979.2,18.241204
979.4,18.243672
979.6,18.246141
979.8,18.248609
980.0,18.251588
980.2,18.255077
980.4,18.258566
980.6,18.262056
980.8,18.265545
981.0,18.269034
981.2,18.272523
981.4,18.276012
981.6,18.279501
981.8,18.282932
982.0,18.286304
982.2,18.289676
982.4,18.293048
982.6,18.29642
982.8,18.299792
983.0,18.303164
983.2,18.306536
983.4,18.309908
983.6,18.313222
983.8,18.316477
984.0,18.319732
984.2,18.322987
984.4,18.326242
984.6,18.329497
984.8,18.332753
985.0,18.336008
985.2,18.339263
985.4,18.342518
985.6,18.345773
985.8,18.349028
986.0,18.352283
986.2,18.355538
986.4,18.358793
986.6,18.362048
986.8,18.365303
987.0,18.368558
987.2,18.371814
987.4,18.375069
987.6,18.378324
987.8,18.381579
988.0,18.384834
988.2,18.388089
988.4,18.391344
988.6,18.394599
988.8,18.397854
989.0,18.401109
989.2,18.404364
989.4,18.40762
989.6,18.410875
989.8,18.41413
990.0,18.417385
990.2,18.42064
990.4,18.423895
990.6,18.42715
990.8,18.430405
991.0,18.43366
991.2,18.436915
991.4,18.44017
991.6,18.443426
991.8,18.446681
992.0,18.449936
992.2,18.453191
992.4,18.456446
992.6,18.459701
992.8,18.462956
993.0,18.466211
993.2,18.469466
993.4,18.472721
993.6,18.475976
993.8,18.479232
994.0,18.482487
994.2,18.485742
994.4,18.488997
994.6,18.492252
994.8,18.495507
995.0,18.498762
995.2,18.502017
995.4,18.505272
995.6,18.508527
995.8,18.511782
996.0,18.515037
996.2,18.518293
996.4,18.521548
996.6,18.524803
996.8,18.528058
997.0,18.531313
997.2,18.534568
997.4,18.537823
997.6,18.541078
997.8,18.544333
998.0,18.547588
998.2,18.550843
998.4,18.554099
998.6,18.557354
998.8,18.560609
999.0,18.563864
999.2,18.567119
999.4,18.570374
999.6,18.573629
999.8,18.576884
1000.0,18.580139
1000.2,18.583394
1000.4,18.586649
1000.6,18.589905
1000.8,18.59316
1001.0,18.596415
1001.2,18.59967
1001.4,18.602925
1001.6,18.60618
1001.8,18.609435
1002.0,18.61269
1002.2,18.615945
1002.4,18.6192
1002.6,18.622455
1002.8,18.62571
1003.0,18.628966
1003.2,18.632221
1003.4,18.635476
1003.6,18.638731
1003.8,18.641986
1004.0,18.645241
1004.2,18.648496
1004.4,18.651751
1004.6,18.655006
1004.8,18.658261
1005.0,18.661516
1005.2,18.664772
1005.4,18.668027
1005.6,18.671282
1005.8,18.674537
1006.0,18.677792
1006.2,18.681047
1006.4,18.684302
1006.6,18.687557
1006.8,18.690812
1007.0,18.694067
1007.2,18.697322
1007.4,18.700578
1007.6,18.703833
1007.8,18.707088
1008.0,18.710343
1008.2,18.713598
1008.4,18.716853
1008.6,18.720108
1008.8,18.723363
1009.0,18.726618
1009.2,18.729873
1009.4,18.733128
1009.6,18.736384
1009.8,18.739639
1010.0,18.742894
1010.2,18.746149
1010.4,18.749404
1010.6,18.752659
1010.8,18.755914
1011.0,18.759169
1011.2,18.762424
1011.4,18.765679
1011.6,18.768934
1011.8,18.772189
1012.0,18.775445
1012.2,18.7787
1012.4,18.781955
1012.6,18.78521
1012.8,18.788465
1013.0,18.79172
1013.2,18.794975
1013.4,18.79823
1013.6,18.801485
1013.8,18.80474
1014.0,18.807995
1014.2,18.811251
1014.4,18.814506
1014.6,18.817761
1014.8,18.821016
1015.0,18.824271
1015.2,18.827526
1015.4,18.830781
1015.6,18.834036
1015.8,18.837291
1016.0,18.840546
1016.2,18.843801
1016.4,18.847057
1016.6,18.850312
1016.8,18.853567
1017.0,18.856822
1017.2,18.860077
1017.4,18.863332
1017.6,18.866587
1017.8,18.869842
1018.0,18.873097
1018.2,18.876352
1018.4,18.879607
1018.6,18.882862
1018.8,18.886118
1019.0,18.889373
1019.2,18.892628
1019.4,18.895883
1019.6,18.899138
1019.8,18.902393
1020.0,18.905648
1020.2,18.908903
1020.4,18.912158
1020.6,18.915413
1020.8,18.918668
1021.0,18.921924
1021.2,18.925179
1021.4,18.928434
1021.6,18.931689
1021.8,18.934944
1022.0,18.938199
1022.2,18.941454
1022.4,18.944709
1022.6,18.947964
1022.8,18.951219
1023.0,18.954474
1023.2,18.95773
1023.4,18.960985
1023.6,18.96424
1023.8,18.967495
1024.0,18.97075
1024.2,18.974005
1024.4,18.97726
1024.6,18.980515
1024.8,18.98377
1025.0,18.987025
1025.2,18.99028
1025.4,18.993536
1025.6,18.996791
1025.8,19.000046
1026.0,19.003301
1026.2,19.006556
1026.4,19.009811
1026.6,19.013066
1026.8,19.016321
1027.0,19.019576
1027.2,19.022831
1027.4,19.026086
1027.6,19.029341
1027.8,19.032597
1028.0,19.035852
1028.2,19.039107
1028.4,19.042362
1028.6,19.045617
1028.8,19.048872
1029.0,19.052127
1029.2,19.055382
1029.4,19.058637
1029.6,19.061892
1029.8,19.065147
1030.0,19.068403
1030.2,19.071658
1030.4,19.074913
1030.6,19.078168
1030.8,19.081423
1031.0,19.084678
1031.2,19.087933
1031.4,19.091188
1031.6,19.094443
1031.8,19.097698
1032.0,19.100953
1032.2,19.103757
1032.4,19.106108
1032.6,19.10846
1032.8,19.110812
1033.0,19.113163
1033.2,19.115515
1033.4,19.117866
1033.6,19.120218
1033.8,19.12257
1034.0,19.124469
1034.2,19.125918
1034.4,19.127366
1034.6,19.128814
1034.8,19.130262
1035.0,19.13171
1035.2,19.133158
1035.4,19.134606
1035.6,19.136054
1035.8,19.137503
1036.0,19.138951
1036.2,19.140399
1036.4,19.141847
1036.6,19.143295
1036.8,19.144743
1037.0,19.146191
1037.2,19.147639
1037.4,19.149087
1037.6,19.150536
1037.8,19.151984
1038.0,19.153432
1038.2,19.15488
1038.4,19.156328
1038.6,19.157776
1038.8,19.159224
1039.0,19.160672
1039.2,19.162121
1039.4,19.163569
1039.6,19.165017
1039.8,19.166465
1040.0,19.167913
1040.2,19.169361
1040.4,19.170809
1040.6,19.172257
1040.8,19.173705
1041.0,19.175154
1041.2,19.176602
1041.4,19.17805
1041.6,19.179498
1041.8,19.180946
1042.0,19.182394
1042.2,19.183842
1042.4,19.18529
1042.6,19.186739
1042.8,19.188187
1043.0,19.189635
1043.2,19.191083
1043.4,19.192531
1043.6,19.193979
1043.8,19.195427
1044.0,19.196875
1044.2,19.198323
1044.4,19.199772
1044.6,19.20122
1044.8,19.203178
1045.0,19.205647
1045.2,19.208115
1045.4,19.210584
1045.6,19.213053
1045.8,19.215521
1046.0,19.21799
1046.2,19.220458
1046.4,19.222927
1046.6,19.225906
1046.8,19.229395
1047.0,19.232884
1047.2,19.236373
1047.4,19.239862
1047.6,19.243351
1047.8,19.24684
1048.0,19.25033
1048.2,19.253819
1048.4,19.257308
1048.6,19.260797
1048.8,19.264286
1049.0,19.267775
1049.2,19.271264
1049.4,19.274753
1049.6,19.278242
1049.8,19.281731
1050.0,19.285221
1050.2,19.28871
1050.4,19.292199
1050.6,19.295688
1050.8,19.299177
1051.0,19.302666
1051.2,19.306155
1051.4,19.309644
1051.6,19.313133
1051.8,19.316622
1052.0,19.320112
1052.2,19.323601
1052.4,19.32709
1052.6,19.330579
1052.8,19.334068
1053.0,19.337557
1053.2,19.341046
1053.4,19.344535
1053.6,19.348024
1053.8,19.351513
1054.0,19.355003
1054.2,19.358492
1054.4,19.361981
1054.6,19.36547
1054.8,19.368959
1055.0,19.372448
1055.2,19.375937
1055.4,19.379426
1055.6,19.382377
1055.8,19.384789
1056.0,19.387202
1056.2,19.389614
1056.4,19.392026
1056.6,19.394438
1056.8,19.396851
1057.0,19.399263
1057.2,19.401675
1057.4,19.403549
1057.6,19.404884
1057.8,19.40622
1058.0,19.407555
1058.2,19.408891
1058.4,19.410226
1058.6,19.411562
1058.8,19.412897
1059.0,19.414233
1059.2,19.415568
1059.4,19.416904
1059.6,19.418239
1059.8,19.419574
1060.0,19.42091
1060.2,19.422245
1060.4,19.423581
1060.6,19.424916
1060.8,19.426252
1061.0,19.427587
1061.2,19.428923
1061.4,19.430258
1061.6,19.431594
1061.8,19.432929
1062.0,19.434264
1062.2,19.4356
1062.4,19.436935
1062.6,19.438271
1062.8,19.439606
1063.0,19.440942
1063.2,19.442277
1063.4,19.443613
1063.6,19.444948
1063.8,19.446283
1064.0,19.447619
1064.2,19.448954
1064.4,19.45029
1064.6,19.451625
1064.8,19.452961
1065.0,19.454296
1065.2,19.455632
1065.4,19.456967
1065.6,19.458303
1065.8,19.459638
1066.0,19.460973
1066.2,19.462309
1066.4,19.463644
1066.6,19.46498
1066.8,19.466315
1067.0,19.467651
1067.2,19.468986
1067.4,19.470322
1067.6,19.471657
1067.8,19.472993
1068.0,19.474328
1068.2,19.475663
1068.4,19.476999
1068.6,19.478334
1068.8,19.47967
1069.0,19.481005
1069.2,19.482341
1069.4,19.483676
1069.6,19.485012
1069.8,19.486347
1070.0,19.487682
1070.2,19.489018
1070.4,19.490353
1070.6,19.491689
1070.8,19.493024
1071.0,19.49436
1071.2,19.495695
1071.4,19.497031
1071.6,19.498366
1071.8,19.500467
1072.0,19.503334
1072.2,19.5062
1072.4,19.509067
1072.6,19.511933
1072.8,19.5148
1073.0,19.517666
1073.2,19.520533
1073.4,19.523399
1073.6,19.527031
1073.8,19.531429
1074.0,19.535827
1074.2,19.540224
1074.4,19.544622
1074.6,19.549019
1074.8,19.553417
1075.0,19.557815
1075.2,19.562212
1075.4,19.56661
1075.6,19.571007
1075.8,19.575405
1076.0,19.579803
1076.2,19.5842
1076.4,19.588598
1076.6,19.592995
1076.8,19.597393
1077.0,19.601791
1077.2,19.606188
1077.4,19.610586
1077.6,19.614983
1077.8,19.619381
1078.0,19.623779
1078.2,19.628176
1078.4,19.632574
1078.6,19.636971
1078.8,19.641369
1079.0,19.645767
1079.2,19.650164
1079.4,19.654562
1079.6,19.658959
1079.8,19.663357
1080.0,19.667755
1080.2,19.672152
1080.4,19.67655
1080.6,19.680948
1080.8,19.685345
1081.0,19.689743
1081.2,19.69414
1081.4,19.698538
1081.6,19.702936
1081.8,19.707333
1082.0,19.711731
1082.2,19.716128
1082.4,19.720526
1082.6,19.724924
1082.8,19.729321
1083.0,19.733719
1083.2,19.738116
1083.4,19.742514
1083.6,19.746912
1083.8,19.751309
1084.0,19.755707
1084.2,19.760104
1084.4,19.764502
1084.6,19.7689
1084.8,19.773297
1085.0,19.777695
1085.2,19.782092
1085.4,19.78649
1085.6,19.790888
1085.8,19.795285
1086.0,19.799683
1086.2,19.80408
1086.4,19.808478
1086.6,19.812876
1086.8,19.817273
1087.0,19.821671
1087.2,19.826068
1087.4,19.830466
1087.6,19.834864
1087.8,19.839261
1088.0,19.843659
1088.2,19.848056
1088.4,19.852454
1088.6,19.856852
1088.8,19.861249
1089.0,19.865647
1089.2,19.870044
1089.4,19.874442
1089.6,19.87884
1089.8,19.883237
1090.0,19.887635
1090.2,19.892032
1090.4,19.89643
1090.6,19.900828
1090.8,19.905225
1091.0,19.909623
1091.2,19.91402
1091.4,19.918418
1091.6,19.922816
1091.8,19.927213
1092.0,19.931611
1092.2,19.936009
1092.4,19.940406
1092.6,19.944804
1092.8,19.949201
1093.0,19.953599
1093.2,19.957997
1093.4,19.962394
1093.6,19.966792
1093.8,19.971189
1094.0,19.975587
1094.2,19.979985
1094.4,19.984382
1094.6,19.98878
1094.8,19.993177
1095.0,19.997575
1095.2,20.001973
1095.4,20.00637
1095.6,20.010768
1095.8,20.015165
1096.0,20.019563
1096.2,20.023961
1096.4,20.028358
1096.6,20.032756
1096.8,20.037153
1097.0,20.041551
1097.2,20.045949
1097.4,20.050346
1097.6,20.054744
1097.8,20.059141
1098.0,20.063539
1098.2,20.067937
1098.4,20.072334
1098.6,20.076732
1098.8,20.081129
1099.0,20.085527
1099.2,20.089925
1099.4,20.094322
1099.6,20.09872
1099.8,20.103117
1100.0,20.107515
1100.2,20.111913
1100.4,20.11631
1100.6,20.120708
1100.8,20.125105
1101.0,20.129503
1101.2,20.133901
1101.4,20.138298
1101.6,20.142696
1101.8,20.147093
1102.0,20.151491
1102.2,20.155889
1102.4,20.160286
1102.6,20.164684
1102.8,20.169082
1103.0,20.173479
1103.2,20.177877
1103.4,20.182274
1103.6,20.186672
1103.8,20.19107
1104.0,20.195467
1104.2,20.200512
1104.4,20.206204
1104.6,20.211895
1104.8,20.217587
1105.0,20.223279
1105.2,20.228971
1105.4,20.234662
1105.6,20.240354
1105.8,20.246046
1106.0,20.252385
1106.2,20.25937
1106.4,20.266356
1106.6,20.273342
1106.8,20.280328
1107.0,20.287314
1107.2,20.2943
1107.4,20.301286
1107.6,20.308272
1107.8,20.315257
1108.0,20.322243
1108.2,20.329229
1108.4,20.336215
1108.6,20.343201
1108.8,20.350187
1109.0,20.357173
1109.2,20.364159
1109.4,20.371145
1109.6,20.37813
1109.8,20.385116
1110.0,20.392102
1110.2,20.399088
1110.4,20.406074
1110.6,20.41306
1110.8,20.420046
1111.0,20.427032
1111.2,20.434017
1111.4,20.441003
1111.6,20.447989
1111.8,20.454975
1112.0,20.461961
1112.2,20.468947
1112.4,20.475933
1112.6,20.482919
1112.8,20.489904
1113.0,20.49689
1113.2,20.502916
1113.4,20.507981
1113.6,20.513046
1113.8,20.518111
1114.0,20.523176
1114.2,20.528241
1114.4,20.533306
1114.6,20.53837
1114.8,20.543435
1115.0,20.54754
1115.2,20.550684
1115.4,20.553828
1115.6,20.556972
1115.8,20.560116
1116.0,20.56326
1116.2,20.566404
1116.4,20.569548
1116.6,20.572692
1116.8,20.575836
1117.0,20.57898
1117.2,20.582124
1117.4,20.585268
1117.6,20.588412
1117.8,20.591556
1118.0,20.5947
1118.2,20.597844
1118.4,20.600989
1118.6,20.604133
1118.8,20.607277
1119.0,20.610421
1119.2,20.613565
1119.4,20.616709
1119.6,20.619853
1119.8,20.622997
1120.0,20.626141
1120.2,20.629285
1120.4,20.632457
1120.6,20.635656
1120.8,20.638856
1121.0,20.642055
1121.2,20.645255
1121.4,20.648454
1121.6,20.651654
1121.8,20.654854
1122.0,20.658053
1122.2,20.66128
1122.4,20.664536
1122.6,20.667791
1122.8,20.671046
1123.0,20.674301
1123.2,20.677556
1123.4,20.680811
1123.6,20.684066
1123.8,20.687321
1124.0,20.690576
1124.2,20.693831
1124.4,20.697086
1124.6,20.700342
1124.8,20.703597
1125.0,20.706852
1125.2,20.710107
1125.4,20.713362
1125.6,20.716617
1125.8,20.719872
1126.0,20.723127
1126.2,20.726382
1126.4,20.729637
1126.6,20.732892
1126.8,20.736147
1127.0,20.739403
1127.2,20.742658
1127.4,20.745913
1127.6,20.749168
1127.8,20.752423
1128.0,20.755678
1128.2,20.758933
1128.4,20.762188
1128.6,20.765443
1128.8,20.768698
1129.0,20.771953
1129.2,20.775209
1129.4,20.778464
1129.6,20.781719
1129.8,20.784974
1130.0,20.788229
1130.2,20.791484
1130.4,20.794739
1130.6,20.797994
1130.8,20.801249
1131.0,20.804504
1131.2,20.807759
1131.4,20.811015
1131.6,20.81427
1131.8,20.817525
1132.0,20.82078
1132.2,20.824035
1132.4,20.82729
1132.6,20.830545
1132.8,20.8338
1133.0,20.837055
1133.2,20.84031
1133.4,20.843565
1133.6,20.846821
1133.8,20.850076
1134.0,20.853331
1134.2,20.856586
1134.4,20.859841
1134.6,20.863096
1134.8,20.866351
1135.0,20.869606
1135.2,20.872861
1135.4,20.876116
1135.6,20.879371
1135.8,20.882626
1136.0,20.885882
1136.2,20.889137
1136.4,20.892392
1136.6,20.895647
1136.8,20.898902
1137.0,20.902157
1137.2,20.905412
1137.4,20.908667
1137.6,20.911922
1137.8,20.915177
1138.0,20.918432
1138.2,20.921688
1138.4,20.924491
1138.6,20.926842
1138.8,20.929194
1139.0,20.931546
1139.2,20.933897
