Profundidade [m],Produtividade Primária [gC/m²/yr]
936.0,231.75731800130745
936.2,231.8281349199823
936.4,231.89903217041928
936.6,231.97000991043208
936.8,232.0410682861413
937.0,232.1122074562035
937.2,232.18342759188178
937.4,232.25472885276446
937.6,232.32611139888778
937.8,232.39757539073693
938.0,232.46912098924844
938.2,232.5407483558113
938.4,232.61245765226872
938.6,232.67428089497676
938.8,232.7261887317186
939.0,232.77813954852476
939.2,232.83013340701385
939.4,232.88217036893008
939.6,232.9342504961438
939.8,232.98637385065163
940.0,233.03854049457698
940.2,233.09075049017022
940.4,233.1329626653129
940.6,233.165156830756
940.8,233.19736749301677
941.0,233.2295946667283
941.2,233.2618383665421
941.4,233.29409860712815
941.6,233.32637540317478
941.8,233.35866876938914
942.0,233.39097872049697
942.2,233.42330525883736
942.4,233.45564839915417
942.6,233.4880081686276
942.8,233.52038458205772
943.0,233.55277765426362
943.2,233.5851874000831
943.4,233.61761383437258
943.6,233.65005697200752
943.8,233.68251682788224
944.0,233.72512797001679
944.2,233.7779109919421
944.4,233.83073825598493
944.6,233.88360982635356
944.8,233.93652576738884
945.0,233.98948614356468
945.2,234.04249101948815
945.4,234.09554045990015
945.6,234.1486345296755
945.8,234.21198636839208
946.0,234.28562682277757
946.2,234.35935323409888
946.4,234.43316577612146
946.6,234.50706462311058
946.8,234.58104994983358
947.0,234.65512193156155
947.2,234.72928074407088
947.4,234.80352656364568
947.6,234.87785956707955
947.8,234.95227993167705
948.0,235.02678783525627
948.2,235.10138345615047
948.4,235.17606697320966
948.6,235.25083856580326
948.8,235.32569841382153
949.0,235.40064669767764
949.2,235.47568359830976
949.4,235.54037800376466
949.6,235.59469816706567
949.8,235.64906482632583
950.0,235.703478050456
950.2,235.7579379085126
950.4,235.81244446969762
950.6,235.8669978033592
950.8,235.92159797899225
951.0,235.9762450662383
951.2,236.07018672477355
951.4,236.20359715750783
951.6,236.33728767594891
951.8,236.47125929917192
952.0,236.60551305153317
952.2,236.74004996270534
952.4,236.8748710677136
952.6,237.0099774069717
952.8,237.14537002631835
953.0,237.3318011744912
953.2,237.5697172321394
953.4,237.80852036380878
953.6,238.04821630839132
953.8,238.28881085772286
954.0,238.5303098572179
954.2,238.7727192065144
954.4,239.0160448601278
954.6,239.26029282811456
954.8,239.50546917674632
955.0,239.7515800291935
955.2,239.99863156621902
955.4,240.24663002688328
955.6,240.49558170925866
955.8,240.7454929711558
956.0,240.99637023086052
956.2,241.2482199678817
956.4,241.50104872371048
956.6,241.70051516740176
956.8,241.84612455822156
957.0,241.9920598590299
957.2,242.1383223341678
957.4,242.28491325496273
957.6,242.43183389977915
957.8,242.57908555406883
958.0,242.7266695104223
958.2,242.87458706862
958.4,242.97913155474524
958.6,243.04009447403945
958.8,243.1011141667275
959.0,243.16219072436135
959.2,243.22332423870284
959.4,243.28451480172464
959.6,243.3457625056108
959.8,243.40706744275718
960.0,243.46842970577248
960.2,243.54165468480795
960.4,243.62678202882884
960.6,243.71201984769533
960.8,243.79736838973068
961.0,243.8828279040524
961.2,243.96839864057608
961.4,244.0540808500185
961.6,244.13987478390055
961.8,244.22578069455136
962.0,244.31179883511118
962.2,244.39792945953462
962.4,244.48417282259453
962.6,244.57052917988523
962.8,244.6569987878255
963.0,244.7435819036628
963.2,244.8302787854762
963.4,244.9170896921803
963.6,245.004014883528
963.8,245.09105462011482
964.0,245.1782091633823
964.2,245.2654787756209
964.4,245.35286371997444
964.6,245.44036426044346
964.8,245.52798066188822
965.0,245.61571319003326
965.2,245.70356211147063
965.4,245.79152769366326
965.6,245.87961018990586
965.8,245.9678098693552
966.0,246.05612701713295
966.2,246.144561904224
966.4,246.23311480250308
966.6,246.32178598473828
966.8,246.41057572459533
967.0,246.49948429664147
967.2,246.58851197634866
967.4,246.67765905532343
967.6,246.76692581092126
967.8,246.85631250614856
968.0,246.94581942013733
968.2,247.03544683294453
968.4,247.12519502555529
968.6,247.21506427988803
968.8,247.30505487879753
969.0,247.39516710607955
969.2,247.4854012464744
969.4,247.57575758567148
969.6,247.66623641031336
969.8,247.75683800799928
970.0,247.8475626672902
970.2,247.93841067771248
970.4,248.02938232976177
970.6,248.12047791490807
970.8,248.2116977255993
971.0,248.30304205526548
971.2,248.3945111983236
971.4,248.48610545018173
971.6,248.57782510724272
971.8,248.66967046690945
972.0,248.76164182758876
972.2,248.85373948869574
972.4,248.9459637506585
972.6,249.03831491492235
972.8,249.13079326816006
973.0,249.22339911379936
973.2,249.31613277213705
973.4,249.4089945487319
973.6,249.50198475018314
973.8,249.5951036841341
974.0,249.68835165927737
974.2,249.78172898535945
974.4,249.8752359731848
974.6,249.9688729506139
974.8,250.06264023064898
975.0,250.15653811132847
975.2,250.25056690773837
975.4,250.34472693604656
975.6,250.43901851350816
975.8,250.53344195847004
976.0,250.62799759037554
976.2,250.72268572977
976.4,250.8043394495239
976.6,250.87291128652677
976.8,250.94155271649606
977.0,251.01026386173987
977.2,251.07904484487196
977.4,251.14789578881306
977.6,251.21681681679178
977.8,251.28580805234552
978.0,251.354869619322
978.2,251.42572241188992
978.4,251.49837195826154
978.6,251.57109943078635
978.8,251.64390497421536
979.0,251.7167887336822
979.2,251.78975085470452
979.4,251.86279148318533
979.6,251.93591076541412
979.8,252.00910884806856
980.0,252.09754162039977
980.2,252.20126849186994
980.4,252.30515384732095
980.6,252.40919810623342
980.8,252.51340168966883
981.0,252.61776502027715
981.2,252.72228852230432
981.4,252.82697262160065
981.6,252.9318177456282
981.8,253.0350622975443
982.0,253.1366986911053
982.2,253.23848667715498
982.4,253.34042664736967
982.6,253.44251899486605
982.8,253.5447641142088
983.0,253.64716240141664
983.2,253.7497142539703
983.4,253.8524200708185
983.6,253.95349440352652
983.8,254.05292972862333
984.0,254.15250962272003
984.2,254.25223444991477
984.4,254.3521045756115
984.6,254.45212036652524
984.8,254.55228219068908
985.0,254.65259041745975
985.2,254.75304541752365
985.4,254.85364756290366
985.6,254.95439722696497
985.8,255.05529478442162
986.0,255.15634061134227
986.2,255.2575350851574
986.4,255.35887858466515
986.6,255.46037149003772
986.8,255.5620141828282
987.0,255.6638070459768
987.2,255.76575046381762
987.4,255.86784482208478
987.6,255.97009050791968
987.8,256.07248790987734
988.0,256.1750374179328
988.2,256.27773942348847
988.4,256.3805943193804
988.6,256.4836024998854
988.8,256.5867643607281
989.0,256.6900802814405
989.2,256.79355066058355
989.4,256.89717591588555
989.6,257.0009564489299
989.8,257.1048926627823
990.0,257.2089849619982
990.2,257.3132337526298
990.4,257.41763944223277
990.6,257.52220243987415
990.8,257.6269231740259
991.0,257.7318020568802
991.2,257.83683948422185
991.4,257.94203587123593
991.6,258.0473916346555
991.8,258.15290719276857
992.0,258.25858296542646
992.2,258.36441937405095
992.4,258.4704168416417
992.6,258.5765757927846
992.8,258.68289665365853
993.0,258.78937985204425
993.2,258.8960258173313
993.4,259.002834980526
993.6,259.10980777426
993.8,259.2169446327975
994.0,259.3242459920434
994.2,259.4317122895517
994.4,259.5393439645334
994.6,259.64714145786417
994.8,259.75510521209355
995.0,259.8632356714524
995.2,259.97153328186147
995.4,260.0799984909394
995.6,260.18863174801186
995.8,260.29743350411945
996.0,260.40640421202596
996.2,260.51554430758597
996.4,260.62485424694927
996.6,260.7343345067142
996.8,260.8439855466247
997.0,260.9538078281912
997.2,261.0638018146999
997.4,261.17396797122166
997.6,261.28430676462034
997.8,261.3948186635627
998.0,261.50550415743237
998.2,261.6163637186172
998.4,261.72739780236947
998.6,261.83860688465677
998.8,261.9499914432947
999.0,262.06155195795657
999.2,262.173288910182
999.4,262.2852027833872
999.6,262.3972940628743
999.8,262.50956323584035
1000.0,262.6220107913875
1000.2,262.7346372205325
1000.4,262.8474430162165
1000.6,262.96042867331437
1000.8,263.07359468864547
1001.0,263.18694156098246
1001.2,263.3004697910623
1001.4,263.4141798815958
1001.6,263.52807231782344
1001.8,263.6421476063404
1002.0,263.75640627526224
1002.2,263.8708488352961
1002.4,263.9854757991745
1002.6,264.10028768166535
1002.8,264.2152849995823
1003.0,264.3304682717958
1003.2,264.44583801924335
1003.4,264.56139478467844
1003.6,264.67713909330104
1003.8,264.7930714526089
1004.0,264.9091923919157
1004.2,265.0255024426571
1004.4,265.14200213840076
1004.6,265.258692014858
1004.8,265.37557260989433
1005.0,265.49264446354147
1005.2,265.60990811800843
1005.4,265.7273641176923
1005.6,265.84501300919067
1005.8,265.96285534131266
1006.0,266.08089166509035
1006.2,266.199122533791
1006.4,266.3175485029285
1006.6,266.436170130275
1006.8,266.5549879758734
1007.0,266.6740026020491
1007.2,266.7932145734216
1007.4,266.91262445691734
1007.6,267.0322328217818
1007.8,267.1520402395916
1008.0,267.27204728426665
1008.2,267.3922545320834
1008.4,267.5126625616869
1008.6,267.63327195410324
1008.8,267.7540832721162
1009.0,267.87509710144917
1009.2,267.9963140509501
1009.4,268.117734711298
1009.6,268.2393596756177
1009.8,268.36118953949256
1010.0,268.48322490097837
1010.2,268.6054663606165
1010.4,268.7279145214467
1010.6,268.8505700099732
1010.8,268.97343343438126
1011.0,269.096505384373
1011.2,269.2197864731207
1011.4,269.34327731636375
1011.6,269.46697853242284
1011.8,269.5908907422138
1012.0,269.7150145692622
1012.2,269.839350639717
1012.4,269.9638995823653
1012.6,270.08866202864675
1012.8,270.2136386126677
1013.0,270.3388299712163
1013.2,270.4642367437771
1013.4,270.5898595725458
1013.6,270.71569910244375
1013.8,270.8417559811339
1014.0,270.96803085903537
1014.2,271.0945243893384
1014.4,271.22123722802024
1014.6,271.3481700338607
1014.8,271.4753234684566
1015.0,271.6026981962389
1015.2,271.7302948844875
1015.4,271.85811420334704
1015.6,271.9861568258436
1015.8,272.11442342790036
1016.0,272.24291466640415
1016.2,272.3716312230054
1016.4,272.5005738043264
1016.6,272.6297430980406
1016.8,272.7591397948012
1017.0,272.8887645882568
1017.2,273.0186181750692
1017.4,273.1487012549302
1017.6,273.2790145305779
1017.8,273.4095587301153
1018.0,273.5403345625449
1018.2,273.67134271759016
1018.4,273.80258391035136
1018.6,273.934058859063
1018.8,274.06576828511186
1019.0,274.197712913055
1019.2,274.32989347063705
1019.4,274.46231068880957
1019.6,274.59496530174874
1019.8,274.72785804687373
1020.0,274.8609896648656
1020.2,274.9943608996862
1020.4,275.1279724985964
1020.6,275.26182521217567
1020.8,275.39591979434124
1021.0,275.53025700236657
1021.2,275.66483759690186
1021.4,275.79966234199316
1021.6,275.9347320051013
1021.8,276.07004735712303
1022.0,276.20560917241033
1022.2,276.34141822879
1022.4,276.477475307585
1022.6,276.613781193634
1022.8,276.75033667531255
1023.0,276.88714254455294
1023.2,277.02419957345256
1023.4,277.16150856099205
1023.6,277.29907033327083
1023.8,277.4368856966598
1024.0,277.57495546119236
1024.2,277.7132804405872
1024.4,277.85186145226845
1024.6,277.9906993173892
1024.8,278.1297948608528
1025.0,278.2691489351409
1025.2,278.40876237285744
1025.4,278.54863598652986
1025.6,278.68877061628734
1025.8,278.829167106123
1026.0,278.96982630391585
1026.2,279.11074906145416
1026.4,279.25193623445955
1026.6,279.3933886826102
1026.8,279.5351072695639
1027.0,279.67709286298333
1027.2,279.8193463345594
1027.4,279.96186856003493
1027.6,280.10466041923064
1027.8,280.2477227960686
1028.0,280.3910565785971
1028.2,280.5346626590165
1028.4,280.6785419337038
1028.6,280.8226953032378
1028.8,280.9671236724254
1029.0,281.1118279503269
1029.2,281.25680905028196
1029.4,281.40206788993595
1029.6,281.5476053912665
1029.8,281.6934224806091
1030.0,281.8395200886852
1030.2,281.9858991506284
1030.4,282.13256058095607
1030.6,282.2795053235627
1030.8,282.4267343519886
1031.0,282.5742486192887
1031.2,282.7220490830687
1031.4,282.87013670551244
1031.6,283.0185124534102
1031.8,283.16717729818845
1032.0,283.31613221593705
1032.2,283.4446483493082
1032.4,283.5526218392776
1032.6,283.6607480512054
1032.8,283.76902735927314
1033.0,283.8774601389672
1033.2,283.9860467670856
1033.4,284.0947876217428
1033.6,284.2036830823762
1033.8,284.3127335297522
1034.0,284.4009488704747
1034.2,284.46825691316184
1034.4,284.53562408048015
1034.6,284.60305046235806
1034.8,284.6705361489187
1035.0,284.73808123047974
1035.2,284.80568579755527
1035.4,284.8733499408555
1035.6,284.9410737512871
1035.8,285.00885729393866
1036.0,285.0767006600437
1036.2,285.14460396709546
1036.4,285.21256730679386
1036.6,285.28059077103825
1036.8,285.3486744519279
1037.0,285.4168184417631
1037.2,285.4850228330456
1037.4,285.5532877184786
1037.6,285.62161321719213
1037.8,285.6899994223654
1038.0,285.75844640110995
1038.2,285.8269542469432
1038.4,285.89552305358654
1038.6,285.96415291496737
1038.8,286.0328439252189
1039.0,286.1015961786804
1039.2,286.1704097698989
1039.4,286.2392847671936
1039.6,286.3082212654564
1039.8,286.3772193862704
1040.0,286.446279225016
1040.2,286.5154008772845
1040.4,286.5845844388776
1040.6,286.653830005808
1040.8,286.7231376743007
1041.0,286.79250754079317
1041.2,286.86193970193557
1041.4,286.93143425459226
1041.6,287.0009912958418
1041.8,287.07061092297744
1042.0,287.1402932335085
1042.2,287.2100383251598
1042.4,287.27984629587365
1042.6,287.34971724380955
1042.8,287.41965126734476
1043.0,287.4896484919417
1043.2,287.5597090164882
1043.4,287.6298329131788
1043.6,287.7000202812699
1043.8,287.7702712202385
1044.0,287.84058582978463
1044.2,287.9109642098295
1044.4,287.98140646051866
1044.6,288.0519126822207
1044.8,288.14736374447585
1045.0,288.26785161039294
1045.2,288.38852656661396
1045.4,288.5093891164073
1045.6,288.63043976496857
1045.8,288.75167901943075
1046.0,288.8731073888732
1046.2,288.9947253843318
1046.4,289.11653351880807
1046.6,289.26377248307796
1046.8,289.43658611600785
1047.0,289.60978332590815
1047.2,289.783365588415
1047.4,289.9573343872509
1047.6,290.1316912142824
1047.8,290.30643756957704
1048.0,290.48157496146354
1048.2,290.65710490658915
1048.4,290.8330289299811
1048.6,291.00934856510537
1048.8,291.1860653539274
1049.0,291.3631808469741
1049.2,291.54069660339536
1049.4,291.7186141910254
1049.6,291.8969351864468
1049.8,292.07566117505365
1050.0,292.25479375111473
1050.2,292.4343345178392
1050.4,292.6142850874405
1050.6,292.7946470812033
1050.8,292.9754221295492
1051.0,293.1566118721028
1051.2,293.33821795776095
1051.4,293.5202420447594
1051.6,293.70268580074196
1051.8,293.88555090283006
1052.0,294.0688390376928
1052.2,294.2525519016165
1052.4,294.4366912005775
1052.6,294.62125865031305
1052.8,294.80625597639425
1053.0,294.99168491429845
1053.2,295.17754720948466
1053.4,295.36384461746684
1053.6,295.5505789038898
1053.8,295.7377518446045
1054.0,295.9253652257454
1054.2,296.1134208438077
1054.4,296.30192050572475
1054.6,296.49086602894766
1054.8,296.68025924152465
1055.0,296.87010198218053
1055.2,297.060396100399
1055.4,297.2511434565035
1055.6,297.4128112031386
1055.8,297.54522204766783
1056.0,297.67785181884545
1056.2,297.81070114378497
1056.4,297.94377065215747
1056.6,298.0770609762051
1056.8,298.21057275075555
1057.0,298.34430661323444
1057.2,298.47826320368
1057.4,298.58247521052
1057.6,298.656826659097
1057.8,298.7312468294952
1058.0,298.805735831701
1058.2,298.8802937759519
1058.4,298.9549207727367
1058.6,299.02961693279565
1058.8,299.10438236712224
1059.0,299.1792171869634
1059.2,299.2541215349949
1059.4,299.3290955230599
1059.6,299.4041392320242
1059.8,299.4792527741566
1060.0,299.5544362619824
1060.2,299.6296898082857
1060.4,299.70501352610927
1060.6,299.78040752875495
1060.8,299.8558719297854
1061.0,299.9314068115866
1061.2,300.0070122881562
1061.4,300.0826885052499
1061.6,300.15843557747934
1061.8,300.23425361972033
1062.0,300.3101427471132
1062.2,300.38610307506457
1062.4,300.4621347192478
1062.6,300.5382377956032
1062.8,300.61441242033965
1063.0,300.6906587099352
1063.2,300.7669767811372
1063.4,300.8433667509642
1063.6,300.91982873670594
1063.8,300.9963628559248
1064.0,301.0729692264556
1064.2,301.14964796640766
1064.4,301.226399194165
1064.6,301.30322306036123
1064.8,301.38011968402316
1065.0,301.4570891524204
1065.2,301.53413158504407
1065.4,301.61124710166496
1065.6,301.6884358223336
1065.8,301.76569786738037
1066.0,301.843033357418
1066.2,301.9204424133413
1066.4,301.99792512407936
1066.6,302.07548161100203
1066.8,302.1531120280741
1067.0,302.23081649732757
1067.2,302.30859514108164
1067.4,302.3864480819431
1067.6,302.46437544280656
1067.8,302.5423773468565
1068.0,302.6204539175673
1068.2,302.69860531123174
1068.4,302.7768316520003
1068.6,302.8551330317281
1068.8,302.9335095750596
1069.0,303.0119614069333
1069.2,303.0904886525841
1069.4,303.1690914375429
1069.6,303.2477698876382
1069.8,303.3265241289962
1070.0,303.4053542552334
1070.2,303.48426039298096
1070.4,303.563242702043
1070.6,303.64230130974846
1070.8,303.7214363437289
1071.0,303.8006479319197
1071.2,303.87993620256066
1071.4,303.95930128419786
1071.6,304.038743305684
1071.8,304.1638809804043
1072.0,304.3349237038144
1072.2,304.50632374183766
1072.4,304.6780823880967
1072.6,304.8502009428856
1072.8,305.02268071321254
1073.0,305.1955230128471
1073.2,305.3687291623634
1073.4,305.54230048918805
1073.6,305.7627525228129
1073.8,306.0304611044468
1074.0,306.2990411683146
1074.2,306.5684976352234
1074.4,306.83883546558843
1074.6,307.1100596598468
1074.8,307.38217525887796
1075.0,307.6551873444279
1075.2,307.9291010395412
1075.4,308.20392150899625
1075.6,308.47965395974774
1075.8,308.7563036413741
1076.0,309.03387584653103
1076.2,309.3123759114116
1076.4,309.59180921621106
1076.6,309.87218118559895
1076.8,310.15349728919705
1077.0,310.43576304206357
1077.2,310.718984041024
1077.4,311.0031658938529
1077.6,311.2883142191734
1077.8,311.5744347187661
1078.0,311.861533142368
1078.2,312.1496152881967
1078.4,312.4386870034815
1078.6,312.7287541850031
1078.8,313.01982277963793
1079.0,313.31189874795035
1079.2,313.60498813829247
1079.4,313.89909708801076
1079.6,314.1942317499726
1079.8,314.49039832998477
1080.0,314.7876030873863
1080.2,315.0858523356475
1080.4,315.3851524429805
1080.6,315.6855098329548
1080.8,315.9869309851237
1081.0,316.28942243565854
1081.2,316.59299077799153
1081.4,316.89764266346873
1081.6,317.2033848020109
1081.8,317.51022396278404
1082.0,317.81816697488046
1082.2,318.12722072800733
1082.4,318.4373921731873
1082.6,318.7486883234673
1082.8,319.06111625463865
1083.0,319.37468310596665
1083.2,319.68939608093126
1083.4,320.00526244797766
1083.6,320.3222895412786
1083.8,320.64048476150697
1084.0,320.95985557661993
1084.2,321.28040952265394
1084.4,321.60215424525506
1084.6,321.9250974195079
1084.8,322.24924675001245
1085.0,322.57461005331953
1085.2,322.9011952182147
1085.4,323.2290102065864
1085.6,323.5580630543069
1085.8,323.8883618721263
1086.0,324.21991484657985
1086.2,324.55273019878365
1086.4,324.88681626913626
1086.6,325.2221815190675
1086.8,325.5588344475943
1087.0,325.8967836342632
1087.2,326.2360377401429
1087.4,326.57660550883105
1087.6,326.9184957674779
1087.8,327.2617174278238
1088.0,327.6062794872536
1088.2,327.9521910298675
1088.4,328.2994612275676
1088.6,328.64809934116147
1088.8,328.9981147214835
1089.0,329.34951681053246
1089.2,329.702315142628
1089.4,330.0565193455842
1089.6,330.41213914190246
1089.8,330.7691843499823
1090.0,331.12766488535175
1090.2,331.487590761917
1090.4,331.848972093232
1090.6,332.2118190937882
1090.8,332.5761420803247
1091.0,332.9419514731595
1091.2,333.3092577975424
1091.4,333.678071685029
1091.6,334.0484039217586
1091.8,334.4202653566928
1092.0,334.7936669020955
1092.2,335.1686196289489
1092.4,335.5451347217547
1092.6,335.92322348004836
1092.8,336.30289731993764
1093.0,336.6841677756683
1093.2,337.0670465012123
1093.4,337.4515452232091
1093.6,337.83767583934167
1093.8,338.2254504210349
1094.0,338.6148811175995
1094.2,339.0059802064311
1094.4,339.3987600947662
1094.6,339.79323332146987
1094.8,340.1894125588516
1095.0,340.5873106145128
1095.2,340.57478778244064
1095.4,340.0581672951529
1095.6,339.54444173060443
1095.8,339.03358313270735
1096.0,338.52556392773903
1096.2,338.0203569175897
1096.4,337.5179352731528
1096.6,337.0182725278583
1096.8,336.5213425713462
1097.0,336.0271196432721
1097.2,335.53557832724914
1097.4,335.04669354491415
1097.6,334.56044055012114
1097.8,334.07679492325633
1098.0,333.59573256567256
1098.2,333.1172296942395
