Profundidade [m],Taxa de sedimentação [cm/ka]
936.0,6.144225452
936.2,6.144225452
936.4,6.144225452
936.6,6.144225452
936.8,6.1442255685
937.0,6.1442258015
937.2,6.1442260345
937.4,6.1442262675
937.6,6.1442265005
937.8,6.1442267335
938.0,6.1442269665
938.2,6.1442271995
938.4,6.1442274325
938.6,6.275372446723001
938.8,6.537662242167512
939.0,6.799952037612022
939.2,7.062241833056533
939.4,7.324531628501044
939.6,7.586821423945555
939.8,7.849111219390065
940.0,8.111401014834575
940.2,8.373690810279086
940.4,8.79962376478085
940.6,9.389199878336516
940.8,9.978775991892185
941.0,10.56835210544785
941.2,11.15792821900352
941.4,11.747504332559185
941.6,12.337080446114854
941.8,12.92665655967052
942.0,13.516232673226188
942.2,13.811021318888889
942.4,13.811022496666666
942.6,13.811023674444444
942.8,13.811024852222221
943.0,13.81102603
943.2,13.811027207777778
943.4,13.811028385555556
943.6,13.811029563333333
943.8,13.81103074111111
944.0,13.516242684327915
944.2,12.92666539299447
944.4,12.337088101661026
944.6,11.74751081032758
944.8,11.157933518994135
945.0,10.56835622766069
945.2,9.978778936327245
945.4,9.3892016449938
945.6,8.799624353660356
945.8,8.373690693774911
946.0,8.1114006653304
946.2,7.84911063688589
946.4,7.586820608441379
946.6,7.3245305799968685
946.8,7.0622405515523585
947.0,6.799950523107848
947.2,6.537660494663337
947.4,6.275370466218826
947.6,6.144225452
947.8,6.144225452
948.0,6.144225452
948.2,6.144225452
948.4,6.144225452
948.6,6.144225452
948.8,6.144225452
949.0,6.144225452
949.2,6.144225452
949.4,6.275370466226272
949.6,6.537660494670766
949.8,6.79995052311526
950.0,7.062240551559755
950.2,7.324530580004249
950.4,7.586820608448743
950.6,7.849110636893237
950.8,8.111400665337731
951.0,8.373690693782226
951.2,8.226457288157102
951.4,7.669700448490294
951.6,7.112943608823487
951.8,6.55618676915668
952.0,5.999429929489873
952.2,5.4426730898230655
952.4,4.885916250156258
952.6,4.32915941048945
952.8,3.772402570822643
953.0,3.411022809274554
953.2,3.245020125830078
953.4,3.0790174423856023
953.6,2.9130147589411264
953.8,2.74701207549665
954.0,2.581009392052174
954.2,2.4150067086076987
954.4,2.2490040251632224
954.6,2.0830013417187465
954.8,2.0
955.0,2.0
955.2,2.0
955.4,2.0
955.6,2.0
955.8,2.0
956.0,2.0
956.2,2.0
956.4,2.0
956.6,2.083001341726112
956.8,2.2490040251705983
957.0,2.415006708615085
957.2,2.5810093920595714
957.4,2.7470120755040575
957.6,2.913014758948544
957.8,3.07901744239303
958.0,3.2450201258375166
958.2,3.411022809282003
958.4,3.772402570847628
958.6,4.3291594105144
958.8,4.885916250181172
959.0,5.442673089847944
959.2,5.999429929514717
959.4,6.556186769181489
959.6,7.11294360884826
959.8,7.669700448515034
960.0,8.226457288181805
960.2,8.373690693770588
960.4,8.111400665326077
960.6,7.849110636881567
960.8,7.586820608437056
961.0,7.324530579992545
961.2,7.062240551548034
961.4,6.799950523103524
961.6,6.537660494659013
961.8,6.275370466214502
962.0,6.144225452
962.2,6.144225452
962.4,6.144225452
962.6,6.144225452
962.8,6.144225452
963.0,6.144225452
963.2,6.144225452
963.4,6.144225452
963.6,6.144225452
963.8,6.144225452
964.0,6.144225452
964.2,6.144225452
964.4,6.144225452
964.6,6.144225452
964.8,6.144225452
965.0,6.144225452
965.2,6.144225452
965.4,6.144225452
965.6,6.1442255685
965.8,6.1442258015
966.0,6.1442260345
966.2,6.1442262675
966.4,6.1442265005
966.6,6.1442267335
966.8,6.1442269665
967.0,6.1442271995
967.2,6.1442274325
967.4,6.1442274325
967.6,6.1442271994999995
967.8,6.1442269665
968.0,6.1442267335
968.2,6.144226500499999
968.4,6.1442262675
968.6,6.1442260345
968.8,6.144225801499999
969.0,6.1442255685
969.2,6.144225452
969.4,6.144225452
969.6,6.144225452
969.8,6.144225452
970.0,6.144225452
970.2,6.144225452
970.4,6.144225452
970.6,6.144225452
970.8,6.144225452
971.0,6.144225452
971.2,6.144225452
971.4,6.144225452
971.6,6.144225452
971.8,6.144225452
972.0,6.144225452
972.2,6.144225452
972.4,6.144225452
972.6,6.144225452
972.8,6.1442255685
973.0,6.1442258015
973.2,6.1442260345
973.4,6.1442262675
973.6,6.1442265005
973.8,6.1442267335
974.0,6.1442269665
974.2,6.1442271995
974.4,6.1442274325
974.6,6.1442274325
974.8,6.1442271994999995
975.0,6.1442269665
975.2,6.1442267335
975.4,6.144226500499999
975.6,6.1442262675
975.8,6.1442260345
976.0,6.144225801499999
976.2,6.1442255685
976.4,6.275370466234324
976.6,6.537660494678818
976.8,6.799950523123312
977.0,7.062240551567806
977.2,7.324530580012301
977.4,7.586820608456795
977.6,7.849110636901289
977.8,8.111400665345784
978.0,8.373690693790277
978.2,8.482440683220078
978.4,8.43765063366451
978.6,8.392860584108945
978.8,8.348070534553377
979.0,8.30328048499781
979.2,8.258490435442244
979.4,8.213700385886677
979.6,8.16891033633111
979.8,8.124120286775543
980.0,7.970081380875694
980.2,7.706793618653422
980.4,7.44350585643115
980.6,7.180218094208878
980.8,6.916930331986606
981.0,6.653642569764333
981.2,6.390354807542061
981.4,6.127067045319789
981.6,5.863779283097517
981.8,5.7431852120567015
982.0,5.7652848321678185
982.2,5.787384452278935
982.4,5.809484072390052
982.6,5.831583692501168
982.8,5.853683312612285
983.0,5.875782932723402
983.2,5.897882552834518
983.4,5.919982172945635
983.6,5.942876064612393
983.8,5.966564227834621
984.0,5.990252391056849
984.2,6.013940554279078
984.4,6.037628717501306
984.6,6.061316880723534
984.8,6.085005043945762
985.0,6.10869320716799
985.2,6.132381370390219
985.4,6.144225452
985.6,6.144225452
985.8,6.144225452
986.0,6.144225452
986.2,6.144225452
986.4,6.144225452
986.6,6.144225452
986.8,6.144225452
987.0,6.144225452
987.2,6.144225452
987.4,6.144225452
987.6,6.144225452
987.8,6.144225452
988.0,6.144225452
988.2,6.144225452
988.4,6.144225452
988.6,6.144225452
988.8,6.144225452
989.0,6.1442255685
989.2,6.1442258015
989.4,6.1442260345
989.6,6.1442262675
989.8,6.1442265005
990.0,6.1442267335
990.2,6.1442269665
990.4,6.1442271995
990.6,6.1442274325
990.8,6.1442274325
991.0,6.1442271994999995
991.2,6.1442269665
991.4,6.1442267335
991.6,6.144226500499999
991.8,6.1442262675
992.0,6.1442260345
992.2,6.144225801499999
992.4,6.1442255685
992.6,6.144225452
992.8,6.144225452
993.0,6.144225452
993.2,6.144225452
993.4,6.144225452
993.6,6.144225452
993.8,6.144225452
994.0,6.144225452
994.2,6.144225452
994.4,6.144225452
994.6,6.144225452
994.8,6.144225452
995.0,6.144225452
995.2,6.144225452
995.4,6.144225452
995.6,6.144225452
995.8,6.144225452
996.0,6.144225452
996.2,6.1442255685
996.4,6.1442258015
996.6,6.1442260345
996.8,6.1442262675
997.0,6.1442265005
997.2,6.1442267335
997.4,6.1442269665
997.6,6.1442271995
997.8,6.1442274325
998.0,6.1442274325
998.2,6.1442271994999995
998.4,6.1442269665
998.6,6.1442267335
998.8,6.144226500499999
999.0,6.1442262675
999.2,6.1442260345
999.4,6.144225801499999
999.6,6.1442255685
999.8,6.144225452
1000.0,6.144225452
1000.2,6.144225452
1000.4,6.144225452
1000.6,6.144225452
1000.8,6.144225452
1001.0,6.144225452
1001.2,6.144225452
1001.4,6.144225452
1001.6,6.1442255685
1001.8,6.1442258015
1002.0,6.1442260345
1002.2,6.1442262675
1002.4,6.1442265005
1002.6,6.1442267335
1002.8,6.1442269665
1003.0,6.1442271995
1003.2,6.1442274325
1003.4,6.1442274325
1003.6,6.1442271994999995
1003.8,6.1442269665
1004.0,6.1442267335
1004.2,6.144226500499999
1004.4,6.1442262675
1004.6,6.1442260345
1004.8,6.144225801499999
1005.0,6.1442255685
1005.2,6.144225452
1005.4,6.144225452
1005.6,6.144225452
1005.8,6.144225452
1006.0,6.144225452
1006.2,6.144225452
1006.4,6.144225452
1006.6,6.144225452
1006.8,6.144225452
1007.0,6.144225452
1007.2,6.144225452
1007.4,6.144225452
1007.6,6.144225452
1007.8,6.144225452
1008.0,6.144225452
1008.2,6.144225452
1008.4,6.144225452
1008.6,6.144225452
1008.8,6.1442255685
1009.0,6.1442258015
1009.2,6.1442260345
1009.4,6.1442262675
1009.6,6.1442265005
1009.8,6.1442267335
1010.0,6.1442269665
1010.2,6.1442271995
1010.4,6.1442274325
1010.6,6.1442274325
1010.8,6.1442271994999995
1011.0,6.1442269665
1011.2,6.1442267335
1011.4,6.144226500499999
1011.6,6.1442262675
1011.8,6.1442260345
1012.0,6.144225801499999
1012.2,6.1442255685
1012.4,6.144225452
1012.6,6.144225452
1012.8,6.144225452
1013.0,6.144225452
1013.2,6.144225452
1013.4,6.144225452
1013.6,6.144225452
1013.8,6.144225452
1014.0,6.144225452
1014.2,6.144225452
1014.4,6.144225452
1014.6,6.144225452
1014.8,6.144225452
1015.0,6.144225452
1015.2,6.144225452
1015.4,6.144225452
1015.6,6.144225452
1015.8,6.144225452
1016.0,6.1442255685
1016.2,6.1442258015
1016.4,6.1442260345
1016.6,6.1442262675
1016.8,6.1442265005
1017.0,6.1442267335
1017.2,6.1442269665
1017.4,6.1442271995
1017.6,6.1442274325
1017.8,6.1442274325
1018.0,6.1442271994999995
1018.2,6.1442269665
1018.4,6.1442267335
1018.6,6.144226500499999
1018.8,6.1442262675
1019.0,6.1442260345
1019.2,6.144225801499999
1019.4,6.1442255685
1019.6,6.144225452
1019.8,6.144225452
1020.0,6.144225452
1020.2,6.144225452
1020.4,6.144225452
1020.6,6.144225452
1020.8,6.144225452
1021.0,6.144225452
1021.2,6.144225452
1021.4,6.144225452
1021.6,6.144225452
1021.8,6.144225452
1022.0,6.144225452
1022.2,6.144225452
1022.4,6.144225452
1022.6,6.144225452
1022.8,6.144225452
1023.0,6.144225452
1023.2,6.1442255685
1023.4,6.1442258015
1023.6,6.1442260345
1023.8,6.1442262675
1024.0,6.1442265005
1024.2,6.1442267335
1024.4,6.1442269665
1024.6,6.1442271995
1024.8,6.1442274325
1025.0,6.1442274325
1025.2,6.1442271994999995
1025.4,6.1442269665
1025.6,6.1442267335
1025.8,6.144226500499999
1026.0,6.1442262675
1026.2,6.1442260345
1026.4,6.144225801499999
1026.6,6.1442255685
1026.8,6.144225452
1027.0,6.144225452
1027.2,6.144225452
1027.4,6.144225452
1027.6,6.144225452
1027.8,6.144225452
1028.0,6.144225452
1028.2,6.144225452
1028.4,6.144225452
1028.6,6.144225452
1028.8,6.144225452
1029.0,6.144225452
1029.2,6.144225452
1029.4,6.144225452
1029.6,6.144225452
1029.8,6.144225452
1030.0,6.144225452
1030.2,6.144225452
1030.4,6.1442255685
1030.6,6.1442258015
1030.8,6.1442260345
1031.0,6.1442262675
1031.2,6.1442265005
1031.4,6.1442267335
1031.6,6.1442269665
1031.8,6.1442271995
1032.0,6.1442274325
1032.2,6.275372446751014
1032.4,6.537662242195491
1032.6,6.799952037639969
1032.8,7.062241833084447
1033.0,7.324531628528924
1033.2,7.586821423973402
1033.4,7.849111219417879
1033.6,8.111401014862357
1033.8,8.373690810306835
1034.0,8.799623764843204
1034.2,9.389199878398909
1034.4,9.978775991954613
1034.6,10.568352105510318
1034.8,11.157928219066022
1035.0,11.747504332621725
1035.2,12.33708044617743
1035.4,12.926656559733136
1035.6,13.51623267328884
1035.8,13.811021318888889
1036.0,13.811022496666666
1036.2,13.811023674444444
1036.4,13.811024852222221
1036.6,13.81102603
1036.8,13.811027207777778
1037.0,13.811028385555556
1037.2,13.811029563333333
1037.4,13.81103074111111
1037.6,13.81103074111111
1037.8,13.811029563333333
1038.0,13.811028385555556
1038.2,13.811027207777778
1038.4,13.811026029999999
1038.6,13.811024852222221
1038.8,13.811023674444444
1039.0,13.811022496666666
1039.2,13.811021318888889
1039.4,13.811021318888889
1039.6,13.811022496666666
1039.8,13.811023674444444
1040.0,13.811024852222221
1040.2,13.81102603
1040.4,13.811027207777778
1040.6,13.811028385555556
1040.8,13.811029563333333
1041.0,13.81103074111111
1041.2,13.81103133
1041.4,13.81103133
1041.6,13.81103133
1041.8,13.81103133
1042.0,13.81103133
1042.2,13.81103133
1042.4,13.81103133
1042.6,13.81103133
1042.8,13.81103133
1043.0,13.81103074111111
1043.2,13.811029563333333
1043.4,13.811028385555556
1043.6,13.811027207777778
1043.8,13.811026029999999
1044.0,13.811024852222221
1044.2,13.811023674444444
1044.4,13.811022496666666
1044.6,13.811021318888889
1044.8,13.493837648366114
1045.0,12.859471485254844
1045.2,12.225105322143571
1045.4,11.590739159032301
1045.6,10.95637299592103
1045.8,10.322006832809759
1046.0,9.687640669698487
1046.2,9.053274506587215
1046.4,8.418908343475945
1046.6,7.970081380855781
1046.8,7.706793618633492
1047.0,7.443505856411203
1047.2,7.180218094188914
1047.4,6.9169303319666255
1047.6,6.653642569744337
1047.8,6.390354807522048
1048.0,6.127067045299759
1048.2,5.86377928307747
1048.4,5.732135402
1048.6,5.732135402
1048.8,5.732135402
1049.0,5.732135402
1049.2,5.732135402
1049.4,5.732135402
1049.6,5.732135402
1049.8,5.732135402
1050.0,5.732135402
1050.2,5.732135402
1050.4,5.732135402
1050.6,5.732135402
1050.8,5.732135402
1051.0,5.732135402
1051.2,5.732135402
1051.4,5.732135402
1051.6,5.732135402
1051.8,5.732135402
1052.0,5.732135402
1052.2,5.732135402
1052.4,5.732135402
1052.6,5.732135402
1052.8,5.732135402
1053.0,5.732135402
1053.2,5.732135402
1053.4,5.732135402
1053.6,5.732135402
1053.8,5.732135402
1054.0,5.732135402
1054.2,5.732135402
1054.4,5.732135402
1054.6,5.732135402
1054.8,5.732135402
1055.0,5.732135402
1055.2,5.732135402
1055.4,5.732135402
1055.6,5.8742902663164385
1055.8,6.158599994872066
1056.0,6.442909723427693
1056.2,6.727219451983321
1056.4,7.011529180538949
1056.6,7.295838909094575
1056.8,7.580148637650202
1057.0,7.86445836620583
1057.2,8.148768094761458
1057.4,8.662327949158254
1057.6,9.405137929269552
1057.8,10.14794790938085
1058.0,10.89075788949215
1058.2,11.633567869603448
1058.4,12.376377849714746
1058.6,13.119187829826046
1058.8,13.861997809937344
1059.0,14.604807790048643
1059.2,14.976212087777776
1059.4,14.976210703333333
1059.6,14.976209318888888
1059.8,14.976207934444444
1060.0,14.976206549999999
1060.2,14.976205165555555
1060.4,14.976203781111112
1060.6,14.976202396666666
1060.8,14.976201012222223
1061.0,14.976201012222223
1061.2,14.976202396666666
1061.4,14.976203781111112
1061.6,14.976205165555555
1061.8,14.97620655
1062.0,14.976207934444444
1062.2,14.97620931888889
1062.4,14.976210703333333
1062.6,14.976212087777776
1062.8,14.97621278
1063.0,14.97621278
1063.2,14.97621278
1063.4,14.97621278
1063.6,14.97621278
1063.8,14.97621278
1064.0,14.97621278
1064.2,14.97621278
1064.4,14.97621278
1064.6,14.976212087777776
1064.8,14.976210703333333
1065.0,14.976209318888888
1065.2,14.976207934444444
1065.4,14.976206549999999
1065.6,14.976205165555555
1065.8,14.97620378111111
1066.0,14.976202396666666
1066.2,14.976201012222223
1066.4,14.976201012222223
1066.6,14.976202396666666
1066.8,14.976203781111112
1067.0,14.976205165555555
1067.2,14.97620655
1067.4,14.976207934444444
1067.6,14.97620931888889
1067.8,14.976210703333333
1068.0,14.976212087777776
1068.2,14.976212087777776
1068.4,14.976210703333333
1068.6,14.976209318888888
1068.8,14.976207934444444
1069.0,14.976206549999999
1069.2,14.976205165555555
1069.4,14.97620378111111
1069.6,14.976202396666666
1069.8,14.976201012222223
1070.0,14.976201012222223
1070.2,14.976202396666666
1070.4,14.976203781111112
1070.6,14.976205165555555
1070.8,14.97620655
1071.0,14.976207934444444
1071.2,14.97620931888889
1071.4,14.976210703333333
1071.6,14.976212087777776
1071.8,14.531816637807417
1072.0,13.643024353696081
1072.2,12.754232069584745
1072.4,11.86543978547341
1072.6,10.976647501362073
1072.8,10.087855217250738
1073.0,9.199062933139404
1073.2,8.310270649028068
1073.4,7.421478364916732
1073.6,6.842129421124441
1073.8,6.572223817457706
1074.0,6.302318213790971
1074.2,6.032412610124236
1074.4,5.7625070064575015
1074.6,5.492601402790767
1074.8,5.222695799124032
1075.0,4.952790195457297
1075.2,4.682884591790562
1075.4,4.54793179
1075.6,4.54793179
1075.8,4.54793179
1076.0,4.54793179
1076.2,4.54793179
1076.4,4.54793179
1076.6,4.54793179
1076.8,4.54793179
1077.0,4.54793179
1077.2,4.5479317261666665
1077.4,4.5479315985
1077.6,4.547931470833333
1077.8,4.547931343166667
1078.0,4.547931215499999
1078.2,4.547931087833333
1078.4,4.547930960166666
1078.6,4.5479308325
1078.8,4.547930704833333
1079.0,4.547930704833333
1079.2,4.5479308325
1079.4,4.547930960166666
1079.6,4.547931087833333
1079.8,4.5479312155
1080.0,4.547931343166667
1080.2,4.547931470833333
1080.4,4.5479315985
1080.6,4.5479317261666665
1080.8,4.54793179
1081.0,4.54793179
1081.2,4.54793179
1081.4,4.54793179
1081.6,4.54793179
1081.8,4.54793179
1082.0,4.54793179
1082.2,4.54793179
1082.4,4.54793179
1082.6,4.54793179
1082.8,4.54793179
1083.0,4.54793179
1083.2,4.54793179
1083.4,4.54793179
1083.6,4.54793179
1083.8,4.54793179
1084.0,4.54793179
1084.2,4.54793179
1084.4,4.5479317261666665
1084.6,4.5479315985
1084.8,4.547931470833333
1085.0,4.547931343166667
1085.2,4.547931215499999
1085.4,4.547931087833333
1085.6,4.547930960166666
1085.8,4.5479308325
1086.0,4.547930704833333
1086.2,4.547930704833333
1086.4,4.5479308325
1086.6,4.547930960166666
1086.8,4.547931087833333
1087.0,4.5479312155
1087.2,4.547931343166667
1087.4,4.547931470833333
1087.6,4.5479315985
1087.8,4.5479317261666665
1088.0,4.54793179
1088.2,4.54793179
1088.4,4.54793179
1088.6,4.54793179
1088.8,4.54793179
1089.0,4.54793179
1089.2,4.54793179
1089.4,4.54793179
1089.6,4.54793179
1089.8,4.54793179
1090.0,4.54793179
1090.2,4.54793179
1090.4,4.54793179
1090.6,4.54793179
1090.8,4.54793179
1091.0,4.54793179
1091.2,4.54793179
1091.4,4.54793179
1091.6,4.5479317261666665
1091.8,4.5479315985
1092.0,4.547931470833333
1092.2,4.547931343166667
1092.4,4.547931215499999
1092.6,4.547931087833333
1092.8,4.547930960166666
1093.0,4.5479308325
1093.2,4.547930704833333
1093.4,4.547930704833333
1093.6,4.5479308325
1093.8,4.547930960166666
1094.0,4.547931087833333
1094.2,4.5479312155
1094.4,4.547931343166667
1094.6,4.547931470833333
1094.8,4.5479315985
1095.0,4.5479317261666665
1095.2,4.54793179
1095.4,4.54793179
1095.6,4.54793179
1095.8,4.54793179
1096.0,4.54793179
1096.2,4.54793179
1096.4,4.54793179
1096.6,4.54793179
1096.8,4.54793179
1097.0,4.54793179
1097.2,4.54793179
1097.4,4.54793179
1097.6,4.54793179
1097.8,4.54793179
1098.0,4.54793179
1098.2,4.54793179
1098.4,4.54793179
1098.6,4.54793179
1098.8,4.5479317261666665
1099.0,4.5479315985
1099.2,4.547931470833333
1099.4,4.547931343166667
1099.6,4.547931215499999
1099.8,4.547931087833333
1100.0,4.547930960166666
1100.2,4.5479308325
1100.4,4.547930704833333
1100.6,4.547930704833333
1100.8,4.5479308325
1101.0,4.547930960166666
1101.2,4.547931087833333
1101.4,4.5479312155
1101.6,4.547931343166667
1101.8,4.547931470833333
1102.0,4.5479315985
1102.2,4.5479317261666665
1102.4,4.54793179
1102.6,4.54793179
1102.8,4.54793179
1103.0,4.54793179
1103.2,4.54793179
1103.4,4.54793179
1103.6,4.54793179
1103.8,4.54793179
1104.0,4.54793179
1104.2,4.490483500422427
1104.4,4.375586921311301
1104.6,4.260690342200176
1104.8,4.14579376308905
1105.0,4.030897183977925
1105.2,3.916000604866799
1105.4,3.8011040257556736
1105.6,3.6862074466445476
1105.8,3.5713108675334224
1106.0,3.477699002930498
1106.2,3.4053718528193686
1106.4,3.3330447027082393
1106.6,3.26071755259711
1106.8,3.1883904024859806
1107.0,3.1160632523748513
1107.2,3.043736102263722
1107.4,2.9714089521525926
1107.6,2.8990818020414633
1107.8,2.862918201666667
1108.0,2.862918151
1108.2,2.8629181003333333
1108.4,2.862918049666667
1108.6,2.862917999
1108.8,2.862917948333333
1109.0,2.8629178976666667
1109.2,2.862917847
1109.4,2.862917796333333
1109.6,2.862917771
1109.8,2.862917771
1110.0,2.862917771
1110.2,2.862917771
1110.4,2.862917771
1110.6,2.862917771
1110.8,2.862917771
1111.0,2.862917771
1111.2,2.862917771
1111.4,2.862917771
1111.6,2.862917771
1111.8,2.862917771
1112.0,2.862917771
1112.2,2.862917771
1112.4,2.862917771
1112.6,2.862917771
1112.8,2.862917771
1113.0,2.862917771
1113.2,2.923239019357686
1113.4,3.0438815160243675
1113.6,3.1645240126910497
1113.8,3.2851665093577314
1114.0,3.4058090060244135
1114.2,3.526451502691095
1114.4,3.6470939993577773
1114.6,3.767736496024459
1114.8,3.888378992691141
1115.0,4.082730975665543
1115.2,4.350792444887833
1115.4,4.618853914110122
1115.6,4.886915383332413
1115.8,5.154976852554703
1116.0,5.423038321776993
1116.2,5.691099790999282
1116.4,5.959161260221572
1116.6,6.227222729443862
1116.8,6.361253339111111
1117.0,6.361253089333333
1117.2,6.361252839555555
1117.4,6.361252589777778
1117.6,6.36125234
1117.8,6.361252090222222
1118.0,6.361251840444445
1118.2,6.361251590666667
1118.4,6.361251340888889
1118.6,6.361251216
1118.8,6.361251216
1119.0,6.361251216
1119.2,6.361251216
1119.4,6.361251216
1119.6,6.361251216
1119.8,6.361251216
1120.0,6.361251216
1120.2,6.361251216
1120.4,6.355118101330759
1120.6,6.342851871997422
1120.8,6.3305856426640865
1121.0,6.31831941333075
1121.2,6.306053183997413
1121.4,6.293786954664077
1121.6,6.28152072533074
1121.8,6.269254495997404
1122.0,6.2569882666640675
1122.2,6.2449312797752645
1122.4,6.2330835353308185
1122.6,6.2212357908863725
1122.8,6.209388046441927
1123.0,6.197540301997481
1123.2,6.185692557553035
1123.4,6.173844813108589
1123.6,6.161997068664143
1123.8,6.150149324219697
1124.0,6.144225452
1124.2,6.144225452
1124.4,6.144225452
1124.6,6.144225452
1124.8,6.144225452
1125.0,6.144225452
1125.2,6.144225452
1125.4,6.144225452
1125.6,6.144225452
1125.8,6.1442255685
1126.0,6.1442258015
1126.2,6.1442260345
1126.4,6.1442262675
1126.6,6.1442265005
1126.8,6.1442267335
1127.0,6.1442269665
1127.2,6.1442271995
1127.4,6.1442274325
1127.6,6.1442274325
1127.8,6.1442271994999995
1128.0,6.1442269665
1128.2,6.1442267335
1128.4,6.144226500499999
1128.6,6.1442262675
1128.8,6.1442260345
1129.0,6.144225801499999
1129.2,6.1442255685
1129.4,6.144225452
1129.6,6.144225452
1129.8,6.144225452
1130.0,6.144225452
1130.2,6.144225452
1130.4,6.144225452
1130.6,6.144225452
1130.8,6.144225452
1131.0,6.144225452
1131.2,6.144225452
1131.4,6.144225452
1131.6,6.144225452
1131.8,6.144225452
1132.0,6.144225452
1132.2,6.144225452
1132.4,6.144225452
1132.6,6.144225452
1132.8,6.144225452
1133.0,6.1442255685
1133.2,6.1442258015
1133.4,6.1442260345
1133.6,6.1442262675
1133.8,6.1442265005
1134.0,6.1442267335
