Profundidade [m]	Paleobatimetria [m]
936.0	295.1043739691655
936.2	294.86020894499006
936.4	294.6160439208144
936.6	294.3718788966389
936.8	294.1277139141358
937.0	293.8835489733048
937.2	293.6393840324741
937.4	293.39521909164336
937.6	293.15105415081234
937.8	292.9068892099816
938.0	292.6627242691509
938.2	292.41855932831993
938.4	292.1743943874892
938.6	291.9641147426905
938.8	291.78772039392334
939.0	291.61132604515626
939.2	291.43493169638907
939.4	291.25853734762194
939.6	291.0821429988548
939.8	290.9057486500876
940.0	290.7293543013205
940.2	290.55295995255335
940.4	290.4104508998185
940.6	290.3018271431149
940.8	290.1932033864116
941.0	290.0845796297083
941.2	289.975955873005
941.4	289.86733211630144
941.6	289.75870835959813
941.8	289.6500846028948
942.0	289.5414608461913
942.2	289.43283713116034
942.4	289.32421345780176
942.6	289.2155897844429
942.8	289.1069661110843
943.0	288.99834243772574
943.2	288.8897187643669
943.4	288.7810950910083
943.6	288.6724714176497
943.8	288.5638477442909
944.0	288.42133873322757
944.2	288.2449443844605
944.4	288.0685500356933
944.6	287.8921556869262
944.8	287.71576133815904
945.0	287.53936698939185
945.2	287.3629726406247
945.4	287.1865782918576
945.6	287.0101839430904
945.8	286.79990425661833
946.0	286.5557392324429
946.2	286.3115742082674
946.4	286.06740918409173
946.6	285.82324415991627
946.8	285.5790791357408
947.0	285.33491411156507
947.2	285.0907490873896
947.4	284.8465840632142
947.6	284.6024190390384
947.8	284.358254014863
948.0	284.11408899068755
948.2	283.8699239665118
948.4	283.62575894233635
948.6	283.3815939181609
948.8	283.1374288939852
949.0	282.89326386980974
949.2	282.6490988456343
949.4	282.4388191591638
949.6	282.2624248103969
949.8	282.0860304616298
950.0	281.9096361128626
950.2	281.73324176409545
950.4	281.5568474153283
950.6	281.3804530665615
950.8	281.2040587177943
951.0	281.02766436902715
951.2	280.72478565679273
951.4	280.29542258109956
951.6	279.8660595054064
951.8	279.4366964297135
952.0	279.0073333540204
952.2	278.57797027832726
952.4	278.148607202634
952.6	277.7192441269409
952.8	277.2898810512478
953.0	276.7001482743813
953.2	275.95004579635383
953.4	275.1999433183264
953.6	274.449840840299
953.8	273.6997383622715
954.0	272.949635884244
954.2	272.1995334062166
954.4	271.4494309281888
954.6	270.6993284501614
954.8	269.94922597213395
955.0	269.19912349410646
955.2	268.449021016079
955.4	267.69891853805126
955.6	266.9488160600238
955.8	266.19871358199634
956.0	265.4486111039689
956.2	264.69850862594114
956.4	263.9484061479137
956.6	263.35867337106083
956.8	262.9293102953677
957.0	262.4999472196748
957.2	262.07058414398165
957.4	261.6412210682885
957.6	261.21185799259536
957.8	260.78249491690246
958.0	260.3531318412093
958.2	259.9237687655161
958.4	259.62089005329267
958.6	259.4444957045255
958.8	259.26810135575835
959.0	259.0917070069912
959.2	258.915312658224
959.4	258.73891830945695
959.6	258.56252396068976
959.8	258.3861296119226
960.0	258.2097352631555
960.2	257.9994555766823
960.4	257.75529055250684
960.6	257.5111255283314
960.8	257.2669605041557
961.0	257.02279547998023
961.2	256.7786304558048
961.4	256.5344654316291
961.6	256.2903004074536
961.8	256.04613538327817
962.0	255.80197035910243
962.2	255.55780533492697
962.4	255.31364031075154
962.6	255.0694752865758
962.8	254.82531026240036
963.0	254.5811452382249
963.2	254.33698021404945
963.4	254.09281518987373
963.6	253.84865016569827
963.8	253.60448514152282
964.0	253.3603201173471
964.2	253.11615509317164
964.4	252.8719900689962
964.6	252.6278250448205
964.8	252.38366002064504
965.0	252.13949499646958
965.2	251.89532997229387
965.4	251.6511649481184
965.6	251.4069999656153
965.8	251.16283502478433
966.0	250.9186700839536
966.2	250.67450514312287
966.4	250.4303402022919
966.6	250.18617526146116
966.8	249.94201032063043
967.0	249.69784537979945
967.2	249.45368043896872
967.4	249.20951545646562
967.6	248.9653504322899
967.8	248.72118540811445
968.0	248.477020383939
968.2	248.23285535976328
968.4	247.98869033558785
968.6	247.7445253114124
968.8	247.50036028723693
969.0	247.25619526306122
969.2	247.01203023888576
969.4	246.7678652147103
969.6	246.52370019053458
969.8	246.27953516635912
970.0	246.0353701421837
970.2	245.79120511800795
970.4	245.54704009383252
970.6	245.30287506965706
970.8	245.05871004548135
971.0	244.8145450213059
971.2	244.57037999713043
971.4	244.32621497295472
971.6	244.08204994877926
971.8	243.83788492460383
972.0	243.59371990042808
972.2	243.34955487625265
972.4	243.1053898520772
972.6	242.86122482790174
972.8	242.6170598453984
973.0	242.37289490456766
973.2	242.12872996373667
973.4	241.88456502290595
973.6	241.64040008207496
973.8	241.39623514124423
974.0	241.1520702004135
974.2	240.90790525958252
974.4	240.6637403187518
974.6	240.4195753362484
974.8	240.17541031207298
975.0	239.93124528789753
975.2	239.6870802637218
975.4	239.44291523954635
975.6	239.1987502153709
975.8	238.95458519119518
976.0	238.71042016701972
976.2	238.466255142844
976.4	238.2559754563759
976.6	238.07958110760876
976.8	237.90318675884188
977.0	237.72679241007472
977.2	237.5503980613076
977.4	237.37400371254043
977.6	237.19760936377327
977.8	237.0212150150064
978.0	236.84482066623926
978.2	236.66403796794108
978.4	236.4788669201127
978.6	236.2936958722843
978.8	236.1085248244559
979.0	235.92335377662752
979.2	235.73818272879913
979.4	235.55301168097074
979.6	235.36784063314235
979.8	235.18266958531396
980.0	234.9592248919193
980.2	234.69750655296608
980.4	234.4357882140129
980.6	234.17406987505967
980.8	233.91235153610646
981.0	233.65063319715298
981.2	233.3889148581998
981.4	233.12719651924658
981.6	232.86547818029337
981.8	232.6081481908712
982.0	232.35520655097895
982.2	232.102264911087
982.4	231.84932327119475
982.6	231.5963816313028
982.8	231.34343999141055
983.0	231.0904983515186
983.2	230.83755671162635
983.4	230.5846150717344
983.6	230.33606173970108
983.8	230.09189671552562
984.0	229.8477316913499
984.2	229.60356666717445
984.4	229.35940164299873
984.6	229.11523661882327
984.8	228.87107159464784
985.0	228.6269065704721
985.2	228.38274154629667
985.4	228.1385765221212
985.6	227.89441149794575
985.8	227.65024647377004
986.0	227.40608144959458
986.2	227.16191642541912
986.4	226.9177514012434
986.6	226.67358637706795
986.8	226.42942135289252
987.0	226.18525632871706
987.2	225.94109130454135
987.4	225.6969262803659
987.6	225.45276125619043
987.8	225.2085962320147
988.0	224.96443120783925
988.2	224.72026618366354
988.4	224.47610115948808
988.6	224.23193613531265
988.8	223.9877711111369
989.0	223.74360612863384
989.2	223.49944118780311
989.4	223.2552762469724
989.6	223.0111113061414
989.8	222.76694636531067
990.0	222.52278142447994
990.2	222.27861648364893
990.4	222.0344515428182
990.6	221.79028660198748
990.8	221.54612161948438
991.0	221.3019565953087
991.2	221.05779157113324
991.4	220.81362654695778
991.6	220.5694615227821
991.8	220.32529649860663
992.0	220.08113147443117
992.2	219.83696645025543
992.4	219.59280142607997
992.6	219.3486364019043
992.8	219.10447137772883
993.0	218.86030635355337
993.2	218.61614132937763
993.4	218.37197630520222
993.6	218.12781128102677
993.8	217.88364625685102
994.0	217.63948123267556
994.2	217.3953162085001
994.4	217.15115118432442
994.6	216.90698616014896
994.8	216.6628211359735
995.0	216.41865611179804
995.2	216.1744910876223
995.4	215.9303260634469
995.6	215.68616103927144
995.8	215.4419960150957
996.0	215.19783099092024
996.2	214.95366600841714
996.4	214.7095010675862
996.6	214.46533612675546
996.8	214.22117118592445
997.0	213.97700624509372
997.2	213.732841304263
997.4	213.48867636343203
997.6	213.2445114226013
997.8	213.0003464817703
998.0	212.7561814992672
998.2	212.5120164750915
998.4	212.26785145091606
998.6	212.0236864267406
998.8	211.77952140256514
999.0	211.5353563783894
999.2	211.29119135421394
999.4	211.04702633003853
999.6	210.8028613058628
999.8	210.55869628168733
1000.0	210.31453125751187
1000.2	210.07036623333642
1000.4	209.82620120916073
1000.6	209.58203618498527
1000.8	209.33787116080953
1001.0	209.09370613663407
1001.2	208.8495411124586
1001.4	208.60537608828292
1001.6	208.36121110577983
1001.8	208.1170461649491
1002.0	207.8728812241181
1002.2	207.62871628328736
1002.4	207.3845513424567
1002.6	207.14038640162568
1002.8	206.89622146079495
1003.0	206.65205651996422
1003.2	206.4078915791332
1003.4	206.1637265966301
1003.6	205.9195615724547
1003.8	205.67539654827897
1004.0	205.4312315241035
1004.2	205.18706649992805
1004.4	204.9429014757526
1004.6	204.6987364515769
1004.8	204.45457142740145
1005.0	204.210406403226
1005.2	203.96624137905025
1005.4	203.72207635487484
1005.6	203.47791133069938
1005.8	203.23374630652364
1006.0	202.98958128234818
1006.2	202.74541625817272
1006.4	202.50125123399704
1006.6	202.25708620982158
1006.8	202.01292118564612
1007.0	201.76875616147038
1007.2	201.52459113729498
1007.4	201.28042611311952
1007.6	201.03626108894406
1007.8	200.79209606476832
1008.0	200.54793104059286
1008.2	200.3037660164174
1008.4	200.0596009922417
1008.6	199.81543596806625
1008.8	199.57127098556316
1009.0	199.32710604473215
1009.2	199.08294110390142
1009.4	198.8387761630707
1009.6	198.59461122223973
1009.8	198.350446281409
1010.0	198.10628134057828
1010.2	197.86211639974726
1010.4	197.61795145891654
1010.6	197.37378647641344
1010.8	197.12962145223776
1011.0	196.8854564280623
1011.2	196.64129140388684
1011.4	196.39712637971115
1011.6	196.1529613555357
1011.8	195.90879633136024
1012.0	195.6646313071845
1012.2	195.42046628300903
1012.4	195.17630125883358
1012.6	194.9321362346579
1012.8	194.68797121048243
1013.0	194.44380618630697
1013.2	194.1996411621315
1013.4	193.95547613795583
1013.6	193.71131111378037
1013.8	193.4671460896049
1014.0	193.22298106542917
1014.2	192.9788160412537
1014.4	192.7346510170783
1014.6	192.49048599290256
1014.8	192.2463209687271
1015.0	192.00215594455165
1015.2	191.75799092037596
1015.4	191.5138258962005
1015.6	191.26966087202504
1015.8	191.0254958478493
1016.0	190.7813308653462
1016.2	190.53716592451548
1016.4	190.29300098368452
1016.6	190.0488360428538
1016.8	189.80467110202278
1017.0	189.56050616119205
1017.2	189.31634122036132
1017.4	189.07217627953037
1017.6	188.82801133869964
1017.8	188.58384635619626
1018.0	188.3396813320208
1018.2	188.09551630784534
1018.4	187.85135128366966
1018.6	187.6071862594942
1018.8	187.36302123531874
1019.0	187.118856211143
1019.2	186.8746911869676
1019.4	186.63052616279214
1019.6	186.3863611386164
1019.8	186.14219611444094
1020.0	185.89803109026548
1020.2	185.6538660660898
1020.4	185.40970104191433
1020.6	185.16553601773887
1020.8	184.92137099356313
1021.0	184.67720596938773
1021.2	184.43304094521227
1021.4	184.18887592103653
1021.6	183.94471089686107
1021.8	183.7005458726856
1022.0	183.45638084850992
1022.2	183.21221582433446
1022.4	182.968050800159
1022.6	182.72388577598355
1022.8	182.4797207518078
1023.0	182.2355557276324
1023.2	181.9913907451293
1023.4	181.7472258042983
1023.6	181.50306086346757
1023.8	181.25889592263684
1024.0	181.0147309818061
1024.2	180.77056604097515
1024.4	180.52640110014443
1024.6	180.2822361593137
1024.8	180.03807121848268
1025.0	179.7939062359796
1025.2	179.54974121180413
1025.4	179.30557618762845
1025.6	179.061411163453
1025.8	178.81724613927753
1026.0	178.5730811151018
1026.2	178.32891609092633
1026.4	178.08475106675093
1026.6	177.84058604257518
1026.8	177.59642101839972
1027.0	177.35225599422427
1027.2	177.10809097004858
1027.4	176.86392594587312
1027.6	176.61976092169766
1027.8	176.37559589752192
1028.0	176.13143087334646
1028.2	175.88726584917106
1028.4	175.64310082499532
1028.6	175.39893580081986
1028.8	175.1547707766444
1029.0	174.9106057524687
1029.2	174.66644072829325
1029.4	174.4222757041178
1029.6	174.17811067994205
1029.8	173.9339456557666
1030.0	173.6897806315912
1030.2	173.44561560741545
1030.4	173.20145062491235
1030.6	172.95728568408163
1030.8	172.7131207432506
1031.0	172.46895580241988
1031.2	172.2247908615892
1031.4	171.9806259207582
1031.6	171.73646097992747
1031.8	171.49229603909646
1032.0	171.24813109826573
1032.2	171.03785145347427
1032.4	170.86145710470714
1032.6	170.68506275593995
1032.8	170.50866840717282
1033.0	170.33227405840597
1033.2	170.15587970963878
1033.4	169.97948536087165
1033.6	169.80309101210452
1033.8	169.62669666333733
1034.0	169.4841876106097
1034.2	169.37556385390616
1034.4	169.26694009720285
1034.6	169.15831634049954
1034.8	169.04969258379595
1035.0	168.94106882709264
1035.2	168.83244507038933
1035.4	168.7238213136858
1035.6	168.61519755698248
1035.8	168.50657384195154
1036.0	168.39795016859267
1036.2	168.2893264952341
1036.4	168.1807028218755
1036.6	168.07207914851665
1036.8	167.96345547515807
1037.0	167.8548318017995
1037.2	167.74620812844068
1037.4	167.6375844550821
1037.6	167.52896074005116
1037.8	167.42033698334757
1038.0	167.31171322664426
1038.2	167.20308946994066
1038.4	167.0944657132374
1038.6	166.9858419565341
1038.8	166.8772181998305
1039.0	166.7685944431272
1039.2	166.6599706864236
1039.4	166.55134697139266
1039.6	166.44272329803408
1039.8	166.33409962467528
1040.0	166.2254759513167
1040.2	166.11685227795812
1040.4	166.00822860459925
1040.6	165.89960493124067
1040.8	165.7909812578821
1041.0	165.68235758452323
1041.2	165.57373391116465
1041.4	165.46511023780607
1041.6	165.35648656444727
1041.8	165.2478628910887
1042.0	165.13923921772982
1042.2	165.03061554437124
1042.4	164.92199187101266
1042.6	164.8133681976538
1042.8	164.70474452429522
1043.0	164.596120809264
1043.2	164.48749705256074
1043.4	164.37887329585743
1043.6	164.27024953915384
1043.8	164.16162578245053
1044.0	164.05300202574693
1044.2	163.94437826904363
1044.4	163.8357545123401
1044.6	163.72713075563678
1044.8	163.58023335336134
1045.0	163.3950623055332
1045.2	163.20989125770484
1045.4	163.02472020987642
1045.6	162.83954916204806
1045.8	162.65437811421964
1046.0	162.46920706639128
1046.2	162.28403601856286
1046.4	162.09886497073472
1046.6	161.87542027733423
1046.8	161.61370193838098
1047.0	161.3519835994275
1047.2	161.09026526047433
1047.4	160.82854692152114
1047.6	160.56682858256767
1047.8	160.30511024361442
1048.0	160.04339190466095
1048.2	159.78167356570776
1048.4	159.51995522675458
1048.6	159.2582368878011
1048.8	158.99651854884786
1049.0	158.73480020989467
1049.2	158.4730818709412
1049.4	158.21136353198796
1049.6	157.94964519303477
1049.8	157.6879268540813
1050.0	157.4262085151281
1050.2	157.16449017617464
1050.4	156.9027718372214
1050.6	156.6410534982682
1050.8	156.37933515931473
1051.0	156.11761682036155
1051.2	155.8558984814083
1051.4	155.59418014245483
1051.6	155.33246180350164
1051.8	155.07074346454846
1052.0	154.80902512559493
1052.2	154.54730678664174
1052.4	154.28558844768855
1052.6	154.0238701087353
1052.8	153.76215176978184
1053.0	153.50043343082865
1053.2	153.23871509187546
1053.4	152.97699675292222
1053.6	152.71527841396875
1053.8	152.45356007501556
1054.0	152.19184173606237
1054.2	151.9301233971089
1054.4	151.66840505815566
1054.6	151.40668671920247
1054.8	151.144968380249
1055.0	150.88325004129575
1055.2	150.62153170234257
1055.4	150.3598133633891
1055.6	150.1384814586558
1055.8	149.9575359881203
1056.0	149.7765905175848
1056.2	149.5956450470493
1056.4	149.41469957651373
1056.6	149.2337541059785
1056.8	149.052808635443
1057.0	148.8718631649075
1057.2	148.690917694372
1057.4	148.55035869972897
1057.6	148.45018618095617
1057.8	148.35001366218307
1058.0	148.24984114341026
1058.2	148.14966862463746
1058.4	148.04949610586436
1058.6	147.94932358709156
1058.8	147.8491510683187
1059.0	147.7489785495456
1059.2	147.64880598910042
1059.4	147.54863338698289
1059.6	147.44846078486535
1059.8	147.34828818274752
1060.0	147.24811558062999
1060.2	147.1479429785124
1060.4	147.04777037639462
1060.6	146.94759777427703
1060.8	146.8474251721595
1061.0	146.74725261171432
1061.2	146.64708009294122
1061.4	146.54690757416842
1061.6	146.4467350553956
1061.8	146.3465625366225
1062.0	146.24639001784965
1062.2	146.14621749907684
1062.4	146.04604498030375
1062.6	145.94587246153094
1062.8	145.84569994275813
1063.0	145.74552742398504
1063.2	145.64535490521217
1063.4	145.54518238643936
1063.6	145.44500986766656
1063.8	145.34483734889346
1064.0	145.24466483012066
1064.2	145.1444923113478
1064.4	145.04431979257475
1064.6	144.94414723212952
1064.8	144.84397463001199
1065.0	144.74380202789416
1065.2	144.64362942577662
1065.4	144.54345682365908
1065.6	144.44328422154126
1065.8	144.34311161942372
1066.0	144.24293901730618
1066.2	144.14276641518836
