Depth(m) COT DT GR NPHI RHOB
4850.104600000001 2.741164145438182 72.27238 89.34107 10.45607 2.498084
4850.3046 3.200105105475585 71.97732 102.3117 16.06049 2.507125
4850.5046 3.43066160093319 71.92362 108.8271 20.20376 2.591972
4850.704600000001 3.3614491049809163 71.3168 106.8752 18.23734 2.610011
4850.9046 3.43506084417658 71.506 108.9541 14.7495 2.643755
4851.104600000001 3.349327884064386 72.89922 106.5225 15.67349 2.650742
4851.3046 3.3211237717098934 73.70908 105.7203 19.14209 2.583275
4851.5046 3.4994823693002997 71.63354 110.7737 21.75633 2.577694
4851.704600000001 3.5216254730754293 69.69324 111.4119 20.44528 2.592752
4851.9046 3.3361465728048434 69.91803 106.1692 16.44304 2.613751
4852.104600000001 2.87377900036266 71.74294 93.0919 11.65226 2.635912
4852.3046 2.7266163122027987 72.99184 88.92535 10.5288 2.62686
4852.5046 3.284440480651247 72.21751 104.6933 15.25809 2.610209
4852.704600000001 3.819635174559564 72.31178 119.8162 21.62188 2.596256
4852.9046 3.8362110632461897 72.80935 120.2814 19.67909 2.616918
4853.104600000001 3.845886175223339 73.47764 120.5505 18.76414 2.635751
4853.3046 4.0164269666774235 74.32234 125.3642 21.74808 2.624646
4853.5046 4.170717827323117 74.46907 129.7232 22.26011 2.625495
4853.704600000001 4.0798101361115275 73.0909 127.1632 21.63688 2.613682
4853.9046 3.8853792279108 71.14466 121.6815 22.98149 2.612013
4854.104600000001 4.053322281703899 70.12282 126.4338 20.58539 2.642479
4854.3046 4.4764643842535605 69.49004 138.395 14.1485 2.615192
4854.5046 4.680242980701073 70.02885 144.1499 11.04094 2.609837
4854.704600000001 4.374218643439974 70.39864 135.4999 14.64609 2.606084
4854.9046 3.9706280923707045 70.1899 124.0966 20.86861 2.626709
4855.104600000001 3.5038570357042604 69.44456 110.9114 19.66401 2.60423
4855.3046 3.2537250039262196 68.86639 103.8469 14.35925 2.600643
4855.5046 3.375090727728918 69.79088 107.2705 10.9377 2.565265
4855.704600000001 3.5361520080723805 71.1841 111.8128 12.44773 2.608146
4855.9046 3.735068119945822 72.23532 117.427 15.99697 2.621543
4856.104600000001 3.6397560676686 73.04005 114.7285 18.95541 2.610309
4856.3046 3.17900214491401 74.41389 101.6997 19.18842 2.61575
4856.5046 3.0030579879082526 75.54225 96.72062 19.12249 2.630368
4856.704600000001 3.097015051433296 74.8589 99.38005 21.22693 2.636059
4856.9046 3.139068594015667 72.86858 100.5812 24.26151 2.627407
4857.104600000001 3.199668253697544 69.68517 102.3141 22.91737 2.631993
4857.3046 3.154342068444376 65.95027 101.0573 16.7406 2.619276
4857.5046 3.192844754025192 64.62998 102.1538 9.114709 2.591924
4857.704600000001 3.336737459486976 66.0778 106.2106 5.975611 2.618664
4857.9046 3.374133772503278 68.99158 107.2486 10.33516 2.620538
4858.104600000001 3.368335719138047 71.79897 107.0667 18.21757 2.614141
