Depth(m) COT DT GR NPHI RHOB
4800.104600000001 5.400560550365074 70.30501 157.6507 14.05369 2.616479
4800.3046 4.322480039249653 73.25121 127.1674 11.76468 2.605533
4800.5046 4.061132392193406 76.35267 119.7623 17.90119 2.585634
4800.704600000001 4.224416077203042 78.27454 124.364 21.43119 2.587109
4800.9046 4.050501177116167 76.25685 119.4625 19.73067 2.608446
4801.104600000001 3.472352261488295 74.4528 103.1368 18.43621 2.606545
4801.3046 3.2659241795820213 73.40113 97.31033 22.1784 2.553123
4801.5046 3.449231401637606 72.65755 102.495 24.67106 2.549134
4801.704600000001 3.436297757821505 71.24626 102.1386 20.48511 2.576989
4801.9046 3.173425971735994 70.30908 94.71641 15.85177 2.604108
4802.104600000001 3.0878520496153006 69.32288 92.30461 16.87706 2.570728
4802.3046 3.6023057470494577 68.39298 106.848 17.66506 2.572274
4802.5046 4.45928355944593 70.80857 131.0489 14.73299 2.640975
4802.704600000001 4.804382907155984 74.02671 140.78 14.01367 2.597846
4802.9046 4.57677322912146 76.00358 134.3355 14.56577 2.630421
4803.104600000001 4.243959414764332 77.45912 124.9215 15.40392 2.585075
4803.3046 4.179883586194302 78.6481 123.1032 18.8794 2.560374
4803.5046 3.928536917122642 78.39279 116.0023 23.53298 2.571802
4803.704600000001 3.3980460374768646 77.80419 101.0155 24.56273 2.552835
4803.9046 3.2872345699674703 78.20135 97.88164 24.24469 2.564848
4804.104600000001 3.7365443779021494 78.07937 110.579 23.346 2.557485
4804.3046 4.509749355039133 78.03114 132.4285 20.51336 2.533766
4804.5046 4.8033398987082485 77.45093 140.7285 18.48491 2.609261
4804.704600000001 4.280697315761065 76.79654 125.9639 18.77705 2.586283
4804.9046 3.581210289326302 76.21025 106.2016 20.2393 2.558544
4805.104600000001 3.635859483209214 75.25797 107.752 20.2767 2.352266
4805.3046 4.072453985879396 74.80199 120.0922 17.04818 2.369875
4805.5046 4.549691234657337 74.94931 133.577 12.57345 2.456156
4805.704600000001 4.599224243796483 74.88735 134.9771 12.79081 2.540481
4805.9046 4.287384953922345 74.85005 126.1654 17.30036 2.571154
4806.104600000001 4.13225594787548 74.50367 121.784 20.70266 2.574031
4806.3046 3.8881975723887727 75.51569 114.8809 20.19712 2.584825
4806.5046 3.4469215168630294 76.71925 102.4036 19.0492 2.589724
4806.704600000001 3.090647258804826 77.33468 92.33206 17.3523 2.600936
4806.9046 3.5627331738929384 79.33099 105.6594 15.37053 2.472178
4807.104600000001 4.441604198575746 80.79166 130.4851 16.57523 2.39426
4807.3046 5.266704210069338 80.98399 153.7995 15.97059 2.371111
4807.5046 4.993735122053764 79.25101 146.0971 16.3811 2.399502
4807.704600000001 4.524835556177505 77.2702 132.8597 19.21982 2.320712
4807.9046 4.011707511905134 75.64597 118.3702 18.67406 2.293838
4808.104600000001 3.2837527531896122 73.46782 97.8137 16.12835 2.496148
4808.3046 2.9358580033566946 72.17699 87.99121 16.09744 2.607527
4808.5046 3.0292009858974556 71.34554 90.63424 18.4546 2.586636
4808.704600000001 3.5228225605821066 71.26395 104.5835 19.32494 2.566305
4808.9046 4.0001147202470335 74.65282 118.049 18.40932 2.597088
4809.104600000001 3.9656537596145336 78.43103 117.0509 19.84278 2.614313
4809.3046 3.666613351238953 81.45161 108.5812 21.51245 2.571333
4809.5046 3.5456822569770132 81.0062 105.1668 20.37337 2.514036
4809.704600000001 3.62590201139029 78.21512 107.4516 20.40403 2.43323
4809.9046 4.179638157689101 76.6683 123.109 21.50003 2.358505
4810.104600000001 4.666010643010774 75.12783 136.8628 18.17571 2.366207
4810.3046 4.620040468879745 74.14487 135.5701 15.04801 2.411469
4810.5046 4.300716482426232 74.46478 126.5446 15.60878 2.448518
4810.704600000001 4.0541569054108795 75.88428 119.5682 18.50566 2.448912
4810.9046 3.862598526726374 75.64369 114.1567 20.28709 2.406904
4811.104600000001 3.7467196755114758 74.13589 110.8919 20.28792 2.345852
4811.3046 3.3484316851141895 73.31768 99.64236 20.03286 2.332388
4811.5046 3.256212400201792 73.33506 97.03632 21.38525 2.373109
4811.704600000001 3.630595870307794 73.12215 107.617 22.88737 2.439939
4811.9046 4.121994212841112 75.23811 121.4893 22.48236 2.525295
4812.104600000001 4.4323599320912646 78.08296 130.2413 21.66029 2.549313
4812.3046 4.350627188485227 77.70986 127.9341 19.50597 2.572148
4812.5046 3.870442574730526 68.87456 114.4219 16.8654 2.576439
4812.704600000001 3.411713157744362 62.67892 101.499 16.56703 2.578029
4812.9046 3.0780175477688387 63.49899 92.06417 17.30241 2.540522
4813.104600000001 3.136974383709545 70.00481 93.68832 16.44332 2.473743
4813.3046 3.6306544783494656 71.84058 107.6269 15.14981 2.519186
4813.5046 4.0376771135938805 73.95891 119.1149 17.24544 2.535808
4813.704600000001 4.221104346737942 74.67061 124.2936 22.7276 2.523583
4813.9046 4.98268433793258 74.85583 145.8131 22.99234 2.580991
4814.104600000001 5.837171120971279 77.30385 169.9434 19.02465 2.595692
4814.3046 5.3612465143077 78.97423 156.484 18.85549 2.604383
4814.5046 4.221431723140902 78.54943 124.2779 21.76936 2.5644
4814.704600000001 3.5866321185763077 76.77142 106.3512 22.8046 2.552831
4814.9046 3.0702831657024867 74.60833 91.77415 22.03004 2.522945
4815.104600000001 3.0677175217744814 74.67831 91.7012 18.69265 2.543084
4815.3046 3.635349348509848 75.11567 107.7385 14.82364 2.534107
4815.5046 3.6988403943565125 75.563 109.6397 15.52061 2.489256
4815.704600000001 3.441664897725362 76.09917 102.2947 17.60012 2.544739
4815.9046 3.5917305185396757 77.27982 106.492 17.57581 2.587343
4816.104600000001 4.1416568765436725 78.24258 122.0256 16.59142 2.569572
4816.3046 4.5732487141632365 78.92687 134.2171 16.57309 2.603213
4816.5046 4.4127900036281815 78.81266 129.6836 21.53039 2.571724
4816.704600000001 4.0550901597875395 77.10802 119.5867 27.02065 2.528922
4816.9046 4.030402820651389 75.03831 118.9024 24.76555 2.541524
4817.104600000001 4.268731149845331 73.35481 125.6479 19.65919 2.464854
4817.3046 4.162258893388486 73.34113 122.6393 16.7375 2.335227
4817.5046 3.7482448470764176 74.66417 110.9316 16.26315 2.350612
4817.704600000001 3.664209276699062 75.50781 108.5515 17.14623 2.45426
4817.9046 4.36390004708241 75.15473 128.3256 21.55334 2.581195
4818.104600000001 4.830095921576678 75.7363 141.4956 25.65907 2.590063
4818.3046 4.362636772086847 73.64717 128.2996 22.53013 2.573019
4818.5046 3.4677352904849608 73.5875 103.0119 15.91778 2.600632
4818.704600000001 3.0025614224972155 75.81191 89.85273 17.11485 2.609298
4818.9046 2.940565442676003 77.01057 88.09314 22.89066 2.590732
4819.104600000001 2.999950439619099 77.64304 89.76717 26.24861 2.564992
4819.3046 3.629972519069517 78.74744 107.5632 25.81589 2.566633
4819.5046 4.713783801749293 76.86455 138.2016 23.32117 2.571958
4819.704600000001 5.339400159049051 76.46619 155.8828 22.98679 2.568345
4819.9046 5.393279784646913 78.00956 157.3954 21.93117 2.541234
4820.104600000001 5.2586332620567795 76.7449 153.5987 16.59228 2.468683
4820.3046 4.879507044793216 75.12336 142.8958 14.25315 2.419155
4820.5046 4.266928769234749 74.48474 125.5897 15.68406 2.400871
4820.704600000001 3.80362849882341 74.59089 112.4971 16.713 2.377813
4820.9046 3.767428575099452 75.51808 111.4682 14.3814 2.433582
4821.104600000001 3.427930842629815 76.7445 101.8668 12.29117 2.507989
4821.3046 3.1047715488064256 78.31461 92.72488 17.4832 2.515876
4821.5046 3.3347243392678387 78.58279 99.22115 22.47872 2.535637
4821.704600000001 3.4924814018251418 78.55817 103.6792 21.85709 2.621667
4821.9046 3.369967552469101 79.67893 100.21 21.29857 2.620871
4822.104600000001 3.3753476758411094 79.13969 100.3655 24.04915 2.610767
4822.3046 4.787642879557772 77.17645 140.2867 26.45183 2.600976
4822.5046 6.883081327952665 71.28473 199.5374 25.61946 2.605401
4822.704600000001 7.413083229303005 67.8598 214.5362 19.85967 2.562587
4822.9046 6.499652498572748 70.25657 188.7091 11.65785 2.599991
4823.104600000001 5.509283954939928 77.48728 160.6768 9.421645 2.601285
4823.3046 4.517210946335511 84.53693 132.5975 14.02072 2.604026
4823.5046 3.7047788858804216 90.02974 109.6045 21.3905 2.583811
4823.704600000001 3.749599623116551 93.26983 110.8502 26.99836 2.529151
4823.9046 4.450046916245135 93.19312 130.6439 28.84204 2.507017
4824.104600000001 5.077172565266998 91.79198 148.3742 32.50179 2.442387
