Depth(m) Code COT DT GR NPHI RHOB
4800.104600000001 57 5.3972748616595965 70.30501 157.6507 14.05369 2.616479
4800.3046 57 4.319806811769341 73.25121 127.1674 11.76468 2.605533
4800.5046 57 4.058624524767486 76.35267 119.7623 17.90119 2.585634
4800.704600000001 57 4.221832199858026 78.27454 124.364 21.43119 2.587109
4800.9046 57 4.047998465956488 76.25685 119.4625 19.73067 2.608446
4801.104600000001 57 3.4701540598163327 74.4528 103.1368 18.43621 2.606545
4801.3046 57 3.2638318200999104 73.40113 97.31033 22.1784 2.553123
4801.5046 57 3.447033188280139 72.65755 102.495 24.67106 2.549134
4801.704600000001 57 3.434096658492552 71.24626 102.1386 20.48511 2.576989
4801.9046 57 3.1713624991892813 70.30908 94.71641 15.85177 2.604108
4802.104600000001 57 3.0858285611135625 69.32288 92.30461 16.87706 2.570728
4802.3046 57 3.5999933629727656 68.39298 106.848 17.66506 2.572274
4802.5046 57 4.456517978691644 70.80857 131.0489 14.73299 2.640975
4802.704600000001 57 4.801450711200923 74.02671 140.78 14.01367 2.597846
4802.9046 57 4.573979923350917 76.00358 134.3355 14.56577 2.630421
4803.104600000001 57 4.241359044249047 77.45912 124.9215 15.40392 2.585075
4803.3046 57 4.1773267895934145 78.6481 123.1032 18.8794 2.560374
4803.5046 57 3.9261162462566137 78.39279 116.0023 23.53298 2.571802
4803.704600000001 57 3.3959123209343955 77.80419 101.0155 24.56273 2.552835
4803.9046 57 3.2851644731125105 78.20135 97.88164 24.24469 2.564848
4804.104600000001 57 3.7342268498575515 78.07937 110.579 23.346 2.557485
4804.3046 57 4.507007173170305 78.03114 132.4285 20.51336 2.533766
4804.5046 57 4.8004324983437385 77.45093 140.7285 18.48491 2.609261
4804.704600000001 57 4.278072097396793 76.79654 125.9639 18.77705 2.586283
4804.9046 57 3.578964781848934 76.21025 106.2016 20.2393 2.558544
4805.104600000001 57 3.633577249318817 75.25797 107.752 20.2767 2.352266
4805.3046 57 4.069928935849163 74.80199 120.0922 17.04818 2.369875
4805.5046 57 4.546905332712223 74.94931 133.577 12.57345 2.456156
4805.704600000001 57 4.5964107212511465 74.88735 134.9771 12.79081 2.540481
4805.9046 57 4.28474229594229 74.85005 126.1654 17.30036 2.571154
4806.104600000001 48 4.129695969908873 74.50367 121.784 20.70266 2.574031
