Depth(m) Code COT DT GR NPHI RHOB
4800.104600000001 57 5.155140651776374 70.30501 157.6507 14.05369 2.616479
4800.3046 57 4.077672601886118 73.25121 127.1674 11.76468 2.605533
4800.5046 57 3.8164903148842635 76.35267 119.7623 17.90119 2.585634
4800.704600000001 57 3.9796979899748037 78.27454 124.364 21.43119 2.587109
4800.9046 57 3.8058642560732654 76.25685 119.4625 19.73067 2.608446
4801.104600000001 57 3.22801984993311 74.4528 103.1368 18.43621 2.606545
4801.3046 57 3.0216976102166875 73.40113 97.31033 22.1784 2.553123
4801.5046 57 3.2048989783969155 72.65755 102.495 24.67106 2.549134
4801.704600000001 57 3.191962448609329 71.24626 102.1386 20.48511 2.576989
4801.9046 57 2.9292282893060584 70.30908 94.71641 15.85177 2.604108
4802.104600000001 57 2.843694351230339 69.32288 92.30461 16.87706 2.570728
4802.3046 57 3.3578591530895427 68.39298 106.848 17.66506 2.572274
4802.5046 57 4.214383768808421 70.80857 131.0489 14.73299 2.640975
4802.704600000001 57 4.559316501317701 74.02671 140.78 14.01367 2.597846
4802.9046 57 4.331845713467693 76.00358 134.3355 14.56577 2.630421
4803.104600000001 57 3.9992248343658243 77.45912 124.9215 15.40392 2.585075
4803.3046 57 3.9351925797101917 78.6481 123.1032 18.8794 2.560374
4803.5046 57 3.683982036373391 78.39279 116.0023 23.53298 2.571802
4803.704600000001 57 3.1537781110511727 77.80419 101.0155 24.56273 2.552835
4803.9046 57 3.0430302632292876 78.20135 97.88164 24.24469 2.564848
4804.104600000001 57 3.4920926399743286 78.07937 110.579 23.346 2.557485
4804.3046 57 4.2648729632870825 78.03114 132.4285 20.51336 2.533766
4804.5046 57 4.558298288460515 77.45093 140.7285 18.48491 2.609261
4804.704600000001 57 4.03593788751357 76.79654 125.9639 18.77705 2.586283
4804.9046 57 3.336830571965711 76.21025 106.2016 20.2393 2.558544
4805.104600000001 57 3.391443039435594 75.25797 107.752 20.2767 2.352266
4805.3046 57 3.82779472596594 74.80199 120.0922 17.04818 2.369875
4805.5046 57 4.304771122829001 74.94931 133.577 12.57345 2.456156
4805.704600000001 57 4.354276511367924 74.88735 134.9771 12.79081 2.540481
4805.9046 57 4.042608086059067 74.85005 126.1654 17.30036 2.571154
4806.104600000001 48 3.8875617600256502 74.50367 121.784 20.70266 2.574031
4806.3046 48 3.643644475866008 75.51569 114.8809 20.19712 2.584825
4806.5046 48 3.2026190940247843 76.71925 102.4036 19.0492 2.589724
4806.704600000001 48 2.846544702630106 77.33468 92.33206 17.3523 2.600936
4806.9046 48 3.318385672616315 79.33099 105.6594 15.37053 2.472178
4807.104600000001 48 4.196784731073012 80.79166 130.4851 16.57523 2.39426
4807.3046 48 5.0214333119823635 80.98399 153.7995 15.97059 2.371111
4807.5046 48 4.74860176230227 79.25101 146.0971 16.3811 2.399502
4807.704600000001 48 4.2799455025994515 77.2702 132.8597 19.21982 2.320712
4807.9046 48 3.7670875582933405 75.64597 118.3702 18.67406 2.293838
4808.104600000001 57 3.0395168717867445 73.46782 97.8137 16.12835 2.496148
4808.3046 57 2.691803905142334 72.17699 87.99121 16.09744 2.607527
4808.5046 57 2.7850897819938143 71.34554 90.63424 18.4546 2.586636
4808.704600000001 57 3.2784398941886046 71.26395 104.5835 19.32494 2.566305
4808.9046 57 3.755494102799867 74.65282 118.049 18.40932 2.597088
4809.104600000001 48 3.7210787807231673 78.43103 117.0509 19.84278 2.614313
4809.3046 48 3.4222238449528612 81.45161 108.5812 21.51245 2.571333
4809.5046 48 3.3013559633280147 81.0062 105.1668 20.37337 2.514036
4809.704600000001 48 3.381511951116101 78.21512 107.4516 20.40403 2.43323
4809.9046 48 3.934933280618967 76.6683 123.109 21.50003 2.358505
4810.104600000001 48 4.421027961303769 75.12783 136.8628 18.17571 2.366207
4810.3046 48 4.375076060740511 74.14487 135.5701 15.04801 2.411469
4810.5046 48 4.055929573171674 74.46478 126.5446 15.60878 2.448518
4810.704600000001 48 3.8095153426182735 75.88428 119.5682 18.50566 2.448912
4810.9046 48 3.6180603837058762 75.64369 114.1567 20.28709 2.406904
4811.104600000001 48 3.5022344571671145 74.13589 110.8919 20.28792 2.345852
4811.3046 48 3.1041592476718587 73.31768 99.64236 20.03286 2.332388
4811.5046 48 3.0119906929968248 73.33506 97.03632 21.38525 2.373109
4811.704600000001 48 3.3861672060848647 73.12215 107.617 22.88737 2.439939
4811.9046 48 3.8773108518259116 75.23811 121.4893 22.48236 2.525295
4812.104600000001 57 4.187526376006515 78.08296 130.2413 21.66029 2.549313
4812.3046 57 4.105835845637692 77.70986 127.9341 19.50597 2.572148
4812.5046 57 3.6258522417327006 68.87456 114.4219 16.8654 2.576439
4812.704600000001 57 3.1673307337764 62.67892 101.499 16.56703 2.578029
4812.9046 57 2.8338240475924787 63.49899 92.06417 17.30241 2.540522
4813.104600000001 57 2.8927945524308365 70.00481 93.68832 16.44332 2.473743
4813.3046 57 3.386216716031191 71.84058 107.6269 15.14981 2.519186
4813.5046 57 3.793030974209021 73.95891 119.1149 17.24544 2.535808
4813.704600000001 57 3.976362582391044 74.67061 124.2936 22.7276 2.523583
