Depth(m) Code COT DT GR NPHI RHOB
2373.1999 57 0.8469985133981304 194.4369 47.3111 50.8148 1.5667
2373.3999 57 1.1811679285848116 175.9843 51.3709 56.4082 1.3884
2373.5999 57 1.6098263551474608 174.0812 56.0381 60.6697 1.2469
2373.7999 57 1.9331855643416394 172.8624 57.9881 59.6106 1.2073
2373.9999 57 1.8115102774889902 170.3265 58.3717 58.7481 1.2026
2374.1999 57 1.5689557683957591 169.7752 57.7803 63.6163 1.2024
2374.3999 57 1.3934549319742076 175.1578 56.5656 60.1167 1.1968
2374.5999 57 1.336825810419297 174.8157 58.036 51.5459 1.1917
2374.7999 57 1.2488803438396023 179.325 56.9492 57.7787 1.1942
2374.9999 57 1.216043074668672 180.7671 56.2459 66.6093 1.2062
2375.1999 57 1.2870098439321904 182.0569 57.7163 57.7403 1.2258
2375.3999 57 1.390630851747429 205.4483 56.8613 59.054 1.2429
2375.5999 57 1.3594388420130294 197.7496 55.9902 68.9364 1.2643
2375.7999 57 1.24283766822369 176.7994 55.159 64.6592 1.2802
2375.9999 57 1.1430321077016692 155.5152 54.3998 63.0726 1.2681
2376.1999 57 1.0924271646197317 138.2437 54.8553 70.0916 1.3103
2376.3999 57 1.1139128764830262 136.9139 55.2229 62.6577 1.2901
2376.5999 57 1.1430317837419837 131.6613 56.6455 62.4711 1.3348
2376.7999 57 1.2714480592386257 148.7265 58.6913 62.7885 1.4303
2376.9999 57 1.360906847849645 142.5732 61.6163 56.273 1.4539
2377.1999 57 1.3342494209578386 132.8939 61.7922 55.4643 1.4379
2377.3999 57 1.3356715855558998 147.7489 60.8172 57.2313 1.4192
2377.5999 57 1.2939238364899315 152.3353 60.3696 53.0521 1.3389
2377.7999 57 1.3340605793548428 129.4048 63.6462 54.3279 1.3349
2377.9999 57 1.3234588303105606 142.5551 62.8151 58.2436 1.3459
2378.1999 57 1.4191134488851571 153.592 62.7512 50.2244 1.2724
2378.3999 57 1.3634614906779783 150.0221 60.1779 49.162 1.3109
2378.5999 57 1.4041282727751585 157.6562 59.2828 50.6899 1.3635
2378.7999 57 1.3679028655538574 146.5462 58.6914 47.7378 1.4673
2378.9999 57 1.1647016333806672 123.6359 55.6546 45.1752 1.5397
2379.1999 57 1.1622344586600348 126.2612 53.1132 45.1798 1.5209
2379.3999 57 1.2525722705133595 132.8358 53.4807 48.7615 1.4331
2379.5999 57 1.176836027189687 129.5189 53.9922 51.3998 1.3421
2379.7999 57 1.1681330848208442 139.4502 55.3348 53.3622 1.2861
2379.9999 57 1.1034560265206979 147.6532 54.1201 65.4354 1.2401
2380.1999 57 1.0311032471142334 147.0576 52.4418 72.9281 1.223
2380.3999 57 0.9913160682989094 139.7234 52.4258 63.2878 1.2336
2380.5999 57 1.0749871961888755 138.9797 55.0471 57.7859 1.2342
2380.7999 57 1.0899485411403755 138.0625 54.9672 52.1931 1.2643
2380.9999 57 1.1357377167969616 140.2939 54.7275 51.8481 1.3409
2381.1999 57 1.2019532809569136 145.0623 54.1201 54.2895 1.4512
2381.3999 57 1.2628413414547996 135.6451 53.8963 50.2188 1.566
2381.5999 57 1.4509416934524781 129.1594 56.5176 48.2313 1.6361
2381.7999 57 1.4593927360632457 132.0674 58.7553 45.9355 1.6287
2381.9999 57 1.2952979106323448 140.8673 56.6135 51.239 1.5765
2382.1999 57 1.1969037749100977 144.0984 55.4947 55.1725 1.5369
2382.3999 57 1.0394553522354184 140.9328 53.0332 49.0091 1.4601
2382.5999 57 0.9540668347206899 142.2298 51.4189 49.5446 1.4169
2382.7999 57 0.9862834100012642 146.4748 52.0262 55.044 1.3861
2382.9999 57 0.9462445152627171 135.1077 51.6267 51.6361 1.3704
2383.1999 57 1.0074638164040448 135.3908 51.7226 46.7489 1.5139
2383.3999 57 1.1298903976338046 141.964 52.9053 44.6913 1.6814
2383.5999 57 1.1222137039397504 136.3639 52.6816 43.3691 1.9355
2383.7999 57 1.1657410406902473 132.8032 55.8463 42.5984 2.1077
2383.9999 57 1.2236684648917786 138.1688 57.8762 43.6128 2.0554
2384.1999 57 1.1662205281467086 139.8281 56.3258 43.5219 2.0535
2384.3999 57 1.0496719367876255 139.1235 52.7136 43.423 2.0721
2384.5999 57 0.8730207765404037 139.8233 47.1513 39.7662 2.1182
2384.7999 57 0.7888021644670181 129.9248 45.6808 36.5663 2.141
2384.9999 57 0.8119136374651675 126.3094 46.8795 36.7152 2.1147
2385.1999 58 0.982953549685371 130.2549 51.6106 42.2579 2.0826
2385.3999 58 1.120758380154339 141.5611 54.3598 40.8602 2.0848
2385.5999 58 1.19084100840834 146.2358 55.4307 38.2737 2.1281
2385.7999 58 1.1319842878411412 137.1499 54.3758 38.9327 2.1753
2385.9999 58 1.1535862169380677 136.7672 55.0791 37.5908 2.1814
2386.1999 58 1.2237896020907215 135.997 57.7323 37.6302 2.1438
2386.3999 58 1.3825154984027275 143.7955 62.1117 41.4668 2.0799
2386.5999 58 1.4962474877885827 148.6686 65.1487 38.5998 2.0582
2386.7999 58 1.4332395444585388 141.564 63.95 39.8167 2.0477
2386.9999 58 1.3580324175257616 140.8923 61.6324 42.3203 2.0615
2387.1999 58 1.2778229967104249 144.8422 58.5795 42.8375 2.06
2387.3999 58 1.1645647994475772 144.1094 55.1111 42.6512 2.0766
2387.5999 58 1.0832483737285694 145.9422 52.346 42.1012 2.1187
2387.7999 58 1.0308760020550662 141.8482 51.1152 40.9705 2.1656
2387.9999 58 1.0292903240379931 130.0874 52.3299 41.36 2.1318
2388.1999 58 1.0160824830742947 132.5705 51.6587 43.4318 2.0938
2388.3999 58 0.9870622403199617 143.075 49.405 39.1762 2.0973
2388.5999 58 0.9809261414811936 136.9325 49.7406 37.7672 2.1076
2388.7999 58 0.879074089642555 127.4111 47.6468 39.8754 2.1373
2388.9999 58 0.9078113266034596 136.9876 47.423 41.2055 2.1304
2389.1999 58 0.8707987067144916 139.1093 46.0005 37.8149 2.1154
2389.3999 58 0.9349711437077911 136.6125 48.366 40.9284 2.0848
2389.5999 58 1.020754544219233 139.3968 50.7635 42.6766 2.087
