Depth(m) COT
5277.1970497332695 0.5+/-1.5
4679.480894276171 0.4+/-1.5
4867.663396702157 0.4+/-1.5
4756.11571921684 0.3+/-1.5
4836.534737060782 0.3+/-1.5
4774.903958745541 0.4+/-1.5
4826.219617270981 0.5+/-1.5
4783.721816623861 0.3+/-1.5
4821.478366201404 0.4+/-1.5
4789.100281828774 0.4+/-1.5
4819.01145533125 0.4+/-1.5
4792.895455527476 0.4+/-1.5
4817.691540696926 0.4+/-1.5
4795.832848374113 0.3+/-1.5
4817.030025128252 0.4+/-1.5
4798.253798546215 0.5+/-1.5
4816.781113378704 0.3+/-1.5
4800.339867514217 0.3+/-1.5
4816.807744664447 0.4+/-1.5
4802.19648362085 0.4+/-1.5
4817.02748231285 0.4+/-1.5
4803.8890433676015 0.4+/-1.5
4817.387778322776 0.4+/-1.5
4805.4602573194325 0.3+/-1.5
4817.85355818541 0.4+/-1.5
4806.939198967524 0.4+/-1.5
4818.400517596287 0.3+/-1.5
4808.346343565816 0.4+/-1.5
4819.011284328983 0.5+/-1.5
4809.696527070579 0.4+/-1.5
4819.673111857868 0.3+/-1.5
4811.000762108711 0.4+/-1.5
4820.376436168191 0.4+/-1.5
4812.267394808024 0.4+/-1.5
4821.11394105152 0.4+/-1.5
4813.502865639161 0.4+/-1.5
4821.879934497584 0.4+/-1.5
4814.712223849697 0.4+/-1.5
4822.669921750556 0.3+/-1.5
4815.899483811585 0.5+/-1.5
4823.480306294643 0.5+/-1.5
4817.06787719028 0.5+/-1.5
4824.308176180351 0.3+/-1.5
4818.220034813321 0.3+/-1.5
4825.151148568522 0.3+/-1.5
4819.358120085499 0.6+/-1.5
4826.00725479229 0.7+/-1.5
4820.483928369379 0.4+/-1.5
4826.874854130375 0.5+/-1.5
4821.598962046476 0.5+/-1.5
4827.752568259533 0.4+/-1.5
4822.704487929434 0.4+/-1.5
4828.639230823111 0.4+/-1.5
4823.801581683684 0.4+/-1.5
4829.533848199672 0.4+/-1.5
4824.891162562832 0.4+/-1.5
4830.435568673485 0.4+/-1.5
4825.974020835371 0.4+/-1.5
4831.343657980218 0.3+/-1.5
4827.050839635918 0.3+/-1.5
4832.257479741077 0.3+/-1.5
4828.1222125197855 0.3+/-1.5
4833.176479682253 0.3+/-1.5
4829.188657675327 0.3+/-1.5
4834.100172811973 0.3+/-1.5
4830.250629513381 0.4+/-1.5
4835.0281329282 0.4+/-1.5
4831.308528181794 0.3+/-1.5
4835.95998397727 0.3+/-1.5
4832.362707425691 0.3+/-1.5
4836.8953928935025 0.4+/-1.5
4833.413481119617 0.4+/-1.5
4837.83406363195 0.4+/-1.5
4834.461128726119 0.4+/-1.5
4838.775732168595 0.4+/-1.5
4835.505899881086 0.4+/-1.5
4839.72016228994 0.3+/-1.5
4836.548018264529 0.2+/-1.5
4840.667142030328 0.3+/-1.5
4837.587684883418 0.4+/-1.5
